,pidSzn,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,MIN,GP,Season,PFD,DRIVE_PF,DRIVE_PF_PCT,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
109,202326_2014-15,0.0,0.0,0.0,34.6,59,2014-15,8.9,0.7,0.134,2.05,1.07,0.98,3.61,3.73,3.49
110,201960_2014-15,0.0,0.0,0.0,31.7,70,2014-15,2.3,0.4,0.12,2.14,1.09,1.05,4.13,4.23,4.03
111,203471_2014-15,0.0,0.0,0.0,19.9,77,2014-15,2.3,0.6,0.063,1.44,0.78,0.66,4.39,4.75,4.04
112,101114_2014-15,0.0,0.0,0.0,31.5,68,2014-15,3.1,0.6,0.053,2.15,1.16,0.99,4.14,4.51,3.79
113,202324_2014-15,0.0,0.0,0.0,31.2,74,2014-15,3.3,0.1,0.09,2.1,1.14,0.96,4.1,4.33,3.87
114,201565_2014-15,0.0,0.0,0.0,30.4,51,2014-15,2.8,0.5,0.051,2.14,1.2,0.94,4.27,4.78,3.77
115,202682_2014-15,0.0,0.0,0.0,20.0,74,2014-15,1.7,0.4,0.266,1.36,0.74,0.63,4.15,4.47,3.83
116,2734_2014-15,0.0,0.0,0.0,22.5,76,2014-15,2.5,0.4,0.074,1.54,0.82,0.72,4.17,4.52,3.83
117,203906_2014-15,0.0,0.0,0.0,13.2,16,2014-15,0.6,0.1,0.048,1.0,0.48,0.51,4.59,4.83,4.38
118,203473_2014-15,0.0,0.0,0.0,14.5,59,2014-15,0.9,0.0,1.0,0.95,0.49,0.46,4.02,4.24,3.81
119,203079_2014-15,0.0,0.0,0.0,28.0,80,2014-15,1.8,0.5,0.069,1.84,0.96,0.88,4.03,4.26,3.8
120,1717_2014-15,0.0,0.0,0.0,30.0,77,2014-15,4.0,0.1,0.078,1.86,0.99,0.87,3.77,4.05,3.49
121,202388_2014-15,0.0,0.0,0.0,21.2,53,2014-15,1.3,0.2,0.031,1.5,0.86,0.64,4.35,4.72,3.93
122,202700_2014-15,0.0,0.0,0.0,29.1,71,2014-15,3.2,0.1,0.07,2.07,1.09,0.98,4.34,4.62,4.07
123,2748_2014-15,0.0,0.0,0.0,12.5,48,2014-15,0.8,0.1,0.065,0.85,0.47,0.38,4.16,4.51,3.81
124,203926_2014-15,0.0,0.0,0.0,9.0,36,2014-15,0.5,0.1,0.091,0.68,0.37,0.31,4.6,4.97,4.21
125,203110_2014-15,0.0,0.0,0.0,31.9,79,2014-15,2.6,0.2,0.091,2.12,1.08,1.04,3.97,4.47,3.56
126,2400_2014-15,0.0,0.0,0.0,17.2,51,2014-15,1.2,0.0,0.056,1.16,0.61,0.56,4.13,4.3,3.95
127,204079_2014-15,0.0,0.0,0.0,8.0,9,2014-15,0.8,0.0,0.0,0.6,0.32,0.28,4.57,4.82,4.32
128,202779_2014-15,0.0,0.0,0.0,20.7,6,2014-15,1.7,0.5,0.083,1.41,0.82,0.59,4.1,4.45,3.7
129,2730_2014-15,0.0,0.0,0.0,30.2,41,2014-15,5.7,0.0,0.111,1.88,0.99,0.89,3.81,4.03,3.58
130,203939_2014-15,0.0,0.0,0.0,8.3,29,2014-15,1.0,0.0,0.063,0.61,0.33,0.28,4.52,5.02,4.06
131,2548_2014-15,0.0,0.0,0.0,32.2,62,2014-15,4.2,0.8,0.075,2.11,1.15,0.96,4.0,4.31,3.68
132,202734_2014-15,0.0,0.0,0.0,9.1,56,2014-15,0.4,0.1,0.041,0.65,0.34,0.31,4.37,4.62,4.13
133,2853_2014-15,0.0,0.0,0.0,9.0,16,2014-15,0.7,0.1,0.333,0.63,0.34,0.29,4.25,4.52,3.97
134,201947_2014-15,0.0,0.0,0.0,9.4,10,2014-15,0.4,0.0,0.0,0.67,0.35,0.32,4.32,4.78,3.92
135,202334_2014-15,0.0,0.0,0.0,23.6,79,2014-15,1.9,0.1,0.148,1.67,0.88,0.79,4.31,4.46,4.15
136,202327_2014-15,0.0,0.0,0.0,3.9,33,2014-15,0.2,0.0,0.0,0.26,0.14,0.12,3.98,4.06,3.88
