,pidSzn,EFG_PCT,TS_PCT,USG_PCT,MIN,GP,Season,DD2,TD3,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_TOUCH,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,FG2A_FREQUENCY,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3A,FG3_PCT
30,201627_2014-15,0.578,0.604,0.16,24.7,74,2014-15,2,0,1.7,1.7,1.8,2.1,0.725,0.25,1.043,0.445,1.1,0.429,6.5,0.458,1.7,0.426,0.7,0.667,0.0,0.5,0.5,0.536,0.461,3.73,0.522,0.539,4.36,0.437
31,201229_2014-15,0.545,0.569,0.145,19.1,76,2014-15,1,0,1.3,0.7,0.6,1.2,0.228,0.818,0.646,0.214,0.5,0.417,4.4,0.367,0.1,0.3,0.7,0.606,0.1,1.0,0.2,0.667,0.242,1.2,0.604,0.758,3.75,0.372
32,203462_2014-15,0.423,0.486,0.225,13.2,41,2014-15,0,0,1.1,0.7,1.3,3.1,0.5,0.0,0.585,0.219,1.9,0.391,0.9,0.324,0.5,0.257,0.6,0.4,0.0,0.0,0.2,0.333,0.772,3.39,0.482,0.228,1.0,0.293
33,202620_2014-15,0.857,0.771,0.125,11.5,6,2014-15,0,0,0.7,1.5,0.3,4.1,0.571,1.2,1.045,0.391,0.2,0.0,0.0,0.0,0.0,0.0,3.8,0.833,1.0,1.0,0.7,0.667,1.0,2.17,0.923,0.0,0.0,
34,203382_2014-15,0.567,0.618,0.172,16.2,70,2014-15,5,0,1.2,1.3,0.3,4.6,0.416,0.522,0.845,0.315,0.2,0.25,0.8,0.492,0.0,0.333,4.0,0.606,0.5,0.5,0.8,0.5,0.986,4.11,0.639,0.014,0.06,0.25
35,201167_2014-15,0.491,0.533,0.188,32.5,78,2014-15,0,0,1.9,1.2,1.3,3.3,0.545,0.581,0.641,0.354,1.8,0.423,5.4,0.396,3.2,0.414,0.5,0.487,1.4,0.429,0.5,0.488,0.6,6.32,0.521,0.4,4.21,0.36
36,201948_2014-15,0.44,0.449,0.211,10.3,34,2014-15,2,0,0.7,0.5,0.2,0.7,0.5,0.0,0.5,0.217,0.5,0.292,2.2,0.338,0.7,0.367,0.2,0.429,0.0,0.0,0.2,0.429,0.489,2.0,0.382,0.511,2.09,0.338
37,203085_2014-15,0.449,0.481,0.174,20.8,76,2014-15,0,0,1.5,0.6,1.0,3.6,0.5,0.0,0.528,0.206,3.0,0.433,1.4,0.319,1.1,0.298,0.4,0.524,0.0,0.0,0.2,0.714,0.724,4.49,0.481,0.276,1.71,0.3
38,202340_2014-15,0.49,0.507,0.207,31.9,77,2014-15,1,0,2.6,1.1,2.3,3.4,0.693,0.0,0.966,0.36,1.0,0.438,5.7,0.388,4.0,0.39,1.5,0.675,0.0,0.0,1.0,0.585,0.637,7.97,0.505,0.363,4.55,0.354
39,2732_2014-15,0.497,0.538,0.213,14.3,56,2014-15,0,0,0.8,0.2,0.5,1.5,0.857,0.0,0.3,0.358,1.6,0.493,1.5,0.414,2.5,0.414,0.1,0.25,0.0,0.0,0.2,0.667,0.662,3.32,0.505,0.338,1.7,0.368
40,203463_2014-15,0.521,0.552,0.17,33.0,82,2014-15,0,0,2.3,1.1,3.0,3.9,0.613,1.5,0.934,0.304,1.5,0.383,5.0,0.366,1.8,0.408,1.2,0.639,0.1,1.0,0.6,0.571,0.51,4.94,0.551,0.49,4.74,0.36
41,2757_2014-15,0.513,0.55,0.191,19.2,79,2014-15,0,0,1.2,0.5,0.9,2.7,0.5,0.4,0.59,0.163,2.1,0.516,1.5,0.39,3.1,0.482,0.5,0.533,0.0,0.5,0.3,0.588,0.8,4.9,0.566,0.2,1.23,0.268
42,203108_2014-15,0.444,0.593,0.119,10.0,16,2014-15,0,0,0.6,1.1,0.3,1.5,0.474,0.0,0.756,0.288,0.1,0.0,0.0,0.0,0.0,0.0,2.1,0.476,0.0,0.0,0.6,0.429,1.0,1.19,0.632,0.0,0.0,
43,202687_2014-15,0.543,0.578,0.114,19.7,64,2014-15,6,0,0.3,2.1,0.2,3.2,0.365,0.296,0.718,0.359,0.0,0.0,0.1,0.286,0.0,0.0,3.5,0.579,0.1,0.2,0.5,0.529,1.0,2.5,0.631,0.0,0.0,
44,201933_2014-15,0.506,0.551,0.278,35.6,67,2014-15,18,0,3.3,2.7,3.2,10.7,0.386,0.432,0.757,0.272,1.6,0.551,4.9,0.419,2.0,0.364,5.4,0.62,4.6,0.44,4.0,0.552,0.977,15.96,0.528,0.023,0.37,0.4
45,202711_2014-15,0.532,0.562,0.169,24.1,78,2014-15,0,0,1.8,1.0,1.5,3.7,0.545,0.49,0.943,0.373,1.0,0.469,3.4,0.357,0.9,0.34,1.7,0.609,0.3,0.355,0.4,0.414,0.524,3.59,0.607,0.476,3.26,0.358
46,2564_2014-15,0.503,0.526,0.18,24.8,81,2014-15,1,0,1.2,1.0,0.7,4.9,0.232,0.433,0.638,0.164,1.7,0.483,2.3,0.333,0.8,0.373,1.7,0.62,1.8,0.489,0.4,0.519,0.721,5.4,0.542,0.279,2.09,0.32
47,203078_2014-15,0.489,0.521,0.222,33.9,63,2014-15,2,0,2.5,1.4,3.1,4.8,0.418,0.714,0.899,0.277,2.4,0.408,5.0,0.389,3.8,0.348,1.3,0.698,0.2,0.571,0.5,0.469,0.681,8.67,0.471,0.319,4.06,0.414
48,201148_2014-15,0.642,0.66,0.134,19.6,75,2014-15,3,0,1.2,1.5,0.9,6.1,0.447,0.6,0.982,0.308,0.4,0.4,0.3,0.526,0.1,0.25,5.0,0.736,0.3,0.476,1.6,0.556,0.991,4.49,0.691,0.009,0.04,0.0
49,101138_2014-15,0.51,0.557,0.195,23.8,82,2014-15,5,0,1.8,1.7,1.1,5.2,0.452,0.497,0.826,0.292,1.1,0.403,2.6,0.419,1.0,0.432,3.6,0.704,1.0,0.411,1.4,0.495,0.949,7.22,0.563,0.051,0.39,0.281
50,203561_2014-15,0.431,0.463,0.183,15.9,27,2014-15,0,0,0.9,0.9,0.5,2.5,0.289,0.4,0.552,0.169,0.4,0.143,1.7,0.333,0.4,0.5,1.8,0.525,0.6,0.357,0.9,0.375,0.726,3.33,0.522,0.274,1.26,0.235
51,201943_2014-15,0.471,0.522,0.25,29.0,41,2014-15,5,0,3.0,1.2,2.7,5.0,0.615,0.0,0.667,0.206,4.4,0.416,2.3,0.379,5.7,0.356,0.6,0.579,0.0,0.0,0.4,0.667,0.592,7.44,0.466,0.408,5.12,0.362
52,202688_2014-15,0.493,0.543,0.25,32.7,63,2014-15,2,0,3.3,0.9,3.5,5.4,0.593,0.4,0.733,0.23,3.4,0.399,3.9,0.391,5.3,0.371,0.7,0.625,0.1,0.5,0.5,0.857,0.621,8.4,0.472,0.379,5.13,0.387
53,201575_2014-15,0.231,0.255,0.106,8.3,33,2014-15,0,0,0.1,0.2,0.1,0.3,0.0,0.0,0.5,0.084,0.3,0.4,0.3,0.125,0.2,0.235,0.1,0.333,0.0,0.0,0.0,0.0,0.46,0.7,0.348,0.54,0.82,0.111
54,2217_2014-15,0.467,0.49,0.169,5.5,22,2014-15,0,0,0.2,0.2,0.0,0.9,0.333,0.571,0.741,0.269,0.0,0.0,0.2,0.5,0.0,0.0,0.9,0.5,0.5,0.417,0.2,0.5,1.0,1.23,0.519,0.0,0.0,
55,203148_2014-15,0.458,0.495,0.182,18.7,72,2014-15,0,0,0.8,0.6,0.6,1.2,0.333,0.0,0.643,0.159,1.5,0.446,2.0,0.34,2.8,0.388,0.1,0.6,0.0,0.0,0.1,0.333,0.564,3.43,0.462,0.436,2.65,0.325
56,201572_2014-15,0.513,0.558,0.257,29.6,72,2014-15,17,0,2.3,3.5,0.4,10.5,0.542,0.653,0.965,0.445,1.1,0.443,3.8,0.463,0.9,0.362,7.8,0.598,3.3,0.454,3.2,0.516,0.989,12.89,0.544,0.011,0.14,0.1
57,203998_2014-15,0.417,0.417,0.281,3.0,8,2014-15,0,0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.286,0.0,0.0,0.4,0.5,0.4,0.333,0.5,0.667,0.0,0.0,0.0,0.0,0.75,1.13,0.222,0.25,0.38,0.667
58,203955_2014-15,0.471,0.52,0.227,10.8,15,2014-15,0,0,1.1,0.5,1.1,1.4,0.0,0.0,0.5,0.205,1.1,0.412,0.8,0.267,2.1,0.412,0.1,0.5,0.0,0.0,0.0,0.0,0.692,3.0,0.489,0.308,1.33,0.35
59,201228_2014-15,0.518,0.581,0.18,25.3,57,2014-15,0,0,1.9,1.1,1.8,2.1,0.19,0.5,0.854,0.17,1.5,0.397,3.1,0.432,2.6,0.393,0.6,0.591,0.0,0.5,0.1,0.333,0.568,3.98,0.489,0.433,3.04,0.405
60,203912_2014-15,0.513,0.527,0.21,4.9,21,2014-15,0,0,0.4,0.4,0.2,0.5,0.0,0.0,1.0,0.318,0.3,0.6,0.9,0.28,0.5,0.667,0.1,1.0,0.0,0.0,0.0,0.0,0.486,0.86,0.5,0.514,0.9,0.368
61,203468_2014-15,0.511,0.534,0.198,15.9,62,2014-15,0,0,1.4,0.5,1.2,2.0,0.417,0.0,0.526,0.299,1.7,0.484,2.3,0.403,1.8,0.386,0.2,0.667,0.0,0.0,0.1,0.5,0.603,3.31,0.507,0.397,2.18,0.407
62,101139_2014-15,0.491,0.525,0.23,26.6,70,2014-15,1,0,2.3,1.0,1.8,3.0,0.504,0.526,0.905,0.38,1.2,0.437,6.9,0.353,1.9,0.372,1.0,0.592,0.1,0.4,0.9,0.351,0.447,5.1,0.49,0.553,6.3,0.347
63,203946_2014-15,0.214,0.309,0.126,3.6,18,2014-15,0,0,0.2,0.2,0.0,0.1,0.0,0.0,0.5,0.118,0.1,0.0,0.2,0.333,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.67,0.25,0.0,0.0,
64,201171_2014-15,0.515,0.578,0.18,17.2,70,2014-15,3,0,0.7,1.6,0.4,3.5,0.336,0.858,0.901,0.309,0.2,0.467,1.5,0.412,0.5,0.6,3.1,0.562,1.6,0.544,0.7,0.458,1.0,4.67,0.581,0.0,0.0,
65,2430_2014-15,0.499,0.517,0.231,24.1,71,2014-15,10,0,1.5,2.3,1.1,7.1,0.431,0.619,0.885,0.275,1.1,0.441,2.4,0.411,1.8,0.423,4.7,0.606,2.1,0.453,3.1,0.468,1.0,9.56,0.546,0.0,0.0,
66,2546_2014-15,0.482,0.531,0.319,36.2,40,2014-15,5,0,3.5,3.7,2.2,7.1,0.483,0.636,0.781,0.348,2.8,0.427,7.5,0.43,5.5,0.366,3.2,0.511,5.4,0.509,3.3,0.5,0.768,14.9,0.499,0.232,4.51,0.341
67,2406_2014-15,0.511,0.544,0.129,21.1,78,2014-15,0,0,1.0,0.7,0.5,0.5,0.25,0.905,0.471,0.192,0.2,0.316,3.2,0.379,1.7,0.438,0.2,0.533,0.2,0.692,0.1,0.5,0.438,2.18,0.459,0.562,2.79,0.381
68,201858_2014-15,0.34,0.34,0.124,8.7,23,2014-15,0,0,0.5,0.1,0.1,0.4,0.667,0.0,0.0,0.171,0.1,0.25,0.7,0.182,0.5,0.417,0.0,0.0,0.0,0.0,0.1,0.5,0.36,0.78,0.5,0.64,1.39,0.188
69,202718_2014-15,0.542,0.567,0.201,33.6,66,2014-15,3,0,3.3,1.6,3.4,6.5,0.584,0.273,0.793,0.281,4.1,0.457,5.3,0.372,2.0,0.434,1.4,0.677,0.1,0.5,0.7,0.543,0.564,6.77,0.562,0.436,5.23,0.383
70,101112_2014-15,0.532,0.546,0.139,25.3,75,2014-15,2,0,1.0,0.7,0.3,0.6,0.12,0.407,0.468,0.15,0.2,0.235,6.0,0.404,0.3,0.282,0.3,0.375,0.3,0.423,0.1,0.286,0.278,1.77,0.414,0.722,4.6,0.394
71,101111_2014-15,0.529,0.534,0.252,10.7,64,2014-15,0,0,1.1,0.8,0.6,1.5,0.76,0.818,0.83,0.32,0.7,0.383,4.1,0.386,0.4,0.423,0.6,0.533,0.4,0.524,0.3,0.75,0.372,2.05,0.511,0.628,3.45,0.376
72,201978_2014-15,0.5,0.537,0.161,19.4,67,2014-15,0,0,1.4,0.5,0.8,2.7,0.347,0.636,0.731,0.268,1.1,0.443,2.9,0.359,0.5,0.357,1.0,0.482,0.2,0.625,0.4,0.286,0.617,3.36,0.523,0.383,2.09,0.377
73,2365_2014-15,0.589,0.622,0.123,19.1,60,2014-15,1,0,0.7,1.5,0.3,3.6,0.22,0.0,0.875,0.224,0.0,0.0,0.6,0.429,0.0,0.0,3.9,0.664,0.0,0.0,0.6,0.458,0.928,2.85,0.667,0.072,0.22,0.308
74,2547_2014-15,0.503,0.548,0.282,35.8,44,2014-15,7,0,3.1,2.0,0.5,5.5,0.453,0.688,0.907,0.326,3.1,0.464,9.1,0.457,3.6,0.426,3.3,0.624,3.8,0.485,3.3,0.533,0.765,12.43,0.512,0.235,3.82,0.375
75,203142_2014-15,0.445,0.468,0.206,16.8,50,2014-15,1,0,0.8,1.1,0.3,2.1,0.571,0.316,0.727,0.273,0.9,0.417,3.0,0.342,0.6,0.226,0.6,0.591,0.5,0.31,0.3,0.5,0.42,2.4,0.5,0.58,3.32,0.313
76,201604_2014-15,0.262,0.387,0.108,8.7,12,2014-15,0,0,0.5,0.0,0.5,0.7,0.0,2.0,0.0,0.216,0.5,0.333,0.3,0.125,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.588,0.83,0.4,0.412,0.58,0.143
77,203187_2014-15,0.494,0.515,0.139,18.4,29,2014-15,0,0,1.2,0.3,1.6,2.1,1.455,0.0,0.828,0.262,0.3,0.4,2.8,0.301,0.4,0.333,0.8,0.667,0.0,0.0,0.6,1.0,0.354,1.76,0.667,0.646,3.21,0.301
78,2549_2014-15,0.515,0.537,0.222,19.1,74,2014-15,4,0,1.2,2.0,0.2,5.5,0.354,0.522,0.782,0.282,0.7,0.477,2.2,0.461,0.4,0.433,3.6,0.57,1.4,0.453,1.5,0.427,1.0,6.95,0.551,0.0,0.0,
79,101108_2014-15,0.545,0.596,0.232,35.3,82,2014-15,40,1,2.3,1.6,2.1,4.4,0.346,0.393,0.406,0.205,4.7,0.493,2.4,0.437,10.1,0.474,0.3,0.476,0.7,0.51,0.5,0.536,0.697,9.77,0.536,0.303,4.24,0.399
80,101236_2014-15,0.478,0.492,0.104,8.9,29,2014-15,0,0,0.1,0.3,0.0,1.5,0.5,0.0,0.688,0.164,0.0,0.0,0.1,1.0,0.0,0.0,1.5,0.559,0.0,0.0,0.7,0.636,1.0,1.34,0.564,0.0,0.0,
