,pidSzn,MIN,GP,Season,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,AVG_OREB_DIST,AVG_DREB_DIST,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
59,201228_2014-15,24.9,57,2014-15,0.3,0.167,1.3,0.24,0.1,0.3,2.2,0.117,4.8,0.525,0.4,14.7,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,203912_2014-15,4.8,21,2014-15,0.0,1.0,0.2,0.25,0.0,0.0,0.2,0.167,0.7,0.4,0.0,16.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,203468_2014-15,15.7,62,2014-15,0.1,0.357,0.9,0.241,0.1,0.2,1.0,0.182,2.6,0.484,0.2,10.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,101139_2014-15,26.3,70,2014-15,0.2,0.167,1.4,0.178,0.0,0.6,2.1,0.224,4.8,0.582,0.4,15.2,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,203946_2014-15,3.5,18,2014-15,0.0,1.0,1.0,0.333,0.0,0.0,0.1,0.0,0.9,0.118,0.1,5.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,201171_2014-15,17.0,70,2014-15,0.5,0.657,3.5,0.402,0.1,0.8,1.6,0.331,4.2,0.579,0.4,6.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2430_2014-15,23.8,71,2014-15,0.5,0.685,4.4,0.357,0.1,1.9,3.2,0.369,8.1,0.649,0.5,6.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2546_2014-15,35.9,39,2014-15,0.6,0.681,4.1,0.447,0.1,1.3,3.6,0.259,7.5,0.645,0.5,7.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2406_2014-15,20.8,78,2014-15,0.1,0.524,1.6,0.165,0.0,0.6,1.6,0.263,4.4,0.507,0.5,10.6,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,201858_2014-15,8.6,23,2014-15,0.0,0.0,0.5,0.0,0.0,0.3,0.5,0.3,1.4,0.625,0.2,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
