,pidSzn,SCREEN_ASSISTS,SCREEN_AST_PTS,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCHES,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCHES,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCHES,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS_PCT,PASSES_MADE,PASSES_RECEIVED,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,MIN,GP,Season,AST_PCT,AST_TO,AST_RATIO,TOV
22,203460_2014-15,0.0,0.0,0.7,0.422,0.1,0.052,0.1,0.043,1.7,0.0,0.25,0.0,0.0,0.0,0.5,0.1,0.2,0.593,0.0,0.188,0.0,0.0,0.4,1.0,0.0,0.2,1.9,0.062,16.8,13.6,0.3,0.254,0.1,0.119,0.1,0.075,21.6,15.9,0.6,1.71,0.57,19.2,67,2014-15,0.075,1.52,20.6,0.7
23,200745_2014-15,0.0,0.0,0.8,0.207,0.1,0.018,0.2,0.054,3.8,1.8,0.333,0.2,0.033,0.3,0.059,5.3,3.1,0.461,0.2,0.079,0.2,0.036,6.7,1.6,0.1,0.2,3.6,0.051,31.2,34.7,0.6,0.225,0.1,0.028,0.1,0.056,48.1,35.1,1.5,1.93,0.44,27.1,29,2014-15,0.119,1.1,9.3,1.5
24,1905_2014-15,0.0,0.0,0.6,0.667,0.1,0.167,0.1,0.167,0.9,0.1,1.0,0.0,0.0,0.0,0.0,0.1,0.6,0.5,0.1,0.25,0.1,0.125,1.1,0.1,0.0,0.0,0.1,0.029,4.9,3.1,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.6,0.2,1.89,0.6,5.2,7,2014-15,0.038,1.0,11.1,0.1
25,101106_2014-15,0.0,0.0,1.8,0.305,0.3,0.044,0.2,0.036,5.8,1.5,0.5,0.4,0.147,0.1,0.049,3.0,1.6,0.547,0.4,0.26,0.1,0.053,2.8,2.7,0.2,0.3,5.0,0.083,32.5,22.5,0.0,0.125,0.1,0.208,0.0,0.083,42.5,24.2,1.4,1.96,0.71,23.6,67,2014-15,0.149,1.7,27.4,1.6
26,203094_2014-15,0.0,0.0,0.2,0.176,0.0,0.0,0.1,0.098,1.3,0.4,0.263,0.1,0.035,0.1,0.053,1.4,0.4,0.615,0.0,0.063,0.0,0.038,0.7,0.6,0.0,0.0,1.2,0.038,14.6,11.7,0.1,0.125,0.0,0.063,0.0,0.063,20.5,11.8,0.5,1.56,0.37,12.3,40,2014-15,0.076,0.92,8.9,0.6
27,203952_2014-15,0.0,0.0,1.1,0.269,0.1,0.024,0.1,0.03,4.1,1.5,0.252,0.4,0.064,0.4,0.067,5.9,1.1,0.34,0.2,0.174,0.2,0.051,3.1,2.1,0.2,0.3,4.8,0.089,23.6,32.8,1.3,0.243,0.3,0.05,0.4,0.085,43.7,34.6,1.8,2.44,1.39,36.2,82,2014-15,0.097,0.96,10.0,2.2
28,203461_2014-15,0.0,0.0,0.4,0.157,0.1,0.024,0.2,0.079,2.3,0.2,0.239,0.0,0.043,0.0,0.043,0.8,0.9,0.436,0.2,0.188,0.2,0.082,2.0,0.9,0.2,0.1,1.6,0.036,24.0,13.7,0.1,0.152,0.0,0.03,0.1,0.182,31.2,13.9,0.7,1.43,0.32,15.7,57,2014-15,0.087,1.33,11.7,0.6
29,203076_2014-15,0.0,0.0,1.6,0.203,0.3,0.036,0.3,0.044,7.7,1.4,0.258,0.3,0.062,0.3,0.048,5.2,3.4,0.51,0.5,0.152,0.2,0.024,6.6,2.2,0.2,0.2,4.0,0.062,35.2,37.0,0.4,0.128,0.1,0.034,0.2,0.064,58.4,38.1,2.0,2.02,0.64,36.1,68,2014-15,0.109,1.57,9.1,1.4
30,201627_2014-15,0.0,0.0,0.1,0.17,0.0,0.0,0.0,0.043,0.6,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.2,0.353,0.0,0.056,0.0,0.02,0.7,0.8,0.1,0.1,1.5,0.057,14.1,17.9,0.4,0.215,0.1,0.044,0.1,0.059,24.0,20.0,0.7,1.75,0.8,24.4,74,2014-15,0.05,1.58,8.0,0.5
31,201229_2014-15,0.0,0.0,0.4,0.415,0.0,0.024,0.1,0.061,1.1,0.1,0.455,0.0,0.0,0.0,0.0,0.1,0.8,0.797,0.1,0.127,0.0,0.038,1.0,0.8,0.2,0.2,1.6,0.034,23.1,14.6,0.2,0.286,0.0,0.02,0.0,0.041,29.6,14.7,0.6,1.31,0.28,18.9,76,2014-15,0.061,1.16,11.1,0.7
