,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,Season
201,1630193,Immanuel Quickley,1610612752,NYK,64,37,27,19.43,19.43,7943.58,1.5,0.83,0.68,4.35,4.66,4.03,2020-21
202,1629067,Isaac Bonga,1610612764,WAS,40,16,24,10.8,10.8,4386.58,0.83,0.42,0.41,4.33,4.55,4.12,2020-21
203,1630171,Isaac Okoro,1610612739,CLE,67,20,47,32.44,32.44,12762.46,2.42,1.27,1.15,4.21,4.32,4.1,2020-21
204,1628392,Isaiah Hartenstein,1610612739,CLE,46,20,26,12.15,12.15,4943.5,0.94,0.5,0.44,4.31,4.56,4.02,2020-21
205,1630198,Isaiah Joe,1610612755,PHI,41,22,19,9.34,9.34,3941.76,0.75,0.4,0.34,4.45,4.76,4.13,2020-21
206,1629676,Isaiah Roby,1610612760,OKC,61,19,42,23.37,23.37,9541.36,1.81,1.01,0.8,4.38,4.85,3.89,2020-21
207,1630191,Isaiah Stewart,1610612765,DET,68,20,48,21.39,21.39,8579.38,1.62,0.86,0.77,4.3,4.53,4.07,2020-21
208,202738,Isaiah Thomas,1610612740,NOP,3,1,2,16.09,16.09,5997.0,1.14,0.62,0.52,3.93,4.74,3.24,2020-21
209,202397,Ish Smith,1610612764,WAS,44,23,21,20.99,20.99,8788.14,1.66,0.9,0.77,4.44,4.97,3.95,2020-21
210,1627826,Ivica Zubac,1610612746,LAC,72,47,25,22.34,22.34,8747.01,1.66,0.9,0.75,4.17,4.46,3.87,2020-21
211,200755,JJ Redick,1610612742,DAL,44,22,22,16.44,16.44,6980.18,1.32,0.73,0.59,4.49,4.97,4.0,2020-21
212,1629630,Ja Morant,1610612763,MEM,63,33,30,32.59,32.59,12621.08,2.39,1.3,1.1,4.18,4.6,3.77,2020-21
213,203960,JaKarr Sampson,1610612754,IND,29,14,15,10.91,10.91,4583.34,0.87,0.45,0.42,4.43,4.82,4.08,2020-21
214,203210,JaMychal Green,1610612743,DEN,58,38,20,19.31,19.31,7413.07,1.4,0.76,0.64,4.1,4.33,3.86,2020-21
215,201580,JaVale McGee,1610612743,DEN,46,21,25,14.75,14.75,5565.57,1.05,0.57,0.48,4.0,4.22,3.78,2020-21
216,203953,Jabari Parker,1610612738,BOS,13,4,9,12.73,12.73,5235.77,0.99,0.55,0.44,4.36,4.78,3.93,2020-21
