,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,Season
10,1627936,Alex Caruso,1610612747,LAL,27.0,58,32,26,0.552,21.2,1.0,0.6,1.1,2.4,6.9,4.8,4.5,19.0,0.3,0.4,1.9,1.8,17.0,157,115,341,199,248,288,377,188,314,272,217,225,283,303,315,337,160,270,5,"1627936,1610612747",2020-21
11,203458,Alex Len,1610612764,WAS,27.0,64,30,34,0.469,15.5,0.9,1.3,0.5,5.1,6.0,4.2,3.9,15.6,1.0,0.3,2.0,1.2,15.9,89,143,470,299,366,315,162,366,153,220,186,176,355,47,258,366,268,288,5,"203458,1610612764",2020-21
12,1628035,Alfonzo McKinnie,1610612747,LAL,28.0,39,22,17,0.564,6.7,0.8,0.6,0.2,1.5,2.2,1.7,1.8,6.4,0.0,0.2,0.7,0.4,5.5,326,252,182,187,486,379,361,472,404,55,50,60,482,495,122,60,473,478,5,"1628035,1610612747",2020-21
13,1628993,Alize Johnson,1610612751,BKN,25.0,18,10,8,0.556,10.6,0.8,1.7,0.8,4.2,4.2,2.9,2.7,8.8,0.3,0.5,0.9,0.7,13.7,443,411,76,193,431,352,104,249,194,127,113,114,448,278,347,93,385,333,5,"1628993,1610612751",2020-21
14,1628578,Amida Brimah,1610612754,IND,27.0,5,2,3,0.4,5.9,0.0,0.6,0.8,2.0,1.4,2.8,0.8,4.5,1.0,0.0,0.8,0.6,7.1,512,501,27,382,495,508,352,261,345,18,104,15,508,47,1,78,422,450,5,"1628578,1610612754",2020-21
15,1629599,Amir Coffey,1610612746,LAC,23.0,44,32,12,0.727,9.1,0.5,0.3,0.4,0.9,2.9,2.2,2.5,8.4,0.0,0.2,0.7,0.6,5.5,290,115,120,30,456,434,469,385,459,76,74,100,457,495,109,62,438,477,5,"1629599,1610612746",2020-21
16,2760,Anderson Varejao,1610612739,CLE,38.0,5,1,4,0.2,7.3,0.0,0.2,0.0,0.8,2.4,1.6,2.8,11.3,0.4,0.6,0.6,1.0,9.4,512,515,40,509,476,508,481,498,473,58,47,118,415,198,421,49,309,410,5,"2760,1610612739",2020-21
17,203083,Andre Drummond,1610612747,LAL,27.0,46,19,27,0.413,27.3,2.5,3.6,1.1,12.4,10.1,5.6,7.4,27.4,1.1,1.5,3.3,3.9,37.5,268,298,361,378,148,68,9,186,10,429,279,420,145,42,538,530,41,44,5,"203083,1610612747",2020-21
18,2738,Andre Iguodala,1610612748,MIA,37.0,63,37,26,0.587,21.5,0.7,0.3,0.3,1.0,8.4,5.6,3.7,18.2,0.6,0.0,1.4,0.9,15.5,99,73,341,158,243,397,468,439,443,349,283,163,294,135,42,207,359,299,5,"2738,1610612748",2020-21
19,203460,Andre Roberson,1610612751,BKN,29.0,5,4,1,0.8,12.8,0.2,1.2,0.0,0.4,4.9,2.8,4.3,12.6,0.2,0.4,0.8,0.4,8.1,512,474,6,12,404,491,189,498,507,153,104,205,405,342,316,78,465,435,5,"203460,1610612751",2020-21
20,203952,Andrew Wiggins,1610612744,GSW,26.0,71,38,33,0.535,33.7,3.0,2.2,2.3,8.2,12.3,9.9,9.7,32.4,1.0,0.6,2.3,3.0,32.4,12,65,454,217,43,44,44,52,55,525,520,522,61,57,429,426,72,71,5,"203952,1610612744",2020-21
21,1629014,Anfernee Simons,1610612757,POR,22.0,64,37,27,0.578,17.5,0.6,0.4,0.7,1.0,4.7,5.7,4.5,16.6,0.1,0.3,1.5,0.6,13.3,89,73,361,169,324,403,420,293,452,148,294,222,334,418,206,222,415,340,5,"1629014,1610612757",2020-21
22,203076,Anthony Davis,1610612747,LAL,28.0,36,23,13,0.639,32.7,2.8,2.6,1.9,11.9,10.7,7.2,8.9,32.8,1.7,0.7,1.7,5.0,43.1,346,234,137,117,58,52,27,84,12,462,387,492,50,8,449,277,20,23,5,"203076,1610612747",2020-21
23,1630162,Anthony Edwards,1610612750,MIN,19.0,72,23,49,0.319,32.6,3.0,1.6,2.2,8.5,11.4,9.9,10.6,34.6,0.5,1.0,1.8,2.6,32.4,1,234,536,445,60,40,118,60,51,497,521,536,29,149,499,316,91,70,5,"1630162,1610612750",2020-21
24,1630264,Anthony Gill,1610612764,WAS,28.0,26,11,15,0.423,8.5,0.5,0.7,0.1,1.8,3.5,2.0,1.3,7.9,0.2,0.2,1.1,0.6,7.5,406,398,163,363,463,444,337,495,375,100,62,33,463,393,132,127,419,444,5,"1630264,1610612764",2020-21
25,1630237,Anthony Lamb,1610612745,HOU,23.0,24,3,21,0.125,17.5,0.3,1.0,0.3,1.9,5.6,3.6,3.8,21.1,0.2,0.3,1.4,1.1,11.2,417,482,258,525,321,485,238,428,357,193,142,168,242,339,231,198,298,376,5,"1630237,1610612745",2020-21
26,201229,Anthony Tolliver,1610612755,PHI,36.0,11,7,4,0.636,9.1,0.5,0.3,0.0,0.0,2.7,1.8,1.7,6.3,0.2,0.0,0.6,0.4,4.1,479,445,40,120,455,448,463,498,527,69,53,48,483,364,1,55,480,507,5,"201229,1610612755",2020-21
