,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season
113,Lineups,-200782-202326-203506-1627863-1630256-,P. Tucker - D. Cousins - V. Oladipo - D. House Jr. - J. Tate,1610612745,HOU,1,0,1,0.0,14.1,10.1,24.3,0.417,3.0,13.2,0.231,4.1,4.1,1.0,1.0,11.1,12.2,5.1,4.1,3.0,0.0,0.0,6.1,4.1,27.4,-7.1,5843,8619,4785,8619,112,237,150,7883,326,48,7037,371,667,1,1859,88,164,425,14540,84,4784,1,14691,349,248,14380,2020-21
114,Lineups,-201586-201587-201976-202331-202695-,S. Ibaka - N. Batum - P. Beverley - P. George - K. Leonard,1610612746,LAC,19,14,5,0.737,14.1,12.7,26.4,0.483,5.3,11.9,0.442,3.3,4.1,0.816,3.0,9.9,12.9,8.1,3.7,3.1,1.7,0.9,4.9,4.5,34.1,4.6,48,31,14448,5165,114,110,102,6503,57,84,4106,774,667,4199,211,159,139,118,14521,83,387,12406,14559,312,116,1000,2020-21
115,Lineups,-1626174-1627863-1628425-1629645-1630256-,C. Wood - D. House Jr. - S. Brown - K. Porter Jr. - J. Tate,1610612745,HOU,4,0,4,0.0,14.0,11.1,23.3,0.478,4.6,11.1,0.409,5.3,8.6,0.618,1.3,8.6,9.9,6.8,4.8,2.5,0.8,0.8,4.6,7.3,32.2,-5.3,1342,8619,14164,8619,118,172,180,6556,104,92,4396,169,64,5953,1738,247,358,223,14704,215,2351,12279,14522,45,146,14059,2020-21
116,Lineups,-203081-203468-203496-203994-1627884-,D. Lillard - C. McCollum - R. Covington - J. Nurkic - D. Jones Jr.,1610612757,POR,15,9,6,0.6,14.0,12.4,25.9,0.477,5.3,12.9,0.408,3.9,5.5,0.716,2.0,10.3,12.3,7.7,3.4,2.5,1.6,1.1,5.9,5.3,33.9,2.1,101,100,14594,5817,117,125,113,6583,58,62,4405,665,390,5244,561,123,160,131,14475,245,398,14236,14690,164,118,2741,2020-21
117,Lineups,-201937-1626157-1627736-1629020-1630162-,R. Rubio - K. Towns - M. Beasley - J. Vanderbilt - A. Edwards,1610612750,MIN,8,1,7,0.125,14.0,12.3,25.8,0.475,4.8,10.5,0.458,5.1,6.1,0.833,2.9,8.7,11.7,9.4,4.1,2.3,1.1,1.3,6.8,5.6,34.4,2.7,427,2859,14678,8614,116,128,115,6613,99,126,3972,175,215,3930,440,241,205,58,14540,264,561,14258,14762,146,102,2506,2020-21
118,Lineups,-202329-202696-203095-203932-1626184-,A. Aminu - N. Vucevic - E. Fournier - A. Gordon - C. Randle,1610612753,ORL,2,1,1,0.5,13.9,12.7,25.3,0.5,5.6,12.7,0.44,4.6,5.6,0.818,2.5,11.1,13.7,8.6,2.5,1.5,1.0,0.5,4.1,4.6,35.5,3.5,3207,2859,4785,6052,122,113,129,4380,53,63,4109,325,376,4168,464,88,98,85,13974,869,575,11158,14287,288,91,1556,2020-21
119,Lineups,-1627745-1629056-1629663-1629713-1630186-,D. Jones - T. Davis - L. King - J. James - J. Ramsey,1610612758,SAC,1,0,1,0.0,13.9,11.1,27.4,0.407,3.0,12.2,0.25,9.1,12.2,0.75,4.1,14.2,18.2,6.1,3.0,2.0,2.0,2.0,10.1,7.1,34.4,2.0,5843,8619,4785,8619,120,172,86,8057,326,69,6546,13,12,4604,79,29,35,266,14124,284,95,14428,14813,47,102,2742,2020-21
120,Lineups,-201162-202083-1626149-1628035-1629659-,J. Dudley - W. Matthews - M. Harrell - A. McKinnie - T. Horton-Tucker,1610612747,LAL,1,0,1,0.0,13.9,12.2,24.3,0.5,0.0,3.0,0.0,5.1,6.1,0.833,3.0,7.1,10.1,9.1,4.1,4.1,0.0,0.0,6.1,5.1,29.4,-9.1,5843,8619,4785,8619,119,129,150,4380,7763,2242,7763,175,215,3930,211,397,290,60,14540,15,4784,1,14691,169,184,14644,2020-21
121,Lineups,-2772-202357-1628389-1629130-1629134-,T. Ariza - N. Bjelica - B. Adebayo - D. Robinson - K. Nunn,1610612748,MIA,1,0,1,0.0,13.9,14.2,30.4,0.467,8.1,14.2,0.571,1.0,1.0,1.0,2.0,8.1,10.1,7.1,2.0,3.0,0.0,2.0,4.1,4.1,37.5,-1.0,5843,8619,4785,8619,120,67,57,6752,6,34,2188,4231,5625,1,561,270,290,161,12839,84,4784,14428,14287,349,66,8718,2020-21
122,Lineups,-201933-201961-203486-203924-1626153-,B. Griffin - W. Ellington - M. Plumlee - J. Grant - D. Wright,1610612765,DET,13,5,8,0.385,13.8,11.8,25.6,0.462,4.2,10.9,0.386,4.4,6.1,0.718,2.4,9.2,11.6,7.6,3.0,1.7,1.3,1.4,4.4,5.6,32.3,-0.9,133,368,14733,7804,124,159,125,6821,120,119,4809,355,215,5242,506,181,210,135,14119,812,524,14304,14517,145,145,8702,2020-21
123,Lineups,-101108-203109-1626164-1628969-1629028-,C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,52,38,14,0.731,13.8,12.6,25.0,0.505,3.7,9.4,0.393,4.3,5.1,0.851,2.2,9.5,11.7,8.0,3.3,2.2,1.4,0.8,5.0,5.0,33.3,1.5,1,1,14812,5167,127,119,142,4373,247,186,4785,357,410,3884,549,170,204,121,14470,274,497,12337,14565,265,125,4101,2020-21
124,Lineups,-1629647-1629650-1629676-1630177-1630197-,D. Bazley - M. Brown - I. Roby - T. Maledon - A. Pokusevski,1610612760,OKC,2,0,2,0.0,13.8,8.6,23.8,0.362,2.5,7.1,0.357,3.0,4.6,0.667,2.0,9.1,11.1,5.1,4.6,2.0,0.5,1.0,6.1,5.6,22.8,-14.2,3207,8619,11786,8619,126,401,169,9130,684,383,5070,803,600,5425,561,184,222,425,14690,284,2719,12416,14691,146,402,14798,2020-21
125,Lineups,-203967-1626166-1628470-1628975-1630188-,D. Saric - C. Payne - T. Craig - J. Carter - J. Smith,1610612756,PHX,1,1,0,1.0,13.8,18.2,31.4,0.581,5.1,13.2,0.385,2.0,2.0,1.0,3.0,16.2,19.3,10.1,2.0,4.1,1.0,2.0,2.0,2.0,43.6,17.2,5843,2859,1,1,125,19,48,3355,60,48,4812,1650,2365,1,211,12,28,31,12839,15,575,14428,11619,1669,33,7,2020-21
