,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,Season
1615,Lineups,-1626169-1627761-1630201-1630273-,S. Johnson - D. Bembry - M. Flynn - F. Gillespie,1610612761,TOR,7,3,4,0.429,63.0,0.484,0.187,0.103,0.216,0.619,0.2,0.191,0.177,4033,4604,24126,15186,1621,17112,15086,12353,15357,20509,13524,6224,13245,2020-21
1616,Lineups,-203082-203920-1628407-1629643-,T. Ross - K. Birch - D. Bacon - C. Okeke,1610612753,ORL,9,3,6,0.333,63.0,0.496,0.159,0.088,0.276,0.61,0.182,0.068,0.304,2932,4604,26656,16264,1594,16745,16552,10703,11173,20139,12615,19581,21971,2020-21
1617,Lineups,-202684-202689-203095-1628369-,T. Thompson - K. Walker - E. Fournier - J. Tatum,1610612738,BOS,4,0,4,0.0,63.0,0.61,0.298,0.096,0.237,0.565,0.226,0.115,0.181,7446,19573,24126,19573,1598,7556,9256,11555,14254,17444,15397,14674,13364,2020-21
1618,Lineups,-201152-203490-203897-1629632-,T. Young - O. Porter Jr. - Z. LaVine - C. White,1610612741,CHI,14,5,9,0.357,63.0,0.622,0.315,0.176,0.302,0.517,0.342,0.111,0.263,1440,2617,28106,16230,1618,7046,8636,21307,9589,14285,21081,15018,19932,2020-21
1619,Lineups,-203506-203926-1627734-1627763-,V. Oladipo - D. McDermott - D. Sabonis - M. Brogdon,1610612754,IND,8,4,4,0.5,63.0,0.564,0.347,0.073,0.197,0.577,0.288,0.136,0.191,3466,3408,24126,11146,1606,10331,7345,9498,16880,18166,18850,12048,14106,2020-21
1620,Lineups,-203115-203210-203999-1627750-,W. Barton - J. Green - N. Jokic - J. Murray,1610612743,DEN,17,12,5,0.706,63.0,0.5,0.237,0.135,0.286,0.617,0.262,0.143,0.188,980,630,25673,7927,1615,14016,12269,16568,10285,20451,17356,10631,13966,2020-21
1621,Lineups,-203897-1628374-1629632-1629655-,Z. LaVine - L. Markkanen - C. White - D. Gafford,1610612741,CHI,10,3,7,0.3,63.0,0.491,0.178,0.188,0.177,0.604,0.185,0.11,0.268,2503,4604,27319,17784,1600,16877,15627,22236,17477,19883,12923,15654,20194,2020-21
1622,Lineups,-203952-1628539-1629308-1629673-,A. Wiggins - M. Mulder - J. Toscano-Anderson - J. Poole,1610612744,GSW,11,8,3,0.727,62.0,0.519,0.25,0.095,0.143,0.46,0.268,0.114,0.257,2133,1353,21655,7663,1623,13423,11209,11382,18690,9472,17642,14876,19734,2020-21
1623,Lineups,-201933-203486-1626153-1628367-,B. Griffin - M. Plumlee - D. Wright - J. Jackson,1610612765,DET,11,4,7,0.364,62.0,0.458,0.229,0.154,0.297,0.582,0.227,0.22,0.203,2133,3408,27319,16165,1624,18321,12670,18861,9924,18472,15426,4486,15561,2020-21
1624,Lineups,-201933-203486-203924-1630165-,B. Griffin - M. Plumlee - J. Grant - K. Hayes,1610612765,DET,4,0,4,0.0,62.0,0.569,0.231,0.131,0.228,0.614,0.14,0.147,0.19,7446,19573,24126,19573,1649,10017,12520,16037,14701,20341,10738,10376,14034,2020-21
1625,Lineups,-202709-203084-1626158-1630169-,C. Joseph - H. Barnes - R. Holmes - T. Haliburton,1610612758,SAC,24,14,10,0.583,62.0,0.537,0.259,0.148,0.233,0.606,0.186,0.117,0.279,421,443,28360,10401,1658,12291,10988,18381,14424,19966,12995,14575,20712,2020-21
1626,Lineups,-202722-203078-203526-1630166-,D. Bertans - B. Beal - R. Neto - D. Avdija,1610612764,WAS,19,10,9,0.526,62.0,0.63,0.5,0.141,0.204,0.504,0.339,0.091,0.232,783,923,28106,11084,1648,6424,3725,17122,15787,13780,21034,17444,17505,2020-21
1627,Lineups,-201942-201988-1628401-1629640-,D. DeRozan - P. Mills - D. White - K. Johnson,1610612759,SAS,19,4,15,0.211,62.0,0.537,0.262,0.104,0.333,0.545,0.376,0.163,0.208,783,3408,28894,18856,1635,12320,10887,12437,6803,16022,21969,8900,15779,2020-21
1628,Lineups,-203471-203484-1626149-1629659-,D. Schroder - K. Caldwell-Pope - M. Harrell - T. Horton-Tucker,1610612747,LAL,24,15,9,0.625,62.0,0.526,0.19,0.136,0.279,0.519,0.241,0.163,0.205,421,371,28106,9617,1633,13000,14952,16592,11035,14355,16094,8894,15633,2020-21
1629,Lineups,-202339-203500-1629627-1630230-,E. Bledsoe - S. Adams - Z. Williamson - N. Marshall,1610612740,NOP,9,3,6,0.333,62.0,0.534,0.305,0.079,0.212,0.637,0.363,0.074,0.125,2932,4604,26656,16264,1655,12507,8984,9971,15548,21443,21519,19194,10149,2020-21
1630,Lineups,-201609-1628389-1629130-1629644-,G. Dragic - B. Adebayo - D. Robinson - K. Okpala,1610612748,MIA,11,4,7,0.364,62.0,0.556,0.139,0.152,0.267,0.583,0.259,0.106,0.194,2133,3408,27319,16165,1634,10887,17505,18784,11671,18480,17241,16033,14255,2020-21
1631,Lineups,-202066-203107-203897-1630172-,G. Temple - T. Satoransky - Z. LaVine - P. Williams,1610612741,CHI,16,8,8,0.5,62.0,0.698,0.279,0.13,0.286,0.542,0.202,0.154,0.25,1126,1353,27800,11146,1628,4270,10151,15918,10285,15885,14068,9579,18205,2020-21
1632,Lineups,-202397-202722-203078-1629655-,I. Smith - D. Bertans - B. Beal - D. Gafford,1610612764,WAS,13,10,3,0.769,62.0,0.542,0.208,0.14,0.377,0.683,0.297,0.182,0.188,1632,923,21655,7002,1654,11919,13838,17029,5672,23233,19154,6711,13817,2020-21
1633,Lineups,-1628386-1629012-1629685-1630171-,J. Allen - C. Sexton - D. Windler - I. Okoro,1610612739,CLE,13,5,8,0.385,62.0,0.538,0.346,0.144,0.35,0.547,0.243,0.114,0.192,1632,2617,27800,16016,1659,12135,7352,18117,6554,16187,16187,14876,14139,2020-21
1634,Lineups,-202710-203482-1629130-1629644-,J. Butler - K. Olynyk - D. Robinson - K. Okpala,1610612748,MIA,8,7,1,0.875,62.0,0.5,0.198,0.089,0.212,0.613,0.206,0.214,0.219,3466,1659,6282,6333,1636,14016,14617,10744,15548,20304,14193,4585,16461,2020-21
1635,Lineups,-203109-203967-1626166-1629661-,J. Crowder - D. Saric - C. Payne - C. Johnson,1610612756,PHX,16,12,4,0.75,62.0,0.47,0.25,0.106,0.284,0.548,0.261,0.104,0.169,1126,630,24126,7043,1642,17715,11209,12673,10892,16271,17298,16218,12859,2020-21
1636,Lineups,-1629162-1629675-1630162-1630183-,J. McLaughlin - N. Reid - A. Edwards - J. McDaniels,1610612750,MIN,25,6,19,0.24,62.0,0.5,0.348,0.106,0.209,0.505,0.275,0.157,0.25,368,2068,29026,18773,1638,14016,7318,12687,15662,13791,17957,9428,18205,2020-21
1637,Lineups,-202695-202704-1627826-1628379-,K. Leonard - R. Jackson - I. Zubac - L. Kennard,1610612746,LAC,12,9,3,0.75,62.0,0.594,0.214,0.131,0.316,0.557,0.296,0.077,0.154,1852,1098,21655,7043,1645,8424,13505,16037,9015,16919,19113,18812,11649,2020-21
1638,Lineups,-200768-203382-1626169-1626181-,K. Lowry - A. Baynes - S. Johnson - N. Powell,1610612761,TOR,10,2,8,0.2,62.0,0.492,0.202,0.143,0.254,0.613,0.21,0.117,0.247,2503,6537,27800,18857,1625,16847,14071,17207,12282,20305,14349,14575,18172,2020-21
1639,Lineups,-1626204-1626224-1629636-1630171-,L. Nance Jr. - C. Osman - D. Garland - I. Okoro,1610612739,CLE,10,5,5,0.5,62.0,0.5,0.153,0.164,0.254,0.543,0.247,0.231,0.094,2503,2617,25673,11146,1626,14016,16908,19920,12280,15931,16332,3936,9336,2020-21
1640,Lineups,-101150-201587-202331-1627826-,L. Williams - N. Batum - P. George - I. Zubac,1610612746,LAC,18,11,7,0.611,62.0,0.5,0.259,0.176,0.219,0.531,0.219,0.11,0.216,867,773,27319,9817,1657,14016,10988,21293,15271,15093,14834,15657,16329,2020-21
1641,Lineups,-1627736-1629162-1630162-1630183-,M. Beasley - J. McLaughlin - A. Edwards - J. McDaniels,1610612750,MIN,15,3,12,0.2,62.0,0.547,0.267,0.115,0.242,0.495,0.377,0.126,0.16,1271,4604,28669,18857,1644,11535,10652,13854,14038,10875,21979,13064,12005,2020-21
1642,Lineups,-201188-203484-1627936-1628398-,M. Gasol - K. Caldwell-Pope - A. Caruso - K. Kuzma,1610612747,LAL,15,7,8,0.467,62.0,0.538,0.321,0.137,0.267,0.561,0.235,0.186,0.224,1271,1659,27800,14872,1652,12258,8466,16819,11671,17134,15792,6539,17008,2020-21
1643,Lineups,-203486-1626153-1628367-1630180-,M. Plumlee - D. Wright - J. Jackson - S. Bey,1610612765,DET,16,5,11,0.313,62.0,0.623,0.422,0.122,0.241,0.583,0.311,0.154,0.242,1126,2617,28545,17749,1642,7031,5464,14696,14106,18474,19653,9592,17993,2020-21
1644,Lineups,-203935-1627759-1628369-1628400-,M. Smart - J. Brown - J. Tatum - S. Ojeleye,1610612738,BOS,14,7,7,0.5,62.0,0.597,0.212,0.115,0.263,0.5,0.222,0.155,0.197,1440,1659,27319,11146,1646,8309,13656,13854,11880,10918,14915,9551,14355,2020-21
1645,Lineups,-201587-202331-1627826-1629611-,N. Batum - P. George - I. Zubac - T. Mann,1610612746,LAC,15,11,4,0.733,62.0,0.57,0.252,0.118,0.328,0.459,0.229,0.119,0.195,1271,773,24126,7641,1650,10016,11195,14292,8746,9446,15542,14267,14293,2020-21
1646,Lineups,-202696-203095-203920-1630175-,N. Vucevic - E. Fournier - K. Birch - C. Anthony,1610612753,ORL,9,3,6,0.333,62.0,0.51,0.238,0.156,0.226,0.554,0.179,0.131,0.211,2932,4604,26656,16264,1640,13844,12188,19275,14789,16664,12521,12620,16007,2020-21
1647,Lineups,-200794-203999-1629008-1630267-,P. Millsap - N. Jokic - M. Porter Jr. - F. Campazzo,1610612743,DEN,14,12,2,0.857,62.0,0.559,0.16,0.12,0.35,0.581,0.153,0.119,0.122,1440,630,17094,6370,1647,10722,16535,14422,6554,18413,11295,14267,10133,2020-21
1648,Lineups,-200782-201569-203506-1626174-,P. Tucker - E. Gordon - V. Oladipo - C. Wood,1610612745,HOU,6,3,3,0.5,62.0,0.597,0.186,0.17,0.186,0.558,0.134,0.211,0.2,4866,4604,21655,11146,1631,8306,15096,20997,17160,16973,10599,4744,14392,2020-21
1649,Lineups,-200782-201935-1626174-1627863-,P. Tucker - J. Harden - C. Wood - D. House Jr.,1610612745,HOU,3,1,2,0.333,62.0,0.656,0.239,0.144,0.137,0.595,0.223,0.098,0.26,9590,10228,17094,16264,1653,5587,12183,18115,19138,19275,15293,17020,19859,2020-21
1650,Lineups,-201937-1629006-1629675-1630162-,R. Rubio - J. Okogie - N. Reid - A. Edwards,1610612750,MIN,17,6,11,0.353,62.0,0.365,0.217,0.136,0.145,0.53,0.231,0.161,0.194,980,2068,28545,16247,1629,21865,13380,16592,18689,15054,15576,9041,14267,2020-21
1651,Lineups,-201566-202722-1629060-1629655-,R. Westbrook - D. Bertans - R. Hachimura - D. Gafford,1610612764,WAS,11,7,4,0.636,62.0,0.56,0.308,0.124,0.339,0.496,0.267,0.115,0.25,2133,1659,24126,9530,1641,10692,8817,14839,6785,10879,17633,14674,18205,2020-21
1652,Lineups,-201586-201587-202704-1629611-,S. Ibaka - N. Batum - R. Jackson - T. Mann,1610612746,LAC,9,6,3,0.667,62.0,0.557,0.139,0.122,0.197,0.534,0.171,0.127,0.183,2932,2068,21655,8123,1656,10871,17504,14696,16884,15343,12246,13007,13660,2020-21
1653,Lineups,-201959-202692-1629628-1630193-,T. Gibson - A. Burks - R. Barrett - I. Quickley,1610612752,NYK,11,6,5,0.545,62.0,0.53,0.2,0.1,0.286,0.574,0.324,0.124,0.101,2133,2068,25673,10917,1637,12726,14082,11759,10285,18025,20007,13842,9586,2020-21
1654,Lineups,-203082-203932-1628407-1629109-,T. Ross - A. Gordon - D. Bacon - G. Clark,1610612753,ORL,8,2,6,0.25,62.0,0.47,0.322,0.143,0.397,0.513,0.196,0.122,0.149,3466,6537,26656,18084,1632,17706,8438,17207,5365,14109,13466,13971,11541,2020-21
1655,Lineups,-1626179-1628370-1628970-1629023-,T. Rozier - M. Monk - M. Bridges - P. Washington,1610612766,CHA,13,6,7,0.462,62.0,0.668,0.308,0.115,0.231,0.662,0.25,0.12,0.246,1632,2068,27319,14901,1651,4811,8809,13904,14488,22265,16355,14126,18148,2020-21
1656,Lineups,-201152-1627756-1629632-1629655-,T. Young - D. Valentine - C. White - D. Gafford,1610612741,CHI,11,5,6,0.455,62.0,0.529,0.21,0.148,0.318,0.526,0.276,0.136,0.188,2133,2617,26656,14942,1627,12767,13800,18375,8952,14765,17972,12048,13962,2020-21
1657,Lineups,-1626161-1626196-1627827-1628973-,W. Cauley-Stein - J. Richardson - D. Finney-Smith - J. Brunson,1610612742,DAL,17,8,9,0.471,62.0,0.519,0.286,0.116,0.234,0.55,0.229,0.124,0.164,980,1353,28106,14846,1639,13405,9601,14025,14407,16501,15542,13842,12101,2020-21
1658,Lineups,-202083-203076-203471-1628398-,W. Matthews - A. Davis - D. Schroder - K. Kuzma,1610612747,LAL,13,9,4,0.692,62.0,0.534,0.233,0.197,0.302,0.55,0.277,0.121,0.19,1632,1098,24126,8033,1630,12469,12490,22549,9593,16500,18020,14031,14023,2020-21
1659,Lineups,-2546-203496-1629014-1629018-,C. Anthony - R. Covington - A. Simons - G. Trent Jr.,1610612757,POR,18,11,7,0.611,61.0,0.438,0.217,0.15,0.304,0.556,0.283,0.116,0.182,867,773,27319,9817,1674,19144,13439,18663,9545,16742,18236,14602,13381,2020-21
