,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
1178,Lineups,-203501-204001-1628973-1629029-1630182-,T. Hardaway Jr. - K. Porzingis - J. Brunson - L. Doncic - J. Green,1610612742,DAL,2,2,0,1.0,17.0,129.1,131.4,96.6,97.1,32.5,34.3,0.684,13.0,26.0,0.143,0.9,0.588,0.029,0.606,0.645,98.7,97.49,81.24,35,0.693,3207,1417,1,1,1134,3497,5893,3592,4555,5,1880,7436,4563,3874,6203,4663,4655,11216,3808,2020-21
1179,Lineups,-1626168-1627749-1627751-1628401-1629640-,T. Lyles - D. Murray - J. Poeltl - D. White - K. Johnson,1610612759,SAS,2,1,1,0.5,17.0,82.9,77.8,133.5,134.3,-50.6,-56.5,0.5,1.0,13.0,0.222,0.9,0.464,0.167,0.448,0.455,98.8,101.73,84.78,36,0.25,3207,2859,4785,6052,1169,9752,11197,11538,6898,4164,8253,6303,4563,8250,9987,8586,9535,9369,10286,2020-21
1180,Lineups,-203933-1626167-1627734-1627763-1628988-,T. Warren - M. Turner - D. Sabonis - M. Brogdon - A. Holiday,1610612754,IND,2,2,0,1.0,17.0,110.0,113.2,101.2,105.3,8.8,7.9,0.444,2.0,16.0,0.222,0.824,0.514,0.105,0.529,0.565,111.1,107.4,89.5,38,0.561,3207,1417,1,1,1153,5442,7933,5751,8756,1975,6935,6303,5393,5497,7807,6171,6635,6896,5687,2020-21
1181,Lineups,-201152-202066-203107-203490-1627756-,T. Young - G. Temple - T. Satoransky - O. Porter Jr. - D. Valentine,1610612741,CHI,2,1,1,0.5,17.0,107.0,105.4,96.6,94.4,10.4,11.0,0.706,2.4,23.1,0.176,0.769,0.433,0.135,0.591,0.583,102.3,104.29,86.9,37,0.556,3207,2859,4785,6052,1162,6229,5709,5480,4420,1728,3005,7094,6249,8926,9010,4964,6154,8242,5749,2020-21
1182,Lineups,-201152-202066-203897-1627756-1629632-,T. Young - G. Temple - Z. LaVine - D. Valentine - C. White,1610612741,CHI,6,1,5,0.167,17.0,112.3,104.7,119.3,104.9,-7.0,-0.2,0.563,3.0,15.8,0.261,0.647,0.425,0.07,0.487,0.535,107.8,118.96,99.13,43,0.438,714,2859,14448,8574,1157,6274,7907,7798,6586,840,7000,5356,8911,9267,6687,8129,7295,3629,7867,2020-21
1183,Lineups,-203115-203932-203999-1628408-1629008-,W. Barton - A. Gordon - N. Jokic - P. Dozier - M. Porter Jr.,1610612743,DEN,5,5,0,1.0,17.0,116.1,113.2,92.4,92.1,23.7,21.1,0.733,2.75,20.8,0.235,0.654,0.488,0.105,0.517,0.58,104.6,106.15,88.46,38,0.662,957,368,1,1,1138,5442,5539,4623,4197,1429,3939,6194,8876,7856,7807,6308,6243,7403,4253,2020-21
1184,Lineups,-203115-1627750-1628392-1628408-1628420-,W. Barton - J. Murray - I. Hartenstein - P. Dozier - M. Morris,1610612743,DEN,3,1,2,0.333,17.0,87.6,86.1,56.8,61.1,30.8,25.0,0.583,1.75,12.7,0.462,0.654,0.558,0.111,0.338,0.374,103.3,100.33,83.61,36,0.893,1984,2859,11786,7833,1136,8987,2973,4266,6350,3089,8323,2616,8876,4527,7929,10021,10739,10008,2320,2020-21
1185,Lineups,-203115-203999-1628408-1628420-1629008-,W. Barton - N. Jokic - P. Dozier - M. Morris - M. Porter Jr.,1610612743,DEN,7,5,2,0.714,17.0,122.1,120.0,96.3,88.6,25.8,31.4,0.563,1.8,18.0,0.467,0.85,0.686,0.143,0.567,0.61,94.3,99.12,82.6,35,0.748,542,368,11786,5185,1155,4488,5202,3919,6586,3042,5684,2609,5024,1989,9142,5457,5520,10558,3304,2020-21
1186,Lineups,-201961-203924-1626153-1628367-1630191-,W. Ellington - J. Grant - D. Wright - J. Jackson - I. Stewart,1610612765,DET,5,0,5,0.0,17.0,100.4,102.8,75.6,70.3,24.9,32.5,0.417,0.83,10.6,0.389,0.762,0.59,0.167,0.45,0.531,102.8,105.37,87.81,36,0.655,957,8619,14448,8619,1177,6408,3739,3882,8936,5809,9167,3205,6327,3868,9987,8522,7469,7703,4309,2020-21
1187,Lineups,-202083-202693-1626149-1627936-1629659-,W. Matthews - M. Morris - M. Harrell - A. Caruso - T. Horton-Tucker,1610612747,LAL,4,1,3,0.25,17.0,110.9,105.3,106.2,107.9,4.6,-2.6,0.5,1.33,15.7,0.313,0.529,0.424,0.158,0.583,0.605,102.7,104.49,87.07,38,0.5,1342,2859,13480,8342,1116,6234,8183,7916,6898,3798,7085,4696,9841,9274,9861,5061,5631,8151,6639,2020-21
