,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,Season
1311,Lineups,-1628415-1629630-1630214-,D. Brooks - J. Morant - X. Tillman,1610612763,MEM,41,25,16,0.61,7.2,0.646,0.354,0.553,0.088,0.29,0.209,0.157,0.176,0.466,0.577,0.423,0.848,0.152,0.647,0.353,364,288,17616,5463,3334,6420,11545,6350,6623,10644,1691,7864,5509,6383,4936,11898,8416,6752,6226,10980,2020-21
1312,Lineups,-203110-1626162-1626172-,D. Green - K. Oubre Jr. - K. Looney,1610612744,GSW,34,18,16,0.529,7.2,0.578,0.422,0.469,0.065,0.397,0.134,0.134,0.183,0.404,0.667,0.333,0.833,0.167,0.727,0.273,689,827,17616,6803,3386,10885,7079,11114,8824,5044,4829,10193,4919,9724,2336,13796,8713,6038,3184,14087,2020-21
1313,Lineups,-2730-1629003-1630178-,D. Howard - S. Milton - T. Maxey,1610612755,PHI,41,29,12,0.707,7.2,0.682,0.318,0.568,0.098,0.285,0.126,0.147,0.138,0.47,0.455,0.545,0.906,0.094,0.569,0.431,364,179,16702,3782,3337,4270,13661,5698,5714,10875,5491,8800,8858,6224,10453,6381,6509,8653,10487,6779,2020-21
1314,Lineups,-203939-1628467-1629029-,D. Powell - M. Kleber - L. Doncic,1610612742,DAL,34,23,11,0.676,7.2,0.573,0.427,0.48,0.105,0.355,0.081,0.166,0.139,0.375,0.444,0.556,0.729,0.271,0.538,0.462,689,396,16397,4062,3426,11117,6848,10536,5211,7136,10078,7064,8825,11536,10990,5844,11881,3297,11791,5478,2020-21
1315,Lineups,-203210-1627750-1628420-,J. Green - J. Murray - M. Morris,1610612743,DEN,23,15,8,0.652,7.2,0.567,0.433,0.394,0.061,0.422,0.069,0.184,0.164,0.332,0.455,0.545,0.891,0.109,0.636,0.364,1641,1178,15036,4934,3406,11547,6417,14396,9196,4065,11014,5479,6484,13700,10461,6238,6904,8271,6661,10454,2020-21
1316,Lineups,-203210-1627750-1628408-,J. Green - J. Murray - P. Dozier,1610612743,DEN,25,18,7,0.72,7.2,0.538,0.462,0.426,0.094,0.429,0.094,0.145,0.174,0.332,0.488,0.512,0.891,0.109,0.65,0.35,1401,827,14318,3573,3419,13149,4814,13099,6121,3439,8884,8967,5599,13701,9390,7432,6904,8271,6147,11124,2020-21
1317,Lineups,-203937-1628415-1630217-,K. Anderson - D. Brooks - D. Bane,1610612763,MEM,46,24,22,0.522,7.2,0.667,0.333,0.577,0.053,0.312,0.163,0.11,0.171,0.524,0.513,0.487,0.807,0.193,0.591,0.409,221,329,18185,6887,3369,4776,12470,5081,10069,9513,3055,12465,5867,3783,7231,9602,9768,5409,9195,8076,2020-21
1318,Lineups,-203145-1627814-1629672-,K. Bazemore - D. Lee - E. Paschall,1610612744,GSW,23,12,11,0.522,7.2,0.628,0.372,0.52,0.149,0.334,0.106,0.146,0.149,0.371,0.5,0.5,1.0,0.0,0.65,0.35,1641,1694,16397,6887,3364,7449,10515,8145,2687,8132,7495,8931,7851,11781,7465,7623,1,9789,6104,11125,2020-21
1319,Lineups,-203114-203507-1626192-,K. Middleton - G. Antetokounmpo - P. Connaughton,1610612749,MIL,50,31,19,0.62,7.2,0.619,0.381,0.541,0.109,0.293,0.139,0.166,0.142,0.432,0.462,0.538,0.686,0.314,0.522,0.478,133,130,17984,5350,3417,8114,9851,6991,4835,10482,4493,7046,8530,8205,10196,6638,12498,2680,12257,5014,2020-21
1320,Lineups,-1628370-1628970-1630163-,M. Monk - M. Bridges - L. Ball,1610612766,CHA,30,14,16,0.467,7.2,0.603,0.397,0.458,0.043,0.346,0.103,0.196,0.207,0.414,0.543,0.457,0.781,0.219,0.623,0.377,966,1332,17616,9237,3350,9076,8887,11661,10940,7642,7883,4704,3627,9205,6184,10650,10579,4587,7460,9811,2020-21
1321,Lineups,-1628539-1629308-1629673-,M. Mulder - J. Toscano-Anderson - J. Poole,1610612744,GSW,21,14,7,0.667,7.2,0.443,0.557,0.414,0.033,0.423,0.097,0.163,0.174,0.381,0.627,0.373,0.863,0.137,0.722,0.278,1903,1332,14318,4073,3342,16131,1834,13481,11677,4051,8561,7279,5598,11249,3443,13390,7917,7259,3228,14002,2020-21
1322,Lineups,-201587-202335-1629611-,N. Batum - P. Patterson - T. Mann,1610612746,LAC,20,15,5,0.75,7.2,0.624,0.376,0.502,0.109,0.308,0.142,0.19,0.124,0.393,0.542,0.458,0.853,0.147,0.632,0.368,2065,1178,12416,3005,3425,7831,10134,9017,4872,9708,4290,5060,10282,10678,6209,10623,8321,6842,6945,10326,2020-21
1323,Lineups,-202696-1628374-1629632-,N. Vucevic - L. Markkanen - C. White,1610612741,CHI,19,9,10,0.474,7.2,0.583,0.417,0.505,0.071,0.398,0.071,0.097,0.068,0.434,0.667,0.333,1.0,0.0,0.782,0.218,2246,2397,15994,9166,3405,10600,7365,8880,8231,5021,10908,13233,13418,8110,2336,13796,1,9789,2142,15129,2020-21
1324,Lineups,-1629023-1629667-1630163-,P. Washington - J. McDaniels - L. Ball,1610612766,CHA,19,6,13,0.316,7.2,0.564,0.436,0.475,0.038,0.391,0.077,0.134,0.138,0.437,0.565,0.435,0.912,0.088,0.688,0.313,2246,3625,16990,12316,3379,11738,6227,10777,11327,5355,10488,10195,8869,7934,5391,11439,6331,8836,4243,12974,2020-21
1325,Lineups,-201937-1627736-1630183-,R. Rubio - M. Beasley - J. McDaniels,1610612750,MIN,23,5,18,0.217,7.2,0.534,0.466,0.455,0.067,0.445,0.11,0.1,0.153,0.388,0.505,0.495,0.887,0.113,0.656,0.344,1641,4256,17872,13552,3348,13274,4691,11763,8602,3090,7106,13001,7464,10917,7421,9409,7128,8048,5899,11370,2020-21
1326,Lineups,-201566-203526-1629060-,R. Westbrook - R. Neto - R. Hachimura,1610612764,WAS,38,20,18,0.526,7.2,0.728,0.272,0.581,0.107,0.232,0.127,0.186,0.134,0.474,0.61,0.39,0.846,0.154,0.66,0.34,479,637,17872,6835,3387,2549,15416,4937,4975,12854,5459,5330,9230,5989,3856,12978,8440,6635,5779,11492,2020-21
1327,Lineups,-203500-1628404-1629638-,S. Adams - J. Hart - N. Alexander-Walker,1610612740,NOP,29,13,16,0.448,7.2,0.627,0.373,0.526,0.102,0.347,0.12,0.127,0.082,0.423,0.415,0.585,0.808,0.192,0.535,0.465,1053,1490,17616,9520,3351,7521,10443,7828,5359,7517,6134,10891,12915,8700,11855,4979,9749,5412,11858,5413,2020-21
1328,Lineups,-2772-1628389-1629639-,T. Ariza - B. Adebayo - T. Herro,1610612748,MIA,23,12,11,0.522,7.2,0.643,0.357,0.509,0.058,0.326,0.117,0.164,0.127,0.451,0.594,0.406,0.976,0.024,0.708,0.292,1641,1694,16397,6887,3349,6548,11417,8679,9547,8798,6493,7140,9874,7140,4487,12334,5397,9781,3712,13559,2020-21
1329,Lineups,-1627752-1628386-1629012-,T. Prince - J. Allen - C. Sexton,1610612739,CLE,21,6,15,0.286,7.2,0.704,0.296,0.559,0.059,0.256,0.115,0.185,0.156,0.5,0.495,0.505,0.759,0.241,0.556,0.444,1903,3625,17469,12521,3376,3385,14580,6074,9447,12106,6654,5385,7151,4412,9250,7584,11033,4129,10930,6340,2020-21
1330,Lineups,-201152-202066-1630172-,T. Young - G. Temple - P. Williams,1610612741,CHI,39,17,22,0.436,7.2,0.653,0.347,0.538,0.066,0.315,0.066,0.147,0.158,0.472,0.54,0.46,0.753,0.247,0.6,0.4,438,927,18185,9738,3416,6005,11960,7143,8712,9389,11259,8851,6937,6077,6280,10554,11097,4081,8421,8344,2020-21
1331,Lineups,-201152-203107-1627756-,T. Young - T. Satoransky - D. Valentine,1610612741,CHI,34,14,20,0.412,7.2,0.595,0.405,0.523,0.045,0.369,0.119,0.108,0.169,0.477,0.601,0.399,0.954,0.046,0.714,0.286,689,1332,18079,10156,3390,9824,8141,7970,10741,6450,6217,12597,6003,5813,3972,12862,5523,9654,3350,13660,2020-21
1332,Lineups,-1626161-1628467-1629029-,W. Cauley-Stein - M. Kleber - L. Doncic,1610612742,DAL,24,17,7,0.708,7.2,0.497,0.503,0.394,0.057,0.413,0.109,0.192,0.126,0.337,0.482,0.518,0.81,0.19,0.617,0.383,1515,927,14318,3768,3384,15274,2690,14389,9675,4378,7163,4905,9983,13239,9563,7270,9692,5486,7707,9550,2020-21
1333,Lineups,-202692-203457-1630193-,A. Burks - N. Noel - I. Quickley,1610612752,NYK,32,18,14,0.563,7.1,0.646,0.354,0.527,0.068,0.338,0.041,0.135,0.158,0.459,0.496,0.504,0.74,0.26,0.569,0.431,810,827,17251,6348,3478,6434,11527,7716,8556,7998,12531,10072,7009,6733,9237,7595,11755,3423,10484,6787,2020-21
1334,Lineups,-203952-1626162-1626172-,A. Wiggins - K. Oubre Jr. - K. Looney,1610612744,GSW,39,22,17,0.564,7.1,0.589,0.411,0.472,0.075,0.387,0.135,0.141,0.182,0.398,0.618,0.382,0.843,0.157,0.698,0.302,438,463,17764,6343,3532,10178,7787,10912,7860,5537,4765,9501,5129,10485,3677,13157,8570,6607,3966,13305,2020-21
1335,Lineups,-1627742-1628404-1629638-,B. Ingram - J. Hart - N. Alexander-Walker,1610612740,NOP,32,13,19,0.406,7.1,0.605,0.395,0.501,0.12,0.355,0.124,0.144,0.12,0.381,0.496,0.504,0.836,0.164,0.605,0.395,810,1490,17984,10201,3465,8947,9018,9027,4077,7109,5788,9123,10554,11320,9234,7600,8703,6471,8274,8981,2020-21
1336,Lineups,-201572-203114-1626192-,B. Lopez - K. Middleton - P. Connaughton,1610612749,MIL,58,36,22,0.621,7.1,0.625,0.375,0.546,0.124,0.306,0.09,0.148,0.115,0.422,0.463,0.537,0.648,0.352,0.513,0.487,30,56,18185,5341,3438,7573,10392,6662,3893,9800,9242,8745,11046,8769,10192,6642,13290,1888,12423,4848,2020-21
1337,Lineups,-2546-203081-203496-,C. Anthony - D. Lillard - R. Covington,1610612757,POR,60,34,26,0.567,7.1,0.474,0.526,0.352,0.085,0.457,0.089,0.191,0.125,0.267,0.354,0.646,0.663,0.337,0.497,0.503,23,76,18318,6324,3476,15623,2311,15281,6935,2810,9328,4996,10029,15207,13275,3558,13245,1933,13986,3285,2020-21
1338,Lineups,-1627761-1627783-1627832-,D. Bembry - P. Siakam - F. VanVleet,1610612761,TOR,24,11,13,0.458,7.1,0.633,0.367,0.532,0.055,0.254,0.142,0.214,0.154,0.478,0.533,0.467,0.765,0.235,0.589,0.411,1515,1892,16990,9381,3467,7196,10769,7470,9887,12171,4297,3744,7278,5801,6592,10239,10931,4220,9301,7970,2020-21
1339,Lineups,-1626164-1628470-1629028-,D. Booker - T. Craig - D. Ayton,1610612756,PHX,23,17,6,0.739,7.1,0.684,0.316,0.576,0.169,0.305,0.087,0.119,0.134,0.407,0.457,0.543,0.756,0.244,0.535,0.465,1641,927,13463,3430,3496,4225,13740,5130,2032,9853,9577,11661,9240,9594,10417,6417,11071,4100,11860,5411,2020-21
1340,Lineups,-2730-1629680-1630178-,D. Howard - M. Thybulle - T. Maxey,1610612755,PHI,38,26,12,0.684,7.1,0.691,0.309,0.613,0.132,0.247,0.127,0.14,0.161,0.481,0.409,0.591,0.92,0.08,0.517,0.483,479,250,16702,4005,3435,3884,14081,3865,3460,12468,5447,9616,6667,5634,11974,4858,6108,9052,12353,4916,2020-21
1341,Lineups,-203926-1628988-1629048-,D. McDermott - A. Holiday - G. Bitadze,1610612754,IND,20,6,14,0.3,7.1,0.668,0.332,0.566,0.041,0.327,0.177,0.106,0.139,0.525,0.563,0.438,0.946,0.054,0.669,0.331,2065,3625,17251,12404,3489,4770,13195,5739,11100,8734,2483,12684,8815,3769,5420,11357,5627,9544,4751,12519,2020-21
1342,Lineups,-203939-1626196-1629029-,D. Powell - J. Richardson - L. Doncic,1610612742,DAL,39,26,13,0.667,7.1,0.562,0.438,0.484,0.057,0.342,0.114,0.174,0.153,0.427,0.464,0.536,0.694,0.306,0.538,0.462,438,250,16990,4073,3495,11827,6138,10314,9678,7826,6717,6203,7438,8511,10165,6669,12423,2752,11790,5481,2020-21
1343,Lineups,-201565-203944-1630193-,D. Rose - J. Randle - I. Quickley,1610612752,NYK,28,20,8,0.714,7.1,0.596,0.404,0.424,0.097,0.384,0.057,0.192,0.141,0.327,0.344,0.656,0.828,0.172,0.526,0.474,1145,637,15036,3588,3520,9747,8218,13162,5799,5638,11789,4946,8584,13805,13396,3435,9197,5966,12136,5135,2020-21
1344,Lineups,-203967-1626166-1628470-,D. Saric - C. Payne - T. Craig,1610612756,PHX,22,18,4,0.818,7.1,0.534,0.466,0.492,0.081,0.414,0.068,0.095,0.151,0.411,0.527,0.473,0.902,0.098,0.662,0.338,1789,827,11166,2602,3486,13273,4692,9932,7269,4375,11137,13384,7618,9404,6743,10088,6599,8575,5731,11539,2020-21
1345,Lineups,-1628960-1629630-1629634-,G. Allen - J. Morant - B. Clarke,1610612763,MEM,31,17,14,0.548,7.1,0.678,0.322,0.591,0.052,0.269,0.136,0.14,0.136,0.539,0.527,0.473,0.889,0.111,0.611,0.389,883,927,17251,6562,3526,4455,13510,4580,10171,11606,4718,9645,9073,3382,6755,10077,6918,8062,8000,9270,2020-21
1346,Lineups,-1627759-1628369-1628400-,J. Brown - J. Tatum - S. Ojeleye,1610612738,BOS,34,16,18,0.471,7.1,0.615,0.385,0.514,0.079,0.311,0.123,0.175,0.157,0.436,0.444,0.556,0.759,0.241,0.535,0.465,689,1038,17872,9195,3470,8255,9592,8418,7513,9566,5848,6129,7037,7980,10806,5846,11033,4129,11871,5399,2020-21
1347,Lineups,-1629637-1630184-1630230-,J. Hayes - K. Lewis Jr. - N. Marshall,1610612740,NOP,22,9,13,0.409,7.1,0.734,0.266,0.582,0.032,0.254,0.103,0.164,0.164,0.55,0.473,0.527,0.875,0.125,0.563,0.437,1789,2397,16990,10187,3447,2428,15537,4910,11754,12164,7834,7187,6448,3089,9877,6956,7369,7509,10666,6604,2020-21
1348,Lineups,-1627823-1629669-1629675-,J. Hernangomez - J. Nowell - N. Reid,1610612750,MIN,21,7,14,0.333,7.1,0.615,0.385,0.562,0.07,0.249,0.048,0.188,0.118,0.492,0.42,0.58,0.731,0.269,0.491,0.509,1903,3179,17251,11223,3432,8397,9567,5922,8283,12438,12243,5150,10740,5218,11708,5125,11856,3307,14018,3252,2020-21
