,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Season
1855,Lineups,-1626149-1628035-,M. Harrell - A. McKinnie,1610612747,LAL,22,12,10,0.545,6.9,3.1,1.8,1.3,7.7,2.9,1.5,2.4,6.8,1532,1268,3150,1810,1896,2048,2984,3341,2414,2642,1506,3021,2200,2020-21
1856,Lineups,-1626181-1629056-,N. Powell - T. Davis,1610612761,TOR,27,9,18,0.333,6.9,3.0,2.0,1.5,5.4,3.0,2.1,2.7,5.7,1217,1654,4220,3429,1707,2215,2790,3114,3360,2722,2437,3330,1745,2020-21
1857,Lineups,-201937-1629669-,R. Rubio - J. Nowell,1610612750,MIN,34,9,25,0.265,6.9,2.9,2.1,1.9,7.1,2.0,1.8,1.8,6.2,892,1654,4721,3931,1424,2281,2495,2511,2629,1518,1934,2121,1985,2020-21
1858,Lineups,-1628425-1630222-,S. Brown - M. Jones,1610612745,HOU,21,6,15,0.286,6.9,3.0,1.3,1.6,6.4,3.6,1.6,2.1,7.4,1602,2171,3874,3808,1942,2189,3681,2846,2938,3299,1680,2681,2412,2020-21
1859,Lineups,-204020-1628971-,T. Johnson - B. Brown,1610612751,BKN,29,23,6,0.793,6.9,1.4,1.5,2.1,6.2,2.2,2.0,2.1,6.5,1122,538,2314,442,1618,3874,3398,2153,2987,1884,2131,2620,2100,2020-21
1860,Lineups,-202684-1630202-,T. Thompson - P. Pritchard,1610612738,BOS,45,23,22,0.511,6.9,2.5,2.1,1.4,6.3,1.7,1.4,1.3,6.1,482,538,4551,2021,1135,2690,2499,3160,2952,1282,1475,1566,1980,2020-21
1861,Lineups,-2738-1630173-,A. Iguodala - P. Achiuwa,1610612748,MIA,46,25,21,0.543,6.8,2.5,1.5,1.7,5.6,2.8,2.0,1.3,5.8,449,435,4478,1854,1132,2707,3306,2753,3286,2564,2136,1514,1790,2020-21
1862,Lineups,-1628415-1629001-,D. Brooks - D. Melton,1610612763,MEM,45,24,21,0.533,6.8,3.3,2.1,2.9,8.7,2.3,1.6,1.7,6.3,482,488,4478,1901,1149,1871,2549,1359,2067,1953,1709,1993,2031,2020-21
1863,Lineups,-1628410-1628988-,E. Sumner - A. Holiday,1610612754,IND,35,12,23,0.343,6.8,2.8,2.1,3.2,7.9,2.3,2.5,2.0,7.8,859,1268,4617,3422,1399,2377,2560,1152,2355,2043,2891,2379,2548,2020-21
1864,Lineups,-1629633-1629675-,J. Culver - N. Reid,1610612750,MIN,32,7,25,0.219,6.8,2.5,1.4,1.6,6.2,2.6,1.9,2.2,6.9,986,1980,4721,4153,1511,2612,3498,2886,2991,2313,2105,2841,2241,2020-21
1865,Lineups,-1629020-1629162-,J. Vanderbilt - J. McLaughlin,1610612750,MIN,38,11,27,0.289,6.8,2.9,1.9,1.5,7.9,2.4,1.8,1.7,6.5,722,1382,4812,3804,1318,2291,2812,2974,2366,2123,2002,1983,2102,2020-21
1866,Lineups,-1628366-1629637-,L. Ball - J. Hayes,1610612740,NOP,40,15,25,0.375,6.8,2.0,1.7,2.4,6.7,2.7,1.8,1.9,6.1,653,1034,4721,3233,1268,3328,3047,1848,2824,2415,1942,2318,1981,2020-21
1867,Lineups,-1630194-1630198-,P. Reed - I. Joe,1610612755,PHI,22,13,9,0.591,6.8,2.9,2.6,1.9,7.4,2.2,1.2,1.5,5.0,1532,1183,2980,1540,1909,2230,1930,2472,2565,1847,1254,1773,1435,2020-21
1868,Lineups,-201939-1629672-,S. Curry - E. Paschall,1610612744,GSW,30,17,13,0.567,6.8,3.0,1.7,2.0,6.7,3.2,1.7,1.5,6.0,1069,901,3614,1686,1604,2063,3071,2429,2824,2950,1841,1759,1841,2020-21
1869,Lineups,-202711-1627777-,B. Bogdanovic - G. Niang,1610612762,UTA,30,22,8,0.733,6.7,2.0,1.8,2.5,7.2,2.5,2.1,1.0,7.0,1069,595,2781,630,1609,3106,2995,1722,2622,2211,2401,1261,2277,2020-21
1870,Lineups,-1630170-1630200-,D. Vassell - T. Jones,1610612759,SAS,28,11,17,0.393,6.7,2.2,2.1,1.8,7.3,1.8,1.6,1.7,6.9,1168,1382,4113,3158,1698,3027,2546,2660,2579,1321,1680,2056,2226,2020-21
1871,Lineups,-1628401-1629234-,D. White - D. Eubanks,1610612759,SAS,32,18,14,0.563,6.7,2.4,1.2,1.8,6.1,1.6,1.9,1.6,6.8,986,830,3738,1702,1526,2790,3769,2636,3002,1201,2105,1971,2209,2020-21
1872,Lineups,-1629685-1630171-,D. Windler - I. Okoro,1610612739,CLE,24,7,17,0.292,6.7,2.8,2.2,1.4,6.8,2.8,1.6,1.0,7.3,1405,1980,4113,3800,1855,2358,2434,3233,2754,2517,1746,1046,2390,2020-21
1873,Lineups,-202066-1629655-,G. Temple - D. Gafford,1610612741,CHI,26,12,14,0.462,6.7,3.0,2.2,1.7,6.2,2.5,2.2,1.2,7.1,1274,1268,3738,2609,1769,2219,2412,2810,2998,2155,2564,1463,2287,2020-21
1874,Lineups,-1628385-1629642-,H. Giles III - N. Little,1610612757,POR,22,13,9,0.591,6.7,1.1,1.7,1.3,5.1,2.3,3.0,2.3,6.0,1532,1183,2980,1540,1934,4093,3082,3341,3480,1940,3444,2965,1839,2020-21
1875,Lineups,-203200-1629048-,J. Holiday - G. Bitadze,1610612754,IND,32,13,19,0.406,6.7,2.6,1.7,2.7,6.6,2.3,2.2,2.3,6.9,986,1183,4317,3027,1540,2607,3051,1600,2844,1956,2559,2961,2241,2020-21
1876,Lineups,-1629670-1630241-,J. Nwora - S. Merrill,1610612749,MIL,23,13,10,0.565,6.7,2.4,1.9,1.8,4.2,2.7,2.3,1.6,5.4,1457,1183,3150,1691,1887,2783,2827,2691,3790,2484,2694,1957,1605,2020-21
1877,Lineups,-1629020-1630183-,J. Vanderbilt - J. McDaniels,1610612750,MIN,42,10,32,0.238,6.7,2.6,2.2,1.2,6.3,2.1,1.9,1.7,6.8,594,1502,4952,4084,1237,2589,2434,3471,2965,1787,2102,2090,2195,2020-21
1878,Lineups,-1628989-1630168-,K. Huerter - O. Okongwu,1610612737,ATL,42,26,16,0.619,6.7,1.8,1.8,1.0,5.9,2.2,1.7,2.1,7.3,594,403,4005,1331,1232,3445,2938,3603,3188,1866,1862,2615,2377,2020-21
1879,Lineups,-1626172-1628539-,K. Looney - M. Mulder,1610612744,GSW,30,22,8,0.733,6.7,2.3,1.6,2.7,5.8,2.5,2.2,1.6,6.5,1069,595,2781,630,1615,2899,3255,1546,3217,2163,2505,1912,2083,2020-21
1880,Lineups,-1628384-1629139-,O. Anunoby - Y. Watanabe,1610612761,TOR,21,10,11,0.476,6.7,3.3,1.5,2.9,8.0,1.8,1.9,1.5,6.4,1602,1502,3323,2496,1983,1849,3300,1390,2336,1409,2102,1875,2038,2020-21
1881,Lineups,-200794-1630267-,P. Millsap - F. Campazzo,1610612743,DEN,36,30,6,0.833,6.7,2.1,1.6,1.3,6.0,2.1,1.5,1.8,5.8,813,251,2314,336,1391,3091,3230,3359,3168,1753,1496,2168,1783,2020-21
1882,Lineups,-202335-202695-,P. Patterson - K. Leonard,1610612746,LAC,21,16,5,0.762,6.7,1.9,2.0,2.1,5.7,1.8,1.9,1.2,6.8,1602,960,2036,488,1995,3400,2793,2212,3268,1365,2102,1404,2168,2020-21
1883,Lineups,-201577-1629067-,R. Lopez - I. Bonga,1610612764,WAS,25,8,17,0.32,6.7,2.2,1.8,1.1,6.4,2.6,1.0,1.2,4.6,1343,1806,4113,3669,1818,2969,2941,3598,2927,2283,887,1408,1308,2020-21
1884,Lineups,-1627789-1629617-,T. Luwawu-Cabarrot - R. Perry,1610612751,BKN,25,18,7,0.72,6.7,1.9,2.1,1.9,6.6,2.7,2.0,1.5,6.2,1343,830,2536,699,1816,3386,2493,2560,2845,2399,2162,1771,1982,2020-21
