,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
63,J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,2014-15,20,73.4,151,145,96.8,+7.4,-14.1,+.166,+4.4,+7.1,+.071,+.203,-4.2,-10.6,+.146,+14.9
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,B. Griffin | D. Jordan | C. Paul | J. Redick | H. Türkoğlu,LAC,2014-15,8,64.5,126,121,91.9,+4.6,-0.4,+.054,+15.7,+20.0,+.292,+.143,-10.5,-8.3,-.167,+14.5
67,C. Butler | K. Caldwell-Pope | A. Drummond | R. Jackson | A. Tolliver,DET,2014-15,18,172.1,320,316,88.7,+5.4,+2.6,+.043,+8.6,+14.1,+.086,+.088,-4.9,-4.0,-.113,+14.5
68,M. Barnes | S. Hawes | D. Jordan | C. Paul | J. Redick,LAC,2014-15,17,197.9,383,390,93.8,+8.0,+2.6,+.076,+4.9,+7.0,+.071,+.101,-6.7,-7.4,-.058,+14.1
69,R. Hibbert | G. Hill | C. Miles | R. Stuckey | D. West,IND,2014-15,22,122.0,241,237,94.0,+5.6,-5.7,+.092,+0.7,-2.4,+.080,+.098,+2.2,+1.6,+.035,+14.1
70,M. Barnes | J. Crawford | B. Griffin | D. Jordan | C. Paul,LAC,2014-15,44,224.7,433,441,93.3,+4.7,+0.9,+.048,-1.2,-6.2,+.039,+.041,+5.9,+8.6,-.007,+14.0
71,J. Barea | T. Chandler | M. Ellis | D. Nowitzki | C. Parsons,DAL,2014-15,14,68.9,141,127,93.4,+3.7,-2.3,+.051,-0.2,-5.7,+.066,+.051,+6.7,+7.0,+.032,+13.9
72,A. Aminu | T. Chandler | M. Ellis | J. Nelson | C. Parsons,DAL,2014-15,13,53.7,102,109,94.4,+15.9,+23.3,+.065,-2.2,+4.8,-.133,+.039,-15.9,-15.6,-.161,+13.8
73,G. Dieng | S. Muhammad | A. Wiggins | M. Williams | T. Young,MIN,2014-15,11,80.3,159,159,95.1,+1.9,+5.7,-.010,+3.1,0.0,+.200,+.006,+6.9,+13.2,-.114,+13.8
74,M. Carter-Williams | R. Covington | L. Mbah a Moute | K. McDaniels | N. Noel,PHI,2014-15,19,151.5,286,295,92.0,+5.2,+3.9,+.041,+0.2,+1.8,-.012,+.040,+2.9,+6.2,-.066,+13.6
75,D. DeRozan | A. Johnson | K. Lowry | P. Patterson | T. Ross,TOR,2014-15,19,64.3,128,123,93.7,+0.6,-11.7,+.067,+1.2,-1.0,+.061,+.080,+11.0,+12.4,+.037,+13.5
