,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
58,T. Ariza | J. Harden | D. Howard | T. Jones,HOU,2014-15,10,144.0,280,280,93.3,+1.4,-12.1,+.084,+7.5,+8.2,+.209,+.134,+8.9,+10.0,+.055,+19.3
59,A. Brooks | K. Hinrich | N. Mirotić | J. Noah,CHI,2014-15,24,101.9,195,190,90.7,+5.2,-5.4,+.085,+2.9,+4.0,+.055,+.105,+5.7,+7.2,-.007,+19.1
60,V. Carter | M. Conley | M. Gasol | Z. Randolph,MEM,2014-15,32,115.9,238,211,93.0,+10.2,+6.7,+.081,-4.8,-15.9,+.073,+.052,+3.4,+2.6,+.065,+19.0
61,J. Harden | T. Jones | J. Smith | J. Terry,HOU,2014-15,23,109.9,232,231,101.2,+2.0,-12.9,+.085,+4.7,+2.0,+.136,+.119,+10.3,+9.8,+.112,+19.0
62,J. Butler | M. Dunleavy | P. Gasol | N. Mirotić,CHI,2014-15,24,118.5,235,230,94.2,-0.8,-10.0,+.040,+7.1,+10.3,+.165,+.086,+13.3,+17.0,+.033,+18.9
63,K. Durant | R. Jackson | A. Morrow | K. Perkins,OKC,2014-15,21,117.1,240,242,98.8,+9.1,+4.1,+.078,+2.6,+6.0,+.027,+.090,-1.9,-4.4,+.070,+18.8
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,K. Irving | L. James | K. Love | J. Smith,CLE,2014-15,33,591.7,1176,1160,94.8,+3.9,-1.3,+.050,+4.8,+12.1,+.011,+.078,+6.1,+7.2,+.044,+18.7
67,L. James | K. Love | T. Mozgov | J. Smith,CLE,2014-15,35,516.0,1031,1026,95.7,+4.7,-1.3,+.059,+5.2,+12.5,+.016,+.088,+4.2,+4.7,+.046,+18.7
68,H. Barnes | A. Bogut | D. Green | K. Thompson,GSW,2014-15,59,832.9,1711,1707,98.5,+7.4,+1.4,+.075,+7.7,+15.3,+.059,+.117,-3.8,-5.1,+.009,+18.7
69,M. Barnes | B. Griffin | D. Jordan | J. Redick,LAC,2014-15,60,1219.9,2410,2409,94.8,+6.5,+1.3,+.066,+2.5,+2.8,+.057,+.079,+3.2,+6.3,-.058,+18.7
70,M. Dellavedova | L. James | K. Love | T. Thompson,CLE,2014-15,40,212.6,387,383,86.9,+1.4,+4.0,-.005,+3.8,+9.8,-.001,+.013,+12.0,+15.0,+.018,+18.6
71,H. Barnes | S. Curry | D. Green | M. Speights,GSW,2014-15,36,206.9,442,449,103.4,+8.5,+6.6,+.061,+5.3,+4.7,+.134,+.086,-3.8,-5.3,+.019,+18.6
72,J. Bayless | J. Dudley | O. Mayo | Z. Pachulia,MIL,2014-15,29,108.4,208,212,93.0,+9.3,+5.0,+.080,+0.6,-4.2,+.070,+.081,-0.7,-0.1,-.033,+18.5
73,K. Irving | L. James | K. Love | T. Mozgov,CLE,2014-15,33,510.3,1018,1014,95.6,+4.3,-1.9,+.057,+4.4,+10.9,+.016,+.083,+5.6,+6.8,+.036,+18.5
74,J. Bayless | J. Henson | O. Mayo | K. Middleton,MIL,2014-15,31,123.8,247,251,96.6,+7.4,-4.3,+.112,+4.9,+2.4,+.169,+.144,-1.3,-6.0,+.131,+18.4
75,K. Irving | K. Love | S. Marion | T. Thompson,CLE,2014-15,39,182.0,348,347,91.7,+3.6,+9.2,-.006,+2.3,-0.1,+.096,+.002,+8.9,+11.1,+.011,+18.4
76,H. Barnes | S. Curry | D. Green | K. Thompson,GSW,2014-15,73,1270.8,2649,2662,100.3,+7.0,+1.2,+.072,+6.9,+11.8,+.094,+.110,-2.4,-3.6,+.020,+18.4
77,N. Batum | D. Lillard | W. Matthews | T. Robinson,POR,2014-15,14,120.1,253,249,100.4,+3.8,+4.6,+.020,+6.6,+11.2,+.118,+.057,+4.1,+4.3,+.040,+18.3
78,K. Caldwell-Pope | A. Drummond | R. Jackson | A. Tolliver,DET,2014-15,22,247.7,477,464,91.2,+8.8,+3.2,+.079,+6.5,+9.9,+.101,+.113,-5.7,-3.5,-.156,+18.3
79,A. Horford | K. Korver | T. Sefolosha | J. Teague,ATL,2014-15,29,115.1,216,219,90.7,+6.6,+1.3,+.066,+2.0,+3.1,+.026,+.076,+2.9,-2.5,+.255,+18.1
80,H. Barnes | A. Bogut | S. Curry | K. Thompson,GSW,2014-15,61,925.5,1911,1904,98.9,+7.4,+1.2,+.076,+7.4,+14.2,+.071,+.117,-4.2,-5.3,-.001,+18.0
81,D. Green | A. Iguodala | S. Livingston | K. Thompson,GSW,2014-15,46,178.4,341,348,92.7,+7.4,-4.3,+.105,+1.9,-1.2,+.090,+.118,+1.2,+0.2,+.047,+18.0
82,M. Barnes | D. Jordan | C. Paul | J. Redick,LAC,2014-15,72,1508.2,2988,2985,95.0,+6.6,+1.2,+.067,+2.5,+2.9,+.055,+.081,+2.1,+4.9,-.060,+17.8
83,A. Brooks | J. Butler | T. Gibson | N. Mirotić,CHI,2014-15,41,203.3,378,372,88.5,+3.9,+2.3,+.033,+3.3,+4.9,+.058,+.050,+6.6,+6.4,+.059,+17.7
84,M. Barnes | B. Griffin | D. Jordan | C. Paul,LAC,2014-15,63,1508.3,2964,2978,94.6,+6.5,+1.1,+.066,+1.9,+1.4,+.053,+.076,+2.7,+5.7,-.054,+17.6
85,M. Barnes | B. Griffin | C. Paul | J. Redick,LAC,2014-15,60,1273.8,2541,2527,95.5,+6.3,+1.3,+.064,+2.2,+2.4,+.050,+.076,+2.7,+5.9,-.062,+17.6
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,2014-15,64,1565.5,3079,3070,94.3,+5.4,+0.4,+.059,+2.9,+3.3,+.064,+.075,+3.7,+6.3,-.036,+17.5
89,J. Butler | M. Dunleavy | T. Gibson | K. Hinrich,CHI,2014-15,19,105.3,201,196,90.5,+4.5,+2.8,+.037,-1.2,-2.0,-.016,+.029,+9.7,+8.0,+.172,+17.5
90,K. Durant | S. Ibaka | A. Roberson | R. Westbrook,OKC,2014-15,27,355.1,703,714,95.8,+5.8,+2.6,+.053,-0.1,-1.3,+.017,+.050,+5.9,+7.5,-.009,+17.5
91,V. Carter | M. Conley | M. Gasol | C. Lee,MEM,2014-15,32,119.6,253,222,95.3,+7.4,+4.8,+.060,+0.5,-5.6,+.117,+.060,+2.2,-1.1,+.110,+17.4
92,D. Gooden | M. Gortat | O. Porter | J. Wall,WAS,2014-15,25,155.3,305,309,94.9,+7.4,+7.0,+.045,+1.7,-4.6,+.152,+.051,+0.5,-3.7,+.185,+17.0
93,D. Augustin | M. McGary | A. Morrow | D. Waiters,OKC,2014-15,18,105.2,213,209,96.2,+10.7,+13.0,+.058,+0.3,-3.8,+.061,+.052,-4.6,-10.5,+.097,+17.0
94,K. Irving | K. Love | T. Mozgov | J. Smith,CLE,2014-15,37,631.6,1269,1259,96.1,+3.9,-2.7,+.057,+4.8,+10.7,+.036,+.086,+4.3,+5.3,+.019,+16.9
95,T. Ariza | I. Canaan | J. Harden | D. Motiejūnas,HOU,2014-15,12,128.7,246,242,91.0,+2.6,-4.3,+.051,+5.5,+7.3,+.093,+.085,+5.9,+8.7,+.002,+16.8
96,A. Anderson | J. Johnson | B. Lopez | D. Williams,BRK,2014-15,33,184.5,374,367,96.4,+7.0,+2.1,+.068,+0.1,-1.5,+.028,+.068,+2.3,+0.9,+.065,+16.5
97,K. Irving | T. Mozgov | I. Shumpert | J. Smith,CLE,2014-15,26,117.3,238,241,98.0,+8.4,+3.1,+.083,+5.1,+8.7,+.073,+.111,-5.6,-4.7,-.070,+16.4
98,T. Allen | M. Gasol | J. Green | Z. Randolph,MEM,2014-15,30,143.4,269,266,89.6,+7.0,-7.0,+.119,-6.1,-18.9,+.092,+.088,+8.3,+10.1,+.015,+16.3
99,T. Ariza | C. Brewer | P. Prigioni | J. Smith,HOU,2014-15,18,124.6,264,261,101.2,+3.8,-7.1,+.080,+3.7,+11.9,-.029,+.106,+5.2,+13.4,-.138,+16.3
100,H. Barnes | S. Curry | M. Speights | K. Thompson,GSW,2014-15,41,229.0,492,497,103.7,+7.7,+7.2,+.050,+4.8,+5.9,+.098,+.072,-3.9,-5.7,+.032,+16.3
101,K. Irving | L. James | T. Mozgov | J. Smith,CLE,2014-15,38,596.6,1191,1177,95.3,+4.6,-2.5,+.063,+4.9,+11.7,+.009,+.092,+2.3,+2.4,+.028,+16.3
102,G. Antetokounmpo | B. Knight | K. Middleton | Z. Pachulia,MIL,2014-15,32,296.7,575,571,92.7,+5.8,+3.4,+.050,-0.2,-6.4,+.114,+.047,+4.6,+5.3,+.018,+16.1
103,K. Durant | S. Ibaka | K. Perkins | R. Westbrook,OKC,2014-15,20,116.7,237,232,96.5,+6.4,-2.0,+.077,+3.6,+2.0,+.110,+.097,-0.4,-2.7,+.069,+16.0
104,J. Barea | D. Harris | D. Nowitzki | B. Wright,DAL,2014-15,21,134.1,255,252,90.8,+10.5,+9.6,+.062,-2.1,+0.1,-.079,+.044,-2.9,-5.8,+.066,+15.9
105,M. Barnes | S. Hawes | D. Jordan | J. Redick,LAC,2014-15,20,213.5,413,420,93.7,+8.8,+4.6,+.076,+5.0,+8.2,+.063,+.101,-6.9,-8.0,-.044,+15.8
106,D. Collison | D. Cousins | R. Gay | J. Thompson,SAC,2014-15,30,469.5,938,937,95.8,+5.4,+0.3,+.060,-0.2,-7.0,+.108,+.059,+5.1,+5.1,+.057,+15.7
107,T. Ariza | T. Black | J. Harden | D. Motiejūnas,HOU,2014-15,18,165.1,318,318,92.5,+3.5,-0.6,+.042,+8.2,+9.7,+.157,+.088,+0.6,-0.6,+.055,+15.7
0,C. Brewer | J. Harden | T. Jones | J. Smith,HOU,2014-15,25,119.3,256,253,102.4,+1.9,-14.8,+.095,+3.8,+0.5,+.137,+.125,+8.1,+9.2,+.057,+15.7
1,C. Brewer | T. Jones | J. Smith | J. Terry,HOU,2014-15,23,139.5,297,292,101.4,+3.1,-10.7,+.082,+4.6,+4.6,+.104,+.114,+4.8,+7.1,-.025,+15.7
