,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
44,26,ATL,NBA,SF,8,76,12.1,.484,.538,.077,6.2,14.6,10.5,16.0,2.7,2.2,15.7,19.2,,0.0,0.1,0.1,.068,,-1.3,0.8,-0.5,0.0,2014-15,201948
45,,,NBA,,293,4132,11.6,.500,.379,.182,4.0,18.6,11.1,8.3,1.5,2.3,11.8,19.3,,0.6,3.9,4.5,.053,,-1.9,-0.1,-2.0,0.0,Career,201948
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201948
47,,DET,NBA,,206,3312,11.8,.505,.339,.206,4.3,18.3,11.0,8.1,1.5,2.3,11.9,18.9,,1.0,2.5,3.5,.051,,-1.8,-0.2,-2.0,0.0,4 seasons,201948
48,,SAS,NBA,,40,383,9.1,.460,.506,.065,2.7,20.8,12.0,6.0,1.6,1.3,11.6,23.4,,-0.6,0.6,0.1,.009,,-3.7,-0.5,-4.2,-0.2,2 seasons,201948
49,,MEM,NBA,,31,328,13.3,.529,.523,.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,,0.2,0.6,0.9,.127,,-0.7,1.9,1.1,0.3,1 season,201948
50,,ATL,NBA,,8,76,12.1,.484,.538,.077,6.2,14.6,10.5,16.0,2.7,2.2,15.7,19.2,,0.0,0.1,0.1,.068,,-1.3,0.8,-0.5,0.0,1 season,201948
51,,TOR,NBA,,8,33,2.4,.279,.615,.231,7.0,17.8,12.4,9.2,0.0,0.0,0.0,19.7,,-0.1,0.0,0.0,-0.067,,-6.9,-3.4,-10.3,-0.1,1 season,201948
52,23,NYK,NBA,PG,76,1265,11.2,.479,.256,.315,2.0,10.2,6.2,21.8,2.0,0.6,16.3,19.0,,-0.2,1.0,0.8,.030,,-2.8,-0.3,-3.1,-0.3,2015-16,1626170
53,24,CHI,NBA,PG,63,1028,13.2,.555,.445,.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16.0,,1.4,1.2,2.5,.119,,-1.3,1.4,0.1,0.6,2016-17,1626170
54,25,CHI,NBA,PG,74,1686,14.3,.528,.372,.374,1.9,9.3,5.5,30.1,1.8,0.4,13.2,17.4,,2.3,1.0,3.3,.094,,-0.9,-0.5,-1.3,0.3,2017-18,1626170
55,26,ORL,NBA,PG,60,939,10.8,.526,.500,.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,,0.5,1.1,1.7,.085,,-2.9,1.3,-1.6,0.1,2018-19,1626170
56,27,WAS,NBA,SG,6,80,6.6,.449,.296,.259,2.6,5.7,4.1,15.3,0.6,1.1,9.1,17.2,,0.0,0.0,0.0,-0.018,,-4.8,-2.0,-6.8,-0.1,2019-20,1626170
