"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"Chuck Hayes","hayesch01",FALSE,"2006-2016",11,"2005-06","2015-16","https://www.basketball-reference.com/players/h/hayesch01.html"
"Chuck Lloyd","lloydch01",FALSE,"1971",1,"1970-71","1970-71","https://www.basketball-reference.com/players/l/lloydch01.html"
"Chuck Mencel","mencech01",FALSE,"1956-1957",2,"1955-56","1956-57","https://www.basketball-reference.com/players/m/mencech01.html"
"Chuck Mrazovich","mrazoch01",FALSE,"1951",1,"1950-51","1950-51","https://www.basketball-reference.com/players/m/mrazoch01.html"
"Chuck Nevitt","nevitch01",FALSE,"1983-1994",12,"1982-83","1993-94","https://www.basketball-reference.com/players/n/nevitch01.html"
"Chuck Noble","noblech01",FALSE,"1956-1962",7,"1955-56","1961-62","https://www.basketball-reference.com/players/n/noblech01.html"
"Chuck Osborne","osborch01",FALSE,"1962",1,"1961-62","1961-62","https://www.basketball-reference.com/players/o/osborch01.html"
"Chuck Person","persoch01",FALSE,"1987-2000",14,"1986-87","1999-00","https://www.basketball-reference.com/players/p/persoch01.html"
"Chuck Share","sharech01",FALSE,"1952-1960",9,"1951-52","1959-60","https://www.basketball-reference.com/players/s/sharech01.html"
"Chuck Terry","terrych01",FALSE,"1973-1977",5,"1972-73","1976-77","https://www.basketball-reference.com/players/t/terrych01.html"
"Chuck Williams","willich02",FALSE,"1971-1978",8,"1970-71","1977-78","https://www.basketball-reference.com/players/w/willich02.html"
"Chuckie Williams","willich03",FALSE,"1977",1,"1976-77","1976-77","https://www.basketball-reference.com/players/w/willich03.html"
"Chucky Atkins","atkinch01",FALSE,"2000-2010",11,"1999-00","2009-10","https://www.basketball-reference.com/players/a/atkinch01.html"
"Chucky Brown","brownch01",FALSE,"1990-2002",13,"1989-90","2001-02","https://www.basketball-reference.com/players/b/brownch01.html"
"Chukwudiebere Maduabum","maduach01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/maduach01.html"
"Chuma Okeke","okekech01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/o/okekech01.html"
"Cincinnatus Powell","powelci01",FALSE,"1968-1975",8,"1967-68","1974-75","https://www.basketball-reference.com/players/p/powelci01.html"
"CJ Elleby","ellebcj01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/e/ellebcj01.html"
"CJ McCollum","mccolcj01",TRUE,"2014-2021",8,"2013-14","2020-21","https://www.basketball-reference.com/players/m/mccolcj01.html"
"Clarence Brookins","brookcl01",FALSE,"1971",1,"1970-71","1970-71","https://www.basketball-reference.com/players/b/brookcl01.html"
"Clarence Glover","glovecl01",FALSE,"1972",1,"1971-72","1971-72","https://www.basketball-reference.com/players/g/glovecl01.html"
"Clarence Kea","keacl01",FALSE,"1981-1982",2,"1980-81","1981-82","https://www.basketball-reference.com/players/k/keacl01.html"
"Clarence Weatherspoon","weathcl01",FALSE,"1993-2005",13,"1992-93","2004-05","https://www.basketball-reference.com/players/w/weathcl01.html"
"Clark Kellogg","kellocl01",FALSE,"1983-1987",5,"1982-83","1986-87","https://www.basketball-reference.com/players/k/kellocl01.html"
"Claude English","englicl01",FALSE,"1971",1,"1970-71","1970-71","https://www.basketball-reference.com/players/e/englicl01.html"
"Claude Gregory","gregocl01",FALSE,"1986-1988",3,"1985-86","1987-88","https://www.basketball-reference.com/players/g/gregocl01.html"
"Claude Overton","overtcl01",FALSE,"1953",1,"1952-53","1952-53","https://www.basketball-reference.com/players/o/overtcl01.html"
"Claude Terry","terrycl01",FALSE,"1973-1978",6,"1972-73","1977-78","https://www.basketball-reference.com/players/t/terrycl01.html"
"Claude Virden","virdecl01",FALSE,"1973",1,"1972-73","1972-73","https://www.basketball-reference.com/players/v/virdecl01.html"
"Clay Johnson","johnscl02",FALSE,"1982-1984",3,"1981-82","1983-84","https://www.basketball-reference.com/players/j/johnscl02.html"
"Cleanthony Early","earlycl01",FALSE,"2015-2016",2,"2014-15","2015-16","https://www.basketball-reference.com/players/e/earlycl01.html"
"Clem Haskins","haskicl01",FALSE,"1968-1976",9,"1967-68","1975-76","https://www.basketball-reference.com/players/h/haskicl01.html"
"Clemon Johnson","johnscl01",FALSE,"1979-1988",10,"1978-79","1987-88","https://www.basketball-reference.com/players/j/johnscl01.html"
"Cleo Hill","hillcl01",FALSE,"1962",1,"1961-62","1961-62","https://www.basketball-reference.com/players/h/hillcl01.html"
"Cleveland Buckner","buckncl01",FALSE,"1962-1963",2,"1961-62","1962-63","https://www.basketball-reference.com/players/b/buckncl01.html"
"Cliff Alexander","alexacl01",FALSE,"2016",1,"2015-16","2015-16","https://www.basketball-reference.com/players/a/alexacl01.html"
"Cliff Anderson","andercl01",FALSE,"1968-1971",4,"1967-68","1970-71","https://www.basketball-reference.com/players/a/andercl01.html"
"Cliff Barker","barkecl01",FALSE,"1950-1952",3,"1949-50","1951-52","https://www.basketball-reference.com/players/b/barkecl01.html"
"Cliff Hagan","hagancl01",FALSE,"1957-1970",14,"1956-57","1969-70","https://www.basketball-reference.com/players/h/hagancl01.html"
"Cliff Levingston","levincl01",FALSE,"1983-1995",13,"1982-83","1994-95","https://www.basketball-reference.com/players/l/levincl01.html"
"Cliff Meely","meelycl01",FALSE,"1972-1976",5,"1971-72","1975-76","https://www.basketball-reference.com/players/m/meelycl01.html"
"Cliff Pondexter","pondecl01",FALSE,"1976-1978",3,"1975-76","1977-78","https://www.basketball-reference.com/players/p/pondecl01.html"
"Cliff Robinson","robincl01",FALSE,"1980-1992",13,"1979-80","1991-92","https://www.basketball-reference.com/players/r/robincl01.html"
"Cliff Williams","willicl01",FALSE,"1969",1,"1968-69","1968-69","https://www.basketball-reference.com/players/w/willicl01.html"
"Clifford Lett","lettcl01",FALSE,"1990-1991",2,"1989-90","1990-91","https://www.basketball-reference.com/players/l/lettcl01.html"
"Clifford Ray","raycl01",FALSE,"1972-1981",10,"1971-72","1980-81","https://www.basketball-reference.com/players/r/raycl01.html"
"Clifford Robinson","robincl02",FALSE,"1990-2007",18,"1989-90","2006-07","https://www.basketball-reference.com/players/r/robincl02.html"
"Clifford Rozier","roziecl01",FALSE,"1995-1998",4,"1994-95","1997-98","https://www.basketball-reference.com/players/r/roziecl01.html"
"Clint Capela","capelca01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/c/capelca01.html"
"Clint Chapman","chapmcl01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/c/chapmcl01.html"
"Clint McDaniel","mcdancl01",FALSE,"1996",1,"1995-96","1995-96","https://www.basketball-reference.com/players/m/mcdancl01.html"
"Clint Richardson","richacl01",FALSE,"1980-1987",8,"1979-80","1986-87","https://www.basketball-reference.com/players/r/richacl01.html"
"Clint Wager","wagercl01",FALSE,"1950",1,"1949-50","1949-50","https://www.basketball-reference.com/players/w/wagercl01.html"
"Clinton Smith","smithcl01",FALSE,"1987-1991",5,"1986-87","1990-91","https://www.basketball-reference.com/players/s/smithcl01.html"
"Clinton Wheeler","wheelcl01",FALSE,"1988-1989",2,"1987-88","1988-89","https://www.basketball-reference.com/players/w/wheelcl01.html"
"Clyde Dickey","dickecl01",FALSE,"1975",1,"1974-75","1974-75","https://www.basketball-reference.com/players/d/dickecl01.html"
"Clyde Drexler","drexlcl01",FALSE,"1984-1998",15,"1983-84","1997-98","https://www.basketball-reference.com/players/d/drexlcl01.html"
"Clyde Lee","leecl01",FALSE,"1967-1976",10,"1966-67","1975-76","https://www.basketball-reference.com/players/l/leecl01.html"
"Clyde Lovellette","lovelcl01",FALSE,"1954-1964",11,"1953-54","1963-64","https://www.basketball-reference.com/players/l/lovelcl01.html"
"Clyde Mayes","mayescl01",FALSE,"1976-1977",2,"1975-76","1976-77","https://www.basketball-reference.com/players/m/mayescl01.html"
"Coby Dietrick","dietrco01",FALSE,"1971-1983",13,"1970-71","1982-83","https://www.basketball-reference.com/players/d/dietrco01.html"
"Coby Karl","karlco01",FALSE,"2008-2010",3,"2007-08","2009-10","https://www.basketball-reference.com/players/k/karlco01.html"
"Coby White","whiteco01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/w/whiteco01.html"
"Codi Miller-McIntyre","milleco01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/milleco01.html"
"Cody Demps","dempsco01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/d/dempsco01.html"
"Cody Martin","martico01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/m/martico01.html"
"Cody Zeller","zelleco01",TRUE,"2014-2021",8,"2013-14","2020-21","https://www.basketball-reference.com/players/z/zelleco01.html"
"Cole Aldrich","aldrico01",FALSE,"2011-2018",8,"2010-11","2017-18","https://www.basketball-reference.com/players/a/aldrico01.html"
"Cole Anthony","anthoco01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/a/anthoco01.html"
"Collin Sexton","sextoco01",TRUE,"2019-2021",3,"2018-19","2020-21","https://www.basketball-reference.com/players/s/sextoco01.html"
