"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"John Janisch","janisjo01",FALSE,"1947-1948",2,"1946-47","1947-48","https://www.basketball-reference.com/players/j/janisjo01.html"
"John Jenkins","jenkijo01",TRUE,"2013-2019",7,"2012-13","2018-19","https://www.basketball-reference.com/players/j/jenkijo01.html"
"John Johnson","johnsjo01",FALSE,"1971-1982",12,"1970-71","1981-82","https://www.basketball-reference.com/players/j/johnsjo01.html"
"John Konchar","konchjo01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/k/konchjo01.html"
"John Kuester","kuestjo01",FALSE,"1978-1980",3,"1977-78","1979-80","https://www.basketball-reference.com/players/k/kuestjo01.html"
"John Lambert","lambejo01",FALSE,"1976-1982",7,"1975-76","1981-82","https://www.basketball-reference.com/players/l/lambejo01.html"
"John Laskowski","laskojo01",FALSE,"1976-1977",2,"1975-76","1976-77","https://www.basketball-reference.com/players/l/laskojo01.html"
"John Logan","loganjo01",FALSE,"1947-1951",5,"1946-47","1950-51","https://www.basketball-reference.com/players/l/loganjo01.html"
"John Long","longjo01",FALSE,"1979-1997",19,"1978-79","1996-97","https://www.basketball-reference.com/players/l/longjo01.html"
"John Lucas","lucasjo01",FALSE,"1977-1990",14,"1976-77","1989-90","https://www.basketball-reference.com/players/l/lucasjo01.html"
"John Lucas III","lucasjo02",FALSE,"2006-2017",12,"2005-06","2016-17","https://www.basketball-reference.com/players/l/lucasjo02.html"
"John Mahnken","mahnkjo01",FALSE,"1947-1953",7,"1946-47","1952-53","https://www.basketball-reference.com/players/m/mahnkjo01.html"
"John Mandic","mandijo01",FALSE,"1949-1950",2,"1948-49","1949-50","https://www.basketball-reference.com/players/m/mandijo01.html"
"John McConathy","mcconjo01",FALSE,"1952",1,"1951-52","1951-52","https://www.basketball-reference.com/players/m/mcconjo01.html"
"John McCullough","mcculjo01",FALSE,"1982",1,"1981-82","1981-82","https://www.basketball-reference.com/players/m/mcculjo01.html"
"John Mengelt","mengejo01",FALSE,"1972-1981",10,"1971-72","1980-81","https://www.basketball-reference.com/players/m/mengejo01.html"
"John Mills","millsjo01",FALSE,"1947",1,"1946-47","1946-47","https://www.basketball-reference.com/players/m/millsjo01.html"
"John Millsap","millsjo02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/millsjo02.html"
"John Morrison","morrijo01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/m/morrijo01.html"
"John Morton","mortojo01",FALSE,"1990-1992",3,"1989-90","1991-92","https://www.basketball-reference.com/players/m/mortojo01.html"
"John Murphy","murphjo01",FALSE,"1947",1,"1946-47","1946-47","https://www.basketball-reference.com/players/m/murphjo01.html"
"John O'Boyle","oboyljo01",FALSE,"1953",1,"1952-53","1952-53","https://www.basketball-reference.com/players/o/oboyljo01.html"
"John Oldham","oldhajo01",FALSE,"1950-1951",2,"1949-50","1950-51","https://www.basketball-reference.com/players/o/oldhajo01.html"
"John Olive","olivejo01",FALSE,"1979-1980",2,"1978-79","1979-80","https://www.basketball-reference.com/players/o/olivejo01.html"
"John Paxson","paxsojo01",FALSE,"1984-1994",11,"1983-84","1993-94","https://www.basketball-reference.com/players/p/paxsojo01.html"
"John Petrucelli","petrujo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/p/petrujo01.html"
"John Pilch","pilchjo01",FALSE,"1952",1,"1951-52","1951-52","https://www.basketball-reference.com/players/p/pilchjo01.html"
"John Pinone","pinonjo01",FALSE,"1984",1,"1983-84","1983-84","https://www.basketball-reference.com/players/p/pinonjo01.html"
"John Postley","postljo01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/p/postljo01.html"
"John Pritchard","pritcjo01",FALSE,"1950",1,"1949-50","1949-50","https://www.basketball-reference.com/players/p/pritcjo01.html"
"John Rennicke","rennijo01",FALSE,"1952",1,"1951-52","1951-52","https://www.basketball-reference.com/players/r/rennijo01.html"
"John Richter","richtjo01",FALSE,"1960",1,"1959-60","1959-60","https://www.basketball-reference.com/players/r/richtjo01.html"
"John Roche","rochejo01",FALSE,"1972-1982",11,"1971-72","1981-82","https://www.basketball-reference.com/players/r/rochejo01.html"
"John Rudd","ruddjo01",FALSE,"1979",1,"1978-79","1978-79","https://www.basketball-reference.com/players/r/ruddjo01.html"
"John Rudometkin","rudomjo01",FALSE,"1963-1965",3,"1962-63","1964-65","https://www.basketball-reference.com/players/r/rudomjo01.html"
"John Salley","sallejo01",FALSE,"1987-2000",14,"1986-87","1999-00","https://www.basketball-reference.com/players/s/sallejo01.html"
"John Salmons","salmojo01",FALSE,"2003-2015",13,"2002-03","2014-15","https://www.basketball-reference.com/players/s/salmojo01.html"
"John Schweitz","schwejo01",FALSE,"1985-1987",3,"1984-85","1986-87","https://www.basketball-reference.com/players/s/schwejo01.html"
"John Shasky","shaskjo01",FALSE,"1989-1991",3,"1988-89","1990-91","https://www.basketball-reference.com/players/s/shaskjo01.html"
"John Shumate","shumajo01",FALSE,"1976-1981",6,"1975-76","1980-81","https://www.basketball-reference.com/players/s/shumajo01.html"
"John Smith","smithjo01",FALSE,"1969-1970",2,"1968-69","1969-70","https://www.basketball-reference.com/players/s/smithjo01.html"
"John Starks","starkjo01",FALSE,"1989-2002",14,"1988-89","2001-02","https://www.basketball-reference.com/players/s/starkjo01.html"
"John Stockton","stockjo01",FALSE,"1985-2003",19,"1984-85","2002-03","https://www.basketball-reference.com/players/s/stockjo01.html"
"John Stroeder","stroejo01",FALSE,"1988-1989",2,"1987-88","1988-89","https://www.basketball-reference.com/players/s/stroejo01.html"
"John Stroud","stroujo01",FALSE,"1981",1,"1980-81","1980-81","https://www.basketball-reference.com/players/s/stroujo01.html"
"John Thomas","thomajo02",FALSE,"1998-2006",9,"1997-98","2005-06","https://www.basketball-reference.com/players/t/thomajo02.html"
"John Thompson","thompjo01",FALSE,"1965-1966",2,"1964-65","1965-66","https://www.basketball-reference.com/players/t/thompjo01.html"
"John Trapp","trappjo01",FALSE,"1969-1973",5,"1968-69","1972-73","https://www.basketball-reference.com/players/t/trappjo01.html"
"John Tresvant","tresvjo01",FALSE,"1965-1973",9,"1964-65","1972-73","https://www.basketball-reference.com/players/t/tresvjo01.html"
"John Tschogl","tschojo01",FALSE,"1973-1975",3,"1972-73","1974-75","https://www.basketball-reference.com/players/t/tschojo01.html"
"John Turner","turnejo01",FALSE,"1992",1,"1991-92","1991-92","https://www.basketball-reference.com/players/t/turnejo01.html"
"John Vallely","vallejo01",FALSE,"1971-1972",2,"1970-71","1971-72","https://www.basketball-reference.com/players/v/vallejo01.html"
"John Wall","walljo01",TRUE,"2011-2021",11,"2010-11","2020-21","https://www.basketball-reference.com/players/w/walljo01.html"
"John Wallace","wallajo01",FALSE,"1997-2004",8,"1996-97","2003-04","https://www.basketball-reference.com/players/w/wallajo01.html"
"John Warren","warrejo01",FALSE,"1970-1974",5,"1969-70","1973-74","https://www.basketball-reference.com/players/w/warrejo01.html"
"John Wetzel","wetzejo01",FALSE,"1968-1976",9,"1967-68","1975-76","https://www.basketball-reference.com/players/w/wetzejo01.html"
"John Williams","willijo02",FALSE,"1987-1995",9,"1986-87","1994-95","https://www.basketball-reference.com/players/w/willijo02.html"
"John Williamson","willijo01",FALSE,"1974-1981",8,"1973-74","1980-81","https://www.basketball-reference.com/players/w/willijo01.html"
"John Windsor","windsjo01",FALSE,"1964",1,"1963-64","1963-64","https://www.basketball-reference.com/players/w/windsjo01.html"
"Johnathan Motley","motlejo01",TRUE,"2018-2020",3,"2017-18","2019-20","https://www.basketball-reference.com/players/m/motlejo01.html"
"Johnathan Williams","willijo04",TRUE,"2019-2020",2,"2018-19","2019-20","https://www.basketball-reference.com/players/w/willijo04.html"
"Johnny Austin","austijo01",FALSE,"1967-1968",2,"1966-67","1967-68","https://www.basketball-reference.com/players/a/austijo01.html"
"Johnny Bach","bachjo01",FALSE,"1949",1,"1948-49","1948-49","https://www.basketball-reference.com/players/b/bachjo01.html"
"Johnny Baum","baumjo01",FALSE,"1970-1974",5,"1969-70","1973-74","https://www.basketball-reference.com/players/b/baumjo01.html"
"Johnny Cox","coxjo01",FALSE,"1963",1,"1962-63","1962-63","https://www.basketball-reference.com/players/c/coxjo01.html"
"Johnny Davis","davisjo01",FALSE,"1977-1986",10,"1976-77","1985-86","https://www.basketball-reference.com/players/d/davisjo01.html"
"Johnny Dawkins","dawkijo01",FALSE,"1987-1995",9,"1986-87","1994-95","https://www.basketball-reference.com/players/d/dawkijo01.html"
"Johnny Egan","eganjo01",FALSE,"1962-1972",11,"1961-62","1971-72","https://www.basketball-reference.com/players/e/eganjo01.html"
"Johnny Ezersky","ezersjo01",FALSE,"1948-1950",3,"1947-48","1949-50","https://www.basketball-reference.com/players/e/ezersjo01.html"
"Johnny Green","greenjo01",FALSE,"1960-1973",14,"1959-60","1972-73","https://www.basketball-reference.com/players/g/greenjo01.html"
"Johnny Hamilton","hamiljo03",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hamiljo03.html"
"Johnny High","highjo01",FALSE,"1980-1984",5,"1979-80","1983-84","https://www.basketball-reference.com/players/h/highjo01.html"
"Johnny Horan","horanjo01",FALSE,"1956",1,"1955-56","1955-56","https://www.basketball-reference.com/players/h/horanjo01.html"
"Johnny Jones","jonesjo01",FALSE,"1968-1969",2,"1967-68","1968-69","https://www.basketball-reference.com/players/j/jonesjo01.html"
"Johnny Jorgensen","jorgejo01",FALSE,"1948-1949",2,"1947-48","1948-49","https://www.basketball-reference.com/players/j/jorgejo01.html"
"Johnny Macknowski","macknjo01",FALSE,"1950-1951",2,"1949-50","1950-51","https://www.basketball-reference.com/players/m/macknjo01.html"
"Johnny Mathis","mathijo01",FALSE,"1968",1,"1967-68","1967-68","https://www.basketball-reference.com/players/m/mathijo01.html"
"Johnny McCarthy","mccarjo01",FALSE,"1957-1964",8,"1956-57","1963-64","https://www.basketball-reference.com/players/m/mccarjo01.html"
"Johnny Moore","moorejo01",FALSE,"1981-1990",10,"1980-81","1989-90","https://www.basketball-reference.com/players/m/moorejo01.html"
"Johnny Neumann","neumajo01",FALSE,"1972-1978",7,"1971-72","1977-78","https://www.basketball-reference.com/players/n/neumajo01.html"
"Johnny Newman","newmajo01",FALSE,"1987-2002",16,"1986-87","2001-02","https://www.basketball-reference.com/players/n/newmajo01.html"
"Johnny Norlander","norlajo01",FALSE,"1947-1951",5,"1946-47","1950-51","https://www.basketball-reference.com/players/n/norlajo01.html"
"Johnny O'Bryant","obryajo01",FALSE,"2015-2018",4,"2014-15","2017-18","https://www.basketball-reference.com/players/o/obryajo01.html"
"Johnny Orr","orrjo01",FALSE,"1950",1,"1949-50","1949-50","https://www.basketball-reference.com/players/o/orrjo01.html"
"Johnny Payak","payakjo01",FALSE,"1950-1953",4,"1949-50","1952-53","https://www.basketball-reference.com/players/p/payakjo01.html"
"Johnny Rogers","rogerjo01",FALSE,"1987-1988",2,"1986-87","1987-88","https://www.basketball-reference.com/players/r/rogerjo01.html"
"Johnny Simmons","simmojo01",FALSE,"1947",1,"1946-47","1946-47","https://www.basketball-reference.com/players/s/simmojo01.html"
"Johnny Taylor","taylojo01",FALSE,"1998-2000",3,"1997-98","1999-00","https://www.basketball-reference.com/players/t/taylojo01.html"
"Jon Barry","barryjo01",FALSE,"1993-2006",14,"1992-93","2005-06","https://www.basketball-reference.com/players/b/barryjo01.html"
"Jon Brockman","brockjo01",FALSE,"2010-2012",3,"2009-10","2011-12","https://www.basketball-reference.com/players/b/brockjo01.html"
"Jon Davis","davisjo04",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/d/davisjo04.html"
"Jon Diebler","diebljo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/d/diebljo01.html"
"Jon Horford","horfojo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/horfojo01.html"
"Jon Koncak","koncajo01",FALSE,"1986-1996",11,"1985-86","1995-96","https://www.basketball-reference.com/players/k/koncajo01.html"
"Jon Leuer","leuerjo01",FALSE,"2012-2019",8,"2011-12","2018-19","https://www.basketball-reference.com/players/l/leuerjo01.html"
"Jon McGlocklin","mcglojo01",FALSE,"1966-1976",11,"1965-66","1975-76","https://www.basketball-reference.com/players/m/mcglojo01.html"
"Jon Sundvold","sundvjo01",FALSE,"1984-1992",9,"1983-84","1991-92","https://www.basketball-reference.com/players/s/sundvjo01.html"
"Jon Teske","teskejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/t/teskejo01.html"
"Jonah Bolden","boldejo01",TRUE,"2019-2020",2,"2018-19","2019-20","https://www.basketball-reference.com/players/b/boldejo01.html"
"Jonas Jerebko","jerebjo01",TRUE,"2010-2019",10,"2009-10","2018-19","https://www.basketball-reference.com/players/j/jerebjo01.html"
"Jonas Valančiūnas","valanjo01",TRUE,"2013-2021",9,"2012-13","2020-21","https://www.basketball-reference.com/players/v/valanjo01.html"
"Jonathan Bender","bendejo01",FALSE,"2000-2010",11,"1999-00","2009-10","https://www.basketball-reference.com/players/b/bendejo01.html"
"Jonathan Gibson","gibsojo01",FALSE,"2017-2018",2,"2016-17","2017-18","https://www.basketball-reference.com/players/g/gibsojo01.html"
"Jonathan Holmes","holmejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/holmejo01.html"
"Jonathan Isaac","isaacjo01",TRUE,"2018-2020",3,"2017-18","2019-20","https://www.basketball-reference.com/players/i/isaacjo01.html"
"Jonathan Kerner","kernejo01",FALSE,"1999",1,"1998-99","1998-99","https://www.basketball-reference.com/players/k/kernejo01.html"
"Jonathan Stark","starkjo02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/starkjo02.html"
"Jonathon Simmons","simmojo02",TRUE,"2016-2019",4,"2015-16","2018-19","https://www.basketball-reference.com/players/s/simmojo02.html"
"Jonny Flynn","flynnjo01",FALSE,"2010-2012",3,"2009-10","2011-12","https://www.basketball-reference.com/players/f/flynnjo01.html"
"Jontay Porter","portejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/p/portejo01.html"
"Jordan Adams","adamsjo01",FALSE,"2015-2016",2,"2014-15","2015-16","https://www.basketball-reference.com/players/a/adamsjo01.html"
"Jordan Bachynski","bachyjo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/bachyjo01.html"
"Jordan Barnett","barnejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/barnejo01.html"
"Jordan Bell","belljo01",TRUE,"2018-2020",3,"2017-18","2019-20","https://www.basketball-reference.com/players/b/belljo01.html"
"Jordan Bone","bonejo01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/b/bonejo01.html"
"Jordan Bowden","bowdejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/bowdejo01.html"
"Jordan Caroline","caroljo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/c/caroljo01.html"
"Jordan Clarkson","clarkjo01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/c/clarkjo01.html"
"Jordan Crawford","crawfjo02",FALSE,"2011-2018",8,"2010-11","2017-18","https://www.basketball-reference.com/players/c/crawfjo02.html"
"Jordan Farmar","farmajo01",FALSE,"2007-2017",11,"2006-07","2016-17","https://www.basketball-reference.com/players/f/farmajo01.html"
"Jordan Ford","fordjo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/f/fordjo01.html"
"Jordan Hamilton","hamiljo02",FALSE,"2012-2016",5,"2011-12","2015-16","https://www.basketball-reference.com/players/h/hamiljo02.html"
"Jordan Henriquez","henrijo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/henrijo01.html"
"Jordan Hill","hilljo01",FALSE,"2010-2017",8,"2009-10","2016-17","https://www.basketball-reference.com/players/h/hilljo01.html"
"Jordan Loyd","loydjo01",TRUE,"2019",1,"2018-19","2018-19","https://www.basketball-reference.com/players/l/loydjo01.html"
"Jordan Mathews","mathejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/mathejo01.html"
"Jordan McLaughlin","mclaujo01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/m/mclaujo01.html"
"Jordan McRae","mcraejo01",TRUE,"2016-2020",5,"2015-16","2019-20","https://www.basketball-reference.com/players/m/mcraejo01.html"
"Jordan Mickey","mickejo01",FALSE,"2016-2018",3,"2015-16","2017-18","https://www.basketball-reference.com/players/m/mickejo01.html"
"Jordan Murphy","murphjo02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/murphjo02.html"
"Jordan Nwora","nworajo01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/n/nworajo01.html"
"Jordan Poole","poolejo01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/p/poolejo01.html"
"Jordan Railey","railejo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/r/railejo01.html"
"Jordan Sibert","siberjo01",TRUE,"2019",1,"2018-19","2018-19","https://www.basketball-reference.com/players/s/siberjo01.html"
"Jordan Taylor","taylojo02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/t/taylojo02.html"
"Jordan Williams","willijo03",FALSE,"2012",1,"2011-12","2011-12","https://www.basketball-reference.com/players/w/willijo03.html"
"Jorge Garbajosa","garbajo01",FALSE,"2007-2008",2,"2006-07","2007-08","https://www.basketball-reference.com/players/g/garbajo01.html"
"Jorge Gutiérrez","gutiejo01",FALSE,"2014-2016",3,"2013-14","2015-16","https://www.basketball-reference.com/players/g/gutiejo01.html"
"José Calderón","caldejo01",FALSE,"2006-2019",14,"2005-06","2018-19","https://www.basketball-reference.com/players/c/caldejo01.html"
"José Ortiz","ortizjo01",FALSE,"1989-1990",2,"1988-89","1989-90","https://www.basketball-reference.com/players/o/ortizjo01.html"
"Jose Slaughter","slaugjo01",FALSE,"1983",1,"1982-83","1982-83","https://www.basketball-reference.com/players/s/slaugjo01.html"
"Joseph Forte","fortejo01",FALSE,"2002-2003",2,"2001-02","2002-03","https://www.basketball-reference.com/players/f/fortejo01.html"
"Josh Akognon","akognjo01",FALSE,"2013",1,"2012-13","2012-13","https://www.basketball-reference.com/players/a/akognjo01.html"
"Josh Boone","boonejo01",FALSE,"2007-2010",4,"2006-07","2009-10","https://www.basketball-reference.com/players/b/boonejo01.html"
"Josh Childress","childjo01",FALSE,"2005-2014",10,"2004-05","2013-14","https://www.basketball-reference.com/players/c/childjo01.html"
"Josh Davis","davisjo02",FALSE,"2004-2012",9,"2003-04","2011-12","https://www.basketball-reference.com/players/d/davisjo02.html"
"Josh Davis","davisjo03",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/d/davisjo03.html"
"Josh Grant","grantjo01",FALSE,"1994",1,"1993-94","1993-94","https://www.basketball-reference.com/players/g/grantjo01.html"
"Josh Gray","grayjo01",TRUE,"2018-2020",3,"2017-18","2019-20","https://www.basketball-reference.com/players/g/grayjo01.html"
"Josh Green","greenjo02",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/g/greenjo02.html"
"Josh Hall","halljo01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/h/halljo01.html"
"Josh Harrellson","harrejo01",FALSE,"2012-2014",3,"2011-12","2013-14","https://www.basketball-reference.com/players/h/harrejo01.html"
"Josh Hart","hartjo01",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/h/hartjo01.html"
"Josh Heytvelt","heytvjo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/heytvjo01.html"
"Josh Howard","howarjo01",FALSE,"2004-2013",10,"2003-04","2012-13","https://www.basketball-reference.com/players/h/howarjo01.html"
"Josh Huestis","huestjo01",FALSE,"2016-2018",3,"2015-16","2017-18","https://www.basketball-reference.com/players/h/huestjo01.html"
"Josh Jackson","jacksjo02",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/j/jacksjo02.html"
"Josh Magette","magetjo01",TRUE,"2018-2020",3,"2017-18","2019-20","https://www.basketball-reference.com/players/m/magetjo01.html"
"Josh McRoberts","mcrobjo01",FALSE,"2008-2018",11,"2007-08","2017-18","https://www.basketball-reference.com/players/m/mcrobjo01.html"
"Josh Okogie","okogijo01",TRUE,"2019-2021",3,"2018-19","2020-21","https://www.basketball-reference.com/players/o/okogijo01.html"
"Josh Perkins","perkijo01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/p/perkijo01.html"
"Josh Powell","poweljo01",FALSE,"2006-2014",9,"2005-06","2013-14","https://www.basketball-reference.com/players/p/poweljo01.html"
"Josh Reaves","reavejo02",TRUE,"2020",1,"2019-20","2019-20","https://www.basketball-reference.com/players/r/reavejo02.html"
"Josh Richardson","richajo01",TRUE,"2016-2021",6,"2015-16","2020-21","https://www.basketball-reference.com/players/r/richajo01.html"
"Josh Selby","selbyjo01",FALSE,"2012-2013",2,"2011-12","2012-13","https://www.basketball-reference.com/players/s/selbyjo01.html"
"Josh Smith","smithjo03",FALSE,"2005-2018",14,"2004-05","2017-18","https://www.basketball-reference.com/players/s/smithjo03.html"
"Joshua Smith","smithjo04",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/smithjo04.html"
"Jrue Holiday","holidjr01",TRUE,"2010-2021",12,"2009-10","2020-21","https://www.basketball-reference.com/players/h/holidjr01.html"
"Juan Carlos Navarro","navarju01",FALSE,"2008",1,"2007-08","2007-08","https://www.basketball-reference.com/players/n/navarju01.html"
"Juan Dixon","dixonju01",FALSE,"2003-2009",7,"2002-03","2008-09","https://www.basketball-reference.com/players/d/dixonju01.html"
"Juan Hernangómez","hernaju01",TRUE,"2017-2021",5,"2016-17","2020-21","https://www.basketball-reference.com/players/h/hernaju01.html"
"Juan Pablo Vaulet","vauleju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/v/vauleju01.html"
"Juan Toscano-Anderson","toscaju01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/t/toscaju01.html"
"Juaquin Hawkins","hawkiju01",FALSE,"2003",1,"2002-03","2002-03","https://www.basketball-reference.com/players/h/hawkiju01.html"
"Jud Buechler","buechju01",FALSE,"1991-2002",12,"1990-91","2001-02","https://www.basketball-reference.com/players/b/buechju01.html"
"Julian Hammond","hammoju01",FALSE,"1968-1972",5,"1967-68","1971-72","https://www.basketball-reference.com/players/h/hammoju01.html"
"Julian Jacobs","jacobju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/j/jacobju01.html"
"Julian Washburn","washbju01",TRUE,"2019",1,"2018-19","2018-19","https://www.basketball-reference.com/players/w/washbju01.html"
"Julian Wright","wrighju01",FALSE,"2008-2011",4,"2007-08","2010-11","https://www.basketball-reference.com/players/w/wrighju01.html"
"Julius Erving","ervinju01",FALSE,"1972-1987",16,"1971-72","1986-87","https://www.basketball-reference.com/players/e/ervinju01.html"
"Julius Hodge","hodgeju01",FALSE,"2006-2007",2,"2005-06","2006-07","https://www.basketball-reference.com/players/h/hodgeju01.html"
"Julius Keye","keyeju01",FALSE,"1970-1975",6,"1969-70","1974-75","https://www.basketball-reference.com/players/k/keyeju01.html"
"Julius Nwosu","nwosuju01",FALSE,"1995",1,"1994-95","1994-95","https://www.basketball-reference.com/players/n/nwosuju01.html"
"Julius Randle","randlju01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/r/randlju01.html"
"Julyan Stone","stoneju01",FALSE,"2012-2018",7,"2011-12","2017-18","https://www.basketball-reference.com/players/s/stoneju01.html"
"Jumaine Jones","jonesju01",FALSE,"2000-2007",8,"1999-00","2006-07","https://www.basketball-reference.com/players/j/jonesju01.html"
"Junior Bridgeman","bridgju01",FALSE,"1976-1987",12,"1975-76","1986-87","https://www.basketball-reference.com/players/b/bridgju01.html"
"Junior Burrough","burroju01",FALSE,"1996",1,"1995-96","1995-96","https://www.basketball-reference.com/players/b/burroju01.html"
"Junior Cadougan","cadouju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/c/cadouju01.html"
"Junior Harrington","harriju01",FALSE,"2003-2007",5,"2002-03","2006-07","https://www.basketball-reference.com/players/h/harriju01.html"
"Justin Anderson","anderju01",TRUE,"2016-2020",5,"2015-16","2019-20","https://www.basketball-reference.com/players/a/anderju01.html"
"Justin Bibbs","bibbsju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/b/bibbsju01.html"
"Justin Dentmon","dentmju01",FALSE,"2012-2013",2,"2011-12","2012-13","https://www.basketball-reference.com/players/d/dentmju01.html"
"Justin Hamilton","hamilju01",FALSE,"2014-2017",4,"2013-14","2016-17","https://www.basketball-reference.com/players/h/hamilju01.html"
"Justin Hamilton","hamilju02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/h/hamilju02.html"
"Justin Harper","harpeju01",FALSE,"2012-2017",6,"2011-12","2016-17","https://www.basketball-reference.com/players/h/harpeju01.html"
"Justin Holiday","holidju01",TRUE,"2013-2021",9,"2012-13","2020-21","https://www.basketball-reference.com/players/h/holidju01.html"
"Justin Jackson","jacksju01",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/j/jacksju01.html"
"Justin Jackson","jacksju02",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/j/jacksju02.html"
"Justin James","jamesju01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/j/jamesju01.html"
"Justin Johnson","johnsju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/j/johnsju01.html"
"Justin Patton","pattoju01",TRUE,"2018-2020",3,"2017-18","2019-20","https://www.basketball-reference.com/players/p/pattoju01.html"
"Justin Reed","reedju01",FALSE,"2005-2007",3,"2004-05","2006-07","https://www.basketball-reference.com/players/r/reedju01.html"
"Justin Robinson","robinju01",TRUE,"2020",1,"2019-20","2019-20","https://www.basketball-reference.com/players/r/robinju01.html"
"Justin Simon","simonju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/simonju01.html"
"Justin Williams","williju01",FALSE,"2007-2008",2,"2006-07","2007-08","https://www.basketball-reference.com/players/w/williju01.html"
"Justin Wright-Foreman","wrighju02",TRUE,"2020",1,"2019-20","2019-20","https://www.basketball-reference.com/players/w/wrighju02.html"
"Justinian Jessup","jessuju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/j/jessuju01.html"
"Justise Winslow","winslju01",TRUE,"2016-2020",5,"2015-16","2019-20","https://www.basketball-reference.com/players/w/winslju01.html"
"Justus Thigpen","thigpju01",FALSE,"1970-1974",5,"1969-70","1973-74","https://www.basketball-reference.com/players/t/thigpju01.html"
"Jusuf Nurkić","nurkiju01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/n/nurkiju01.html"
"Juwan Howard","howarju01",FALSE,"1995-2013",19,"1994-95","2012-13","https://www.basketball-reference.com/players/h/howarju01.html"
"Juwan Morgan","morgaju01",TRUE,"2020-2021",2,"2019-20","2020-21","https://www.basketball-reference.com/players/m/morgaju01.html"
"Juwan Staten","stateju01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/stateju01.html"
"K.C. Jones","joneskc01",FALSE,"1959-1967",9,"1958-59","1966-67","https://www.basketball-reference.com/players/j/joneskc01.html"
"K.J. McDaniels","mcdankj01",FALSE,"2015-2017",3,"2014-15","2016-17","https://www.basketball-reference.com/players/m/mcdankj01.html"
