,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
654,J.R. Reynolds,SR,2006-07,G,Virginia,ACC,32,1031,181,422,.429,119,254,62,168,.369,164,197,.832,32,96,128,117,28,3,97,86,588
655,Nate Funk,SR,2006-07,G,Creighton,MVC,33,1138,202,423,.478,147,272,55,151,.364,126,146,.863,25,90,115,99,41,3,71,48,585
656,Quin Humphrey,SR,2006-07,G,Youngstown State,Horizon,31,1105,189,437,.432,124,265,65,172,.378,141,182,.775,47,174,221,92,42,10,85,46,584
657,Tristan Blackwood,JR,2006-07,G,Central Connecticut State,NEC,34,1243,182,464,.392,60,150,122,314,.389,97,105,.924,29,56,85,140,42,1,105,65,583
658,Giordan Watson,JR,2006-07,G,Central Michigan,MAC,31,1071,186,455,.409,122,289,64,166,.386,146,177,.825,18,77,95,129,51,6,118,76,582
659,Tyrese Rice,SO,2006-07,G,Boston College,ACC,33,1208,185,404,.458,126,221,59,183,.322,151,190,.795,30,83,113,178,40,10,110,56,580
660,Randall Gulina,SR,2006-07,G,Samford,OVC,32,1067,184,400,.460,104,186,80,214,.374,131,164,.799,30,78,108,37,27,1,51,61,579
661,Stefon Jackson,SO,2006-07,G,Texas-El Paso,CUSA,31,993,194,422,.460,163,325,31,97,.320,159,219,.726,78,119,197,47,47,4,69,87,578
662,Derrick Byars,SR,2006-07,G,Vanderbilt,SEC,34,1068,206,451,.457,127,239,79,212,.373,86,121,.711,52,113,165,116,48,4,80,81,577
663,Keith Simmons,SR,2006-07,G,Holy Cross,Patriot,34,1209,190,382,.497,139,236,51,146,.349,145,189,.767,79,117,196,63,77,23,62,77,576
664,Will Daniels,JR,2006-07,F,Rhode Island,A-10,33,933,180,367,.490,129,245,51,122,.418,164,215,.763,54,132,186,51,27,19,79,89,575
665,Brian Roberts,JR,2006-07,G,Dayton,A-10,31,1103,179,386,.464,97,207,82,179,.458,133,148,.899,6,83,89,82,22,7,72,60,573
666,Jared Dudley,SR,2006-07,F,Boston College,ACC,30,1152,195,347,.562,156,259,39,88,.443,142,191,.743,91,157,248,90,42,10,78,66,571
667,Javier Mojica,SR,2006-07,G,Central Connecticut State,NEC,34,1233,204,455,.448,133,280,71,175,.406,92,122,.754,63,178,241,108,52,8,87,82,571
668,Belton Rivers,SR,2006-07,G,Tennessee Tech,OVC,32,1068,182,457,.398,90,204,92,253,.364,114,153,.745,24,93,117,81,35,2,92,75,570
669,Jared Jordan,SR,2006-07,G,Marist,MAAC,33,1252,197,464,.425,141,276,56,188,.298,116,168,.690,46,148,194,286,45,2,110,54,566
670,Mark Zoller,SR,2006-07,F,Pennsylvania,Ivy,31,970,206,369,.558,165,260,41,109,.376,112,143,.783,59,173,232,87,55,12,83,107,565
671,Martin Zeno,JR,2006-07,G,Texas Tech,Big 12,34,1211,186,376,.495,172,344,14,32,.438,178,225,.791,40,139,179,109,43,9,91,62,564
672,Andre Harris,SR,2006-07,F,Fairleigh Dickinson,NEC,30,1098,227,463,.490,217,431,10,32,.313,99,145,.683,74,150,224,41,41,37,80,85,563
673,Chris Oliver,SR,2006-07,F,Radford,Big South,30,1099,220,452,.487,204,390,16,62,.258,107,143,.748,97,152,249,62,56,39,94,55,563
674,Herb Courtney,JR,2006-07,F,Delaware,CAA,31,1139,191,451,.424,150,322,41,129,.318,139,196,.709,52,196,248,39,45,54,88,87,562
675,Jamont Gordon,SO,2006-07,G,Mississippi State,SEC,35,1129,181,432,.419,139,311,42,121,.347,157,222,.707,43,207,250,187,46,20,123,85,561
676,Herbert Hill,SR,2006-07,F,Providence,Big East,31,990,240,375,.640,240,374,0,1,.000,80,133,.602,101,173,274,45,30,91,89,90,560
677,Aleks Maric,JR,2006-07,C,Nebraska,Big 12,30,864,203,359,.565,200,349,3,10,.300,147,216,.681,75,185,260,24,15,33,97,80,556
678,Tywain McKee,SO,2006-07,G,Coppin State,MEAC,32,1087,180,449,.401,124,272,56,177,.316,140,182,.769,56,83,139,98,64,5,100,83,556
679,Curtis Sumpter,SR,2006-07,F,Villanova,Big East,32,975,182,407,.447,130,265,52,142,.366,140,174,.805,82,148,230,28,30,28,70,97,556
680,Charron Fisher,JR,2006-07,F,Niagara,MAAC,27,904,188,412,.456,151,310,37,102,.363,142,185,.768,75,142,217,29,23,13,80,68,555
681,Ken Tutt,SR,2006-07,G,Oral Roberts,Mid-Cont,34,1209,184,447,.412,100,230,84,217,.387,99,135,.733,12,74,86,84,36,4,94,58,551
682,Rashad West,JR,2006-07,G,Hampton,MEAC,31,960,160,405,.395,88,222,72,183,.393,159,198,.803,31,80,111,82,58,0,107,76,551
683,Frank Young,SR,2006-07,F,West Virginia,Big East,36,1152,189,425,.445,72,155,117,270,.433,56,77,.727,45,112,157,65,49,7,61,71,551
684,Anthony Fisher,JR,2006-07,G,Tennessee Tech,OVC,32,1114,160,384,.417,98,198,62,186,.333,167,209,.799,23,99,122,136,32,4,82,75,549
685,Nick Aldridge,FR,2006-07,F,Western Carolina,Southern,30,975,203,440,.461,194,403,9,37,.243,133,211,.630,78,132,210,50,50,10,81,82,548
686,Clarence Sanders,SR,2006-07,G,Mississippi,SEC,34,1058,206,486,.424,110,224,96,262,.366,40,51,.784,30,55,85,51,41,15,47,59,548
687,Tre Kelley,SR,2006-07,G,South Carolina,SEC,29,1064,198,454,.436,143,297,55,157,.350,96,120,.800,13,61,74,149,26,7,83,66,547
688,Bobby Brown,SR,2006-07,G,Cal State Fullerton,Big West,27,933,188,402,.468,108,196,80,206,.388,90,114,.789,16,56,72,138,35,3,96,64,546
689,Russell Carter,SR,2006-07,G,Notre Dame,Big East,32,974,191,443,.431,107,230,84,213,.394,80,112,.714,40,117,157,59,51,11,69,70,546
690,Randolph Morris,JR,2006-07,C,Kentucky,SEC,34,937,202,341,.592,202,341,0,0,,142,208,.683,67,197,264,37,26,70,74,80,546
691,Brandan Wright,FR,2006-07,F,North Carolina,ACC,37,1013,228,353,.646,228,353,0,0,,89,157,.567,77,152,229,37,36,65,59,55,545
692,Brad Jones,JR,2006-07,G,Wyoming,MWC,30,1113,157,396,.396,125,293,32,103,.311,198,253,.783,40,113,153,135,45,2,130,90,544
693,A.J. Abrams,SO,2006-07,G,Texas,Big 12,35,1242,175,441,.397,55,157,120,284,.423,73,79,.924,25,61,86,52,46,4,48,63,543
694,Keoni Watson,SR,2006-07,G,Idaho,WAC,30,941,191,435,.439,121,262,70,173,.405,91,117,.778,16,74,90,65,37,1,100,82,543
695,Brandon Cotton,SR,2006-07,G,Detroit Mercy,Horizon,30,991,206,435,.474,164,326,42,109,.385,88,130,.677,12,41,53,53,26,0,62,31,542
696,Quinton Day,SR,2006-07,G,Missouri-Kansas City,Mid-Cont,32,1180,182,456,.399,90,214,92,242,.380,86,109,.789,13,98,111,131,54,1,109,50,542
697,Jeremy Wise,FR,2006-07,G,Southern Mississippi,CUSA,31,1034,176,439,.401,123,291,53,148,.358,136,163,.834,13,93,106,94,27,9,114,91,541
698,Ryan Anderson,FR,2006-07,F,University of California,Pac-10,33,1096,189,397,.476,131,245,58,152,.382,103,129,.798,79,190,269,16,22,18,47,91,539
699,Clif Brown,SR,2006-07,F,Niagara,MAAC,33,1112,194,480,.404,138,323,56,157,.357,95,127,.748,117,204,321,28,26,10,77,80,539
700,Stephen Curry,SO,2007-08,G,Davidson,Southern,36,1193,317,656,.483,155,287,162,369,.439,135,151,.894,28,137,165,104,73,14,93,85,931
701,Tyler Hansbrough,JR,2007-08,F,North Carolina,ACC,39,1286,289,535,.540,289,528,0,7,.000,304,377,.806,151,248,399,35,59,14,83,93,882
702,Michael Beasley,FR,2007-08,F,Kansas State,Big 12,33,1041,307,577,.532,271,482,36,95,.379,216,279,.774,131,277,408,38,42,54,95,85,866
703,Lester Hudson,JR,2007-08,G,Tennessee-Martin,OVC,33,1219,291,627,.464,167,307,124,320,.388,141,169,.834,72,187,259,148,94,22,126,87,847
704,Rob McKiver,SR,2007-08,G,Houston,CUSA,34,1183,233,588,.396,88,212,145,376,.386,190,215,.884,18,113,131,99,56,2,86,65,801
705,Charron Fisher,SR,2007-08,F,Niagara,MAAC,29,1084,256,645,.397,187,428,69,217,.318,219,284,.771,92,183,275,34,49,18,89,75,800
706,Jaycee Carroll,SR,2007-08,G,Utah State,WAC,35,1304,267,508,.526,153,279,114,229,.498,137,149,.919,56,153,209,76,33,7,70,65,785
707,Stefon Jackson,JR,2007-08,G,Texas-El Paso,CUSA,33,1158,261,562,.464,226,457,35,105,.333,221,303,.729,56,132,188,57,39,3,77,77,778
708,Bo McCalebb,SR,2007-08,G,New Orleans,Sun Belt,32,1065,261,516,.506,214,400,47,116,.405,173,224,.772,50,93,143,99,76,3,74,85,742
709,Arizona Reid,SR,2007-08,F,High Point,Big South,31,1093,304,571,.532,270,481,34,90,.378,100,134,.746,105,237,342,75,54,16,65,87,742
710,Courtney Lee,SR,2007-08,G,Western Kentucky,Sun Belt,36,1079,259,543,.477,190,369,69,174,.397,148,180,.822,48,127,175,75,65,28,84,87,735
711,D.J. Augustin,SO,2007-08,G,Texas,Big 12,38,1417,242,551,.439,168,357,74,194,.381,173,221,.783,20,92,112,219,47,0,105,61,731
712,Chris Douglas-Roberts,JR,2007-08,G,Memphis,CUSA,40,1147,259,479,.541,214,370,45,109,.413,161,226,.712,53,112,165,71,49,18,83,68,724
713,Gary Forbes,SR,2007-08,F,Massachusetts,A-10,36,1214,233,572,.407,176,377,57,195,.292,175,243,.720,65,205,270,109,41,25,113,87,698
714,Ryan Anderson,SO,2007-08,F,University of California,Pac-10,33,1082,230,469,.490,166,313,64,156,.410,173,199,.869,100,228,328,47,12,18,74,71,697
715,Robert Vaden,JR,2007-08,G,Alabama-Birmingham,CUSA,33,1170,220,539,.408,78,184,142,355,.400,113,131,.863,14,102,116,85,32,7,97,65,695
716,Reggie Williams,SR,2007-08,F,Virginia Military Institute,Big South,25,878,269,509,.528,226,355,43,154,.279,114,170,.671,93,149,242,97,55,17,76,53,695
717,Jason Thompson,SR,2007-08,C,Rider,MAAC,34,1177,275,491,.560,264,457,11,34,.324,133,229,.581,114,298,412,93,36,91,99,100,694
718,Shan Foster,SR,2007-08,G,Vanderbilt,SEC,34,1147,242,463,.523,108,177,134,286,.469,73,96,.760,39,128,167,56,36,8,58,66,691
719,George Hill,JR,2007-08,G,IUPUI,Summit,32,1179,220,404,.545,171,295,49,109,.450,199,245,.812,49,167,216,137,57,13,94,89,688
720,O.J. Mayo,FR,2007-08,G,Southern California,Pac-10,33,1216,237,536,.442,149,321,88,215,.409,122,152,.803,35,115,150,109,51,13,117,80,684
721,Kevin Love,FR,2007-08,C,UCLA,Pac-10,39,1156,227,406,.559,198,324,29,82,.354,198,258,.767,142,273,415,75,27,56,78,73,681
722,Luke Harangody,SO,2007-08,F,Notre Dame,Big East,33,958,259,518,.500,256,509,3,9,.333,151,198,.763,116,235,351,55,26,29,76,85,672
723,Dionte Christmas,JR,2007-08,G,Temple,A-10,34,1266,210,478,.439,106,196,104,282,.369,146,189,.772,43,159,202,86,46,7,96,90,670
724,Eric Gordon,FR,2007-08,G,Indiana,Big Ten,32,1110,184,425,.433,114,217,70,208,.337,231,277,.834,23,81,104,78,42,20,115,69,669
725,Sam Young,JR,2007-08,F,Pittsburgh,Big East,37,1187,254,505,.503,210,390,44,115,.383,116,168,.690,83,149,232,45,41,42,87,73,668
726,Reggie Larry,SR,2007-08,F,Boise State,WAC,34,1169,244,455,.536,207,369,37,86,.430,136,213,.638,84,229,313,62,48,35,90,67,661
727,Marcelus Kemp,SR,2007-08,G,Nevada,WAC,33,1058,222,494,.449,152,310,70,184,.380,145,168,.863,43,136,179,109,23,10,81,63,659
728,Ricky Harris,SO,2007-08,G,Massachusetts,A-10,36,1174,209,488,.428,105,210,104,278,.374,134,178,.753,19,71,90,63,56,5,73,74,656
729,Donovan Morris,JR,2007-08,G,Cal State Long Beach,Big West,31,1164,202,438,.461,127,258,75,180,.417,177,209,.847,28,133,161,72,26,10,105,39,656
730,Sean Singletary,SR,2007-08,G,Virginia,ACC,33,1122,203,476,.426,145,318,58,158,.367,189,222,.851,26,101,127,202,60,1,128,88,653
731,Greg Sprink,SR,2007-08,G,Navy,Patriot,30,1036,189,523,.361,113,269,76,254,.299,199,232,.858,44,146,190,86,39,5,103,105,653
732,Demetric Bennett,SR,2007-08,G,South Alabama,Sun Belt,33,1147,213,443,.481,123,221,90,222,.405,133,159,.836,44,148,192,84,42,2,81,41,649
733,Josh Akognon,JR,2007-08,G,Cal State Fullerton,Big West,32,1013,212,472,.449,96,177,116,295,.393,107,119,.899,18,89,107,48,44,4,55,71,647
734,Wayne Ellington,SO,2007-08,G,North Carolina,ACC,39,1214,237,507,.467,159,312,78,195,.400,95,115,.826,41,133,174,78,44,7,66,62,647
735,David Holston,JR,2007-08,G,Chicago State,Ind,28,932,202,470,.430,72,148,130,322,.404,112,132,.848,25,61,86,142,58,2,109,61,646
736,Jermaine Taylor,JR,2007-08,G,Central Florida,CUSA,31,1037,231,501,.461,152,286,79,215,.367,105,132,.795,53,94,147,52,35,9,78,66,646
737,Ed Tyson,JR,2007-08,G,Maryland-Eastern Shore,MEAC,32,1176,219,585,.374,146,359,73,226,.323,135,177,.763,57,49,106,46,54,1,102,92,646
738,Dior Lowhorn,SO,2007-08,F,San Francisco,WCC,31,1135,252,491,.513,243,456,9,35,.257,123,174,.707,89,140,229,22,14,28,93,51,636
739,Leemire Goldwire,SR,2007-08,G,Charlotte,A-10,34,1130,194,520,.373,66,149,128,371,.345,118,146,.808,37,111,148,58,70,3,83,91,634
740,Tyrese Rice,JR,2007-08,G,Boston College,ACC,30,1144,200,462,.433,136,283,64,179,.358,165,195,.846,12,86,98,149,48,6,103,67,629
741,Alex Harris,SR,2007-08,G,UC-Santa Barbara,Big West,31,1005,186,433,.430,112,258,74,175,.423,181,223,.812,31,84,115,53,35,5,81,67,627
742,Brian Roberts,SR,2007-08,G,Dayton,A-10,34,1179,208,437,.476,108,217,100,220,.455,111,129,.860,8,88,96,117,12,4,94,60,627
743,Jonathan Rodriguez,SO,2007-08,F,Campbell,A-Sun,30,1051,202,414,.488,188,363,14,51,.275,208,272,.765,93,211,304,75,47,17,109,73,626
744,Donte Greene,FR,2007-08,F,Syracuse,Big East,35,1253,218,521,.418,128,260,90,261,.345,94,133,.707,60,191,251,71,45,57,91,101,620
745,Geoff Payne,JR,2007-08,F,Southern Utah,Summit,30,1070,219,386,.567,219,382,0,4,.000,180,261,.690,81,123,204,70,54,13,91,80,618
746,Jeremy Wise,SO,2007-08,G,Southern Mississippi,CUSA,33,1138,189,449,.421,148,320,41,129,.318,198,242,.818,15,86,101,137,39,13,112,96,617
747,Will Daniels,SR,2007-08,F,Rhode Island,A-10,33,941,228,455,.501,183,330,45,125,.360,114,165,.691,68,148,216,36,32,31,80,101,615
748,Gerald Brown,SR,2007-08,G,Loyola (MD),MAAC,33,1037,178,453,.393,111,262,67,191,.351,190,240,.792,48,111,159,63,52,5,96,117,613
749,Antoine Agudio,SR,2007-08,G,Hofstra,CAA,27,1056,207,480,.431,123,275,84,205,.410,114,147,.776,15,91,106,77,31,0,96,49,612
750,A.J. Abrams,JR,2007-08,G,Texas,Big 12,37,1328,219,516,.424,101,207,118,309,.382,55,68,.809,18,89,107,55,59,2,31,69,611
751,Marcus Thornton,JR,2007-08,G,Louisiana State,SEC,31,1043,212,486,.436,122,247,90,239,.377,94,115,.817,63,111,174,42,43,10,68,62,608
752,Ben Uzoh,SO,2007-08,G,Tulsa,CUSA,39,1258,208,426,.488,153,269,55,157,.350,137,170,.806,64,148,212,88,39,29,92,62,608
753,Joe Alexander,JR,2007-08,G,West Virginia,Big East,36,1137,219,474,.462,208,433,11,41,.268,158,194,.814,68,163,231,88,26,54,80,103,607
754,DeMario Anderson,SR,2007-08,G,Quinnipiac,NEC,28,924,220,492,.447,185,398,35,94,.372,132,164,.805,29,152,181,91,43,12,116,82,607
755,Garrison Carr,JR,2007-08,G,American,Patriot,33,1187,190,448,.424,55,149,135,299,.452,91,102,.892,22,89,111,57,23,1,73,61,606
756,James Harden,FR,2007-08,G,Arizona State,Pac-10,34,1158,196,372,.527,152,264,44,108,.407,169,224,.754,44,135,179,110,73,19,89,72,605
757,Jeremy Crouch,SR,2007-08,G,Bradley,MVC,38,1315,194,460,.422,76,164,118,296,.399,94,108,.870,17,121,138,122,57,3,87,83,600
758,Justin Hawkins,SR,2007-08,G,New Mexico State,WAC,33,1093,199,421,.473,157,316,42,105,.400,157,201,.781,84,154,238,78,32,16,92,89,597
759,Derrick Rose,FR,2007-08,G,Memphis,CUSA,40,1168,208,436,.477,173,332,35,104,.337,146,205,.712,54,127,181,189,48,15,107,68,597
760,Kyle Hines,SR,2007-08,F,North Carolina-Greensboro,Southern,31,1002,235,423,.556,234,415,1,8,.125,125,199,.628,122,159,281,43,56,95,103,86,596
761,Brian Laing,SR,2007-08,G,Seton Hall,Big East,32,1225,218,479,.455,181,380,37,99,.374,122,152,.803,60,161,221,63,50,16,78,90,595
762,Pat Calathes,SR,2007-08,G,Saint Joseph's,A-10,34,1143,189,422,.448,115,237,74,185,.400,142,172,.826,66,189,255,92,42,42,78,92,594
763,Jerryd Bayless,FR,2007-08,G,Arizona,Pac-10,30,1072,173,378,.458,114,233,59,145,.407,187,223,.839,13,69,82,121,29,3,89,66,592
764,A.D. Vassallo,JR,2007-08,G,Virginia Tech,ACC,35,1201,206,465,.443,121,250,85,215,.395,95,125,.760,27,133,160,77,24,16,87,78,592
765,Wink Adams,JR,2007-08,G,Nevada-Las Vegas,MWC,35,1092,187,443,.422,121,258,66,185,.357,151,178,.848,19,120,139,107,52,1,64,63,591
766,Brandon Johnson,JR,2007-08,G,San Diego,WCC,35,1230,207,496,.417,127,282,80,214,.374,96,153,.627,22,123,145,124,77,2,116,78,590
767,Devan Downey,SO,2007-08,G,South Carolina,SEC,32,1197,218,515,.423,165,364,53,151,.351,99,135,.733,20,83,103,172,103,6,87,65,588
768,Kevin Bell,SR,2007-08,G,Fresno State,WAC,32,1199,202,460,.439,170,378,32,82,.390,148,212,.698,13,91,104,187,39,2,106,58,584
769,Jamont Gordon,JR,2007-08,G,Mississippi State,SEC,34,1178,193,465,.415,133,277,60,188,.319,138,199,.693,40,184,224,168,38,21,138,88,584
770,Chase Budinger,SO,2007-08,F,Arizona,Pac-10,34,1200,204,457,.446,131,265,73,192,.380,102,142,.718,34,150,184,99,38,6,80,66,583
771,Manny Ubilla,SR,2007-08,G,Fairleigh Dickinson,NEC,28,1074,178,409,.435,85,192,93,217,.429,133,163,.816,17,118,135,136,41,9,105,62,582
772,Thomas Sanders,SR,2007-08,F,Gardner-Webb,A-Sun,32,1039,211,443,.476,203,405,8,38,.211,149,235,.634,104,242,346,104,43,6,112,99,579
773,A.J. Ogilvy,FR,2007-08,C,Vanderbilt,SEC,34,896,201,342,.588,201,340,0,2,.000,176,229,.769,70,159,229,40,23,49,85,104,578
774,Edwin Ubiles,SO,2007-08,F,Siena,MAAC,34,1130,231,439,.526,197,358,34,81,.420,81,115,.704,47,101,148,57,41,33,55,48,577
775,Greivis Vasquez,SO,2007-08,G,Maryland,ACC,34,1258,199,461,.432,135,254,64,207,.309,115,147,.782,31,162,193,231,47,9,149,78,577
776,D.J. White,SR,2007-08,F,Indiana,Big Ten,33,1105,216,357,.605,215,354,1,3,.333,142,206,.689,100,241,341,25,26,54,63,83,575
777,Eric Maynor,JR,2007-08,G,Virginia Commonwealth,CAA,32,1115,196,427,.459,146,300,50,127,.394,131,172,.762,24,110,134,175,40,7,96,61,573
778,Jon Brockman,JR,2007-08,F,Washington,Pac-10,32,1009,237,442,.536,237,442,0,0,,94,181,.519,141,229,370,35,21,8,76,94,568
779,Richard Hendrix,JR,2007-08,F,Alabama,SEC,32,980,229,383,.598,227,376,2,7,.286,108,201,.537,118,206,324,51,41,62,55,94,568
780,Jack McClinton,JR,2007-08,G,Miami (FL),ACC,32,1007,179,418,.428,85,198,94,220,.427,114,124,.919,11,66,77,82,24,1,79,58,566
781,Marquis Weddle,FR,2007-08,G,Tennessee-Martin,OVC,33,1150,199,487,.409,100,193,99,294,.337,68,91,.747,13,81,94,59,29,1,77,38,565
782,O'Darien Bassett,SR,2007-08,G,Troy,Sun Belt,31,954,186,452,.412,120,259,66,193,.342,126,154,.818,33,87,120,73,40,3,64,53,564
783,Josh Mayo,JR,2007-08,G,Illinois-Chicago,Horizon,33,1068,174,379,.459,80,179,94,200,.470,122,145,.841,16,68,84,106,40,0,83,58,564
784,Tywain McKee,JR,2007-08,G,Coppin State,MEAC,34,1203,177,402,.440,114,258,63,144,.438,147,169,.870,49,99,148,106,52,4,88,91,564
785,Bruce Price,JR,2007-08,G,Tennessee State,OVC,32,1089,160,395,.405,106,229,54,166,.325,188,268,.701,29,122,151,160,71,2,128,96,562
786,Kyle Landry,SR,2007-08,F,Northern Arizona,Big Sky,32,815,189,323,.585,189,323,0,0,,183,259,.707,89,169,258,28,32,27,49,86,561
787,Chris Lofton,SR,2007-08,G,Tennessee,SEC,36,1071,170,426,.399,52,119,118,307,.384,101,120,.842,27,88,115,64,48,3,49,56,559
788,John Bryant,JR,2007-08,C,Santa Clara,WCC,31,862,214,367,.583,214,366,0,1,.000,130,175,.743,78,220,298,21,15,76,86,93,558
789,Tony Murphy,SR,2007-08,G,Norfolk State,MEAC,31,1085,181,493,.367,108,256,73,237,.308,121,146,.829,17,78,95,76,54,3,104,30,556
790,Mike Trimboli,JR,2007-08,G,Vermont,AEC,31,1130,186,425,.438,123,248,63,177,.356,121,140,.864,25,91,116,139,41,6,114,81,556
791,Scottie Reynolds,SO,2007-08,G,Villanova,Big East,35,1139,164,398,.412,85,192,79,206,.383,148,190,.779,17,90,107,113,51,1,107,75,555
792,Jamar Butler,SR,2007-08,G,Ohio State,Big Ten,37,1341,184,428,.430,80,157,104,271,.384,82,87,.943,13,96,109,219,49,1,99,47,554
793,Osiris Eldridge,SO,2007-08,G,Illinois State,MVC,35,1085,196,454,.432,112,236,84,218,.385,78,107,.729,56,143,199,68,47,11,75,70,554
794,Deonta Vaughn,SO,2007-08,G,Cincinnati,Big East,32,1069,178,408,.436,81,164,97,244,.398,101,128,.789,16,78,94,133,31,2,101,90,554
795,Chris Warren,FR,2007-08,G,Mississippi,SEC,35,1097,183,462,.396,80,197,103,265,.389,85,106,.802,8,63,71,156,38,5,103,82,554
796,Nick Calathes,FR,2007-08,G,Florida,SEC,36,1174,175,411,.426,117,253,58,158,.367,144,199,.724,41,146,187,221,58,3,104,76,552
797,Lee Cummard,JR,2007-08,G,Brigham Young,MWC,35,1101,198,348,.569,138,221,60,127,.472,96,112,.857,69,153,222,123,33,35,79,93,552
798,Joe Zeglinski,SO,2007-08,G,Hartford,AEC,34,1196,190,433,.439,87,182,103,251,.410,68,96,.708,43,91,134,89,28,4,70,77,551
799,Marqus Blakely,SO,2007-08,F,Vermont,AEC,29,986,198,360,.550,197,354,1,6,.167,153,271,.565,110,210,320,67,57,79,73,80,550
800,Stephen Curry,JR,2008-09,G,Davidson,Southern,34,1145,312,687,.454,182,351,130,336,.387,220,251,.876,21,130,151,189,86,8,126,81,974
801,Stefon Jackson,SR,2008-09,G,Texas-El Paso,CUSA,37,1336,282,660,.427,250,556,32,104,.308,312,374,.834,61,139,200,71,39,4,78,100,908
802,Lester Hudson,SR,2008-09,G,Tennessee-Martin,OVC,32,1153,313,697,.449,207,398,106,299,.355,148,168,.881,70,184,254,135,75,18,106,86,880
803,Jodie Meeks,JR,2008-09,G,Kentucky,SEC,36,1237,263,568,.463,146,280,117,288,.406,211,234,.902,19,103,122,63,48,5,96,69,854
804,David Holston,SR,2008-09,G,Chicago State,Ind,32,1118,269,632,.426,122,237,147,395,.372,145,176,.824,32,87,119,204,97,0,131,68,830
805,Jermaine Taylor,SR,2008-09,G,Central Florida,CUSA,31,989,291,606,.480,199,361,92,245,.376,138,170,.812,59,102,161,58,39,24,87,55,812
806,Blake Griffin,SO,2008-09,F,Oklahoma,Big 12,35,1165,300,459,.654,297,451,3,8,.375,191,324,.590,135,369,504,80,39,41,116,89,794
807,Luke Harangody,JR,2008-09,F,Notre Dame,Big East,34,1164,300,653,.459,286,615,14,38,.368,178,229,.777,120,281,401,70,31,31,62,77,792
808,Ben Woodside,SR,2008-09,G,North Dakota State,Summit,33,1137,234,504,.464,167,347,67,157,.427,231,275,.840,9,97,106,204,47,5,104,44,766
809,Josh Akognon,SR,2008-09,G,Cal State Fullerton,Big West,32,1140,248,618,.401,112,252,136,366,.372,132,148,.892,18,83,101,51,32,1,84,63,764
810,Eric Maynor,SR,2008-09,G,Virginia Commonwealth,CAA,34,1206,248,536,.463,182,353,66,183,.361,198,243,.815,16,106,122,210,58,6,101,82,760
811,Toney Douglas,SR,2008-09,G,Florida State,ACC,35,1279,239,536,.446,154,315,85,221,.385,188,232,.810,28,109,137,102,63,15,87,76,751
812,Marcus Thornton,SR,2008-09,G,Louisiana State,SEC,35,1116,256,542,.472,178,341,78,201,.388,149,200,.745,71,121,192,75,56,13,64,72,739
813,Kevin Tiggs,SR,2008-09,F,East Tennessee State,A-Sun,34,1150,248,469,.529,211,364,37,105,.352,196,256,.766,63,99,162,68,72,8,104,75,729
814,Jeremy Hazell,SO,2008-09,G,Seton Hall,Big East,32,1161,235,550,.427,130,260,105,290,.362,151,204,.740,41,81,122,29,56,1,69,63,726
815,Drake Reed,SR,2008-09,F,Austin Peay,OVC,33,1211,275,487,.565,258,441,17,46,.370,156,209,.746,84,165,249,78,24,19,83,66,723
816,Seth Curry,FR,2008-09,G,Liberty,Big South,35,1277,243,583,.417,141,289,102,294,.347,119,143,.832,24,129,153,79,48,9,79,53,707
817,Tyler Hansbrough,SR,2008-09,F,North Carolina,ACC,34,1029,223,434,.514,214,411,9,23,.391,249,296,.841,103,173,276,34,42,12,63,77,704
818,James Harden,SO,2008-09,G,Arizona State,Pac-10,35,1254,221,452,.489,163,289,58,163,.356,204,270,.756,48,147,195,148,59,11,118,99,704
819,Jerel McNeal,SR,2008-09,G,Marquette,Big East,35,1226,236,534,.442,150,318,86,216,.398,135,183,.738,28,131,159,137,71,21,103,87,693
820,Sam Young,SR,2008-09,F,Pittsburgh,Big East,36,1146,261,520,.502,207,375,54,145,.372,114,154,.740,69,156,225,40,35,30,88,60,690
821,Chavis Holmes,SR,2008-09,G,Virginia Military Institute,Big South,31,1029,212,414,.512,129,226,83,188,.441,174,210,.829,55,89,144,96,105,33,70,81,681
822,Michael Deloach,SR,2008-09,G,Norfolk State,MEAC,31,1154,244,536,.455,209,430,35,106,.330,143,200,.715,50,101,151,86,63,8,114,91,666
823,James Florence,JR,2008-09,G,Mercer,A-Sun,32,1091,229,547,.419,166,334,63,213,.296,145,208,.697,25,88,113,119,72,2,123,81,666
824,Jonny Flynn,SO,2008-09,G,Syracuse,Big East,38,1418,219,476,.460,174,334,45,142,.317,180,229,.786,22,82,104,254,54,6,129,55,663
825,Dionte Christmas,SR,2008-09,G,Temple,A-10,34,1191,218,527,.414,111,223,107,304,.352,119,158,.753,36,161,197,98,51,5,98,85,662
826,Erik Kangas,SR,2008-09,G,Oakland,Summit,35,1259,222,505,.440,87,181,135,324,.417,83,94,.883,23,80,103,61,38,6,67,50,662
827,Sherron Collins,JR,2008-09,G,Kansas,Big 12,35,1229,226,521,.434,149,316,77,205,.376,132,166,.795,19,82,101,174,39,0,115,67,661
828,Aaron Jackson,SR,2008-09,G,Duquesne,A-10,34,1249,229,413,.554,182,297,47,116,.405,152,188,.809,61,125,186,194,56,3,103,63,657
