,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
50,R. Lopez | D. Wade,CHI,2016-17,60,1091.8,2175,2159,95.3,+1.3,+4.3,-.007,-4.0,-9.5,-.035,-0.031,+4.0,+4.0,+.043,+2.6,"('lopezro01', 'wadedw01')"
51,D. Bender | D. Booker,PHO,2016-17,33,191.5,401,396,99.9,+2.0,-0.6,+.026,+0.6,-0.6,+.028,+.030,-2.1,-5.9,+.088,+2.6,"('bendedr01', 'bookede01')"
52,L. Allen | M. Turner,IND,2016-17,46,307.6,598,611,94.3,+0.9,-0.8,+.014,-0.6,-3.0,+.019,+.011,+1.4,+1.2,+.019,+2.6,"('allenla01', 'turnemy01')"
53,T. Harris | I. Smith,DET,2016-17,81,1395.7,2787,2788,95.9,+2.7,+3.8,+.011,-1.5,-3.0,-.018,.000,-1.3,-0.1,-.053,+2.6,"('harrito02', 'smithis01')"
54,C. Joseph | L. Nogueira,TOR,2016-17,50,672.4,1323,1339,95.0,+0.5,-1.2,+.011,+0.7,-2.9,+.061,+.016,+0.8,+1.4,-.011,+2.6,"('josepco01', 'noguelu01')"
55,T. Allen | M. Gasol,MEM,2016-17,64,1512.8,2870,2918,91.8,+2.5,+5.7,-.001,-0.9,-3.7,+.015,-0.010,-1.5,-3.1,+.031,+2.6,"('allento01', 'gasolma01')"
56,N. Powell | D. Wright,TOR,2016-17,23,262.0,507,492,91.5,+1.5,+1.7,+.009,+0.3,-1.6,+.031,+.010,-0.7,+1.9,-.068,+2.6,"('powelno01', 'wrighde01')"
57,J. Holiday | C. Randle,NYK,2016-17,16,130.4,258,255,94.4,+2.2,+0.9,+.020,-3.2,-9.7,+.009,+.002,+1.4,-4.2,+.198,+2.6,"('holidju01', 'randlch01')"
58,N. Powell | J. Valančiūnas,TOR,2016-17,64,609.1,1200,1193,94.3,+1.1,+1.7,+.003,-1.9,-4.7,-.004,-0.009,+2.2,+0.9,+.063,+2.5,"('powelno01', 'valanjo01')"
59,S. Dekker | K. McDaniels,HOU,2016-17,26,136.5,272,284,97.8,+2.4,+0.2,+.027,+4.8,+2.9,+.113,+.055,-7.2,-7.7,-.053,+2.5,"('dekkesa01', 'mcdankj01')"
60,A. Davis | J. Holiday,NOP,2016-17,62,1815.6,3700,3697,97.8,+0.8,-3.1,+.024,-1.1,-4.6,+.017,+.020,+2.0,+2.2,+.017,+2.5,"('davisan02', 'holidjr01')"
61,G. Robinson | T. Young,IND,2016-17,51,662.2,1357,1380,99.2,+0.9,-5.6,+.040,-1.4,-8.1,+.062,+.035,+2.1,+2.8,-.010,+2.5,"('robingl02', 'youngth01')"
62,P. Beverley | L. Williams,HOU,2016-17,23,292.0,621,617,101.8,-5.8,-5.6,-.036,+1.9,+6.6,-.007,-0.022,+12.2,+16.2,-.035,+2.5,"('beverpa01', 'willilo02')"
63,P. Gasol | M. Ginóbili,SAS,2016-17,54,522.8,1076,1065,98.3,+0.5,-0.5,+.009,+2.7,+4.3,+.041,+.025,-1.2,-0.6,-.031,+2.5,"('gasolpa01', 'ginobma01')"
66,M. Carter-Williams | T. Gibson,CHI,2016-17,22,371.5,733,753,96.0,+1.0,+4.2,-.010,-2.4,-6.9,-.002,-0.025,+2.9,+4.7,-.033,+2.5,"('cartemi01', 'gibsota01')"
67,M. Belinelli | J. Lamb,CHO,2016-17,53,577.1,1132,1146,94.7,-0.8,-1.5,-.002,-1.6,-4.5,+.001,-0.010,+5.7,+5.3,+.066,+2.4,"('belinma01', 'lambje01')"
68,S. Dinwiddie | I. Whitehead,BRK,2016-17,34,420.4,855,853,97.5,-0.7,-5.7,+.020,-0.5,+1.2,-.030,+.021,+4.3,+5.0,+.018,+2.4,"('dinwisp01', 'whiteis01')"
69,A. Aminu | C. McCollum,POR,2016-17,60,1287.3,2575,2595,96.4,+0.5,-2.3,+.017,+1.5,+1.8,+.031,+.027,-0.1,-0.8,+.023,+2.4,"('aminual01', 'mccolcj01')"
70,R. Hibbert | F. Kaminsky,CHO,2016-17,37,334.2,682,687,98.3,-1.9,-6.1,+.009,-1.5,-3.1,-.011,+.005,+7.7,+8.1,+.059,+2.4,"('hibbero01', 'kaminfr01')"
71,K. Oubre | T. Satoranský,WAS,2016-17,48,421.3,820,836,94.3,+2.7,+1.7,+.022,-0.9,-2.1,-.007,+.016,-2.1,-3.2,+.018,+2.4,"('oubreke01', 'satorto01')"
72,K. Faried | D. Gallinari,DEN,2016-17,50,772.8,1581,1579,98.1,-1.3,-0.4,-.013,-0.4,-1.4,+.005,-0.015,+5.4,+6.7,+.012,+2.4,"('farieke01', 'gallida01')"
73,R. Hood | J. Johnson,UTA,2016-17,55,662.6,1261,1259,91.3,+0.7,-4.3,+.031,+3.1,+3.0,+.074,+.051,-2.1,-0.3,-.075,+2.4,"('hoodro01', 'johnsjo02')"
74,D. Lee | T. Parker,SAS,2016-17,55,343.6,671,671,93.7,+0.3,-4.0,+.025,-3.9,-10.4,+.002,+.005,+5.7,+5.7,+.055,+2.4,"('leeda02', 'parketo01')"
75,C. McCollum | M. Plumlee,POR,2016-17,54,1230.7,2474,2466,96.3,+2.4,+1.3,+.019,-0.2,+1.6,-.030,+.017,-2.1,-3.1,+.013,+2.4,"('mccolcj01', 'plumlma01')"
76,K. Faried | J. Nelson,DEN,2016-17,56,781.7,1592,1593,97.8,0.0,+1.8,-.009,-0.7,+0.3,-.030,-0.014,+2.9,+2.9,+.025,+2.3,"('farieke01', 'nelsoja01')"
77,C. Felício | B. Portis,CHI,2016-17,37,308.7,598,593,92.6,+0.5,+3.4,-.011,+0.3,-5.3,+.063,-0.011,+1.0,+3.9,-.094,+2.3,"('feliccr01', 'portibo01')"
78,J. Crowder | T. Rozier,BOS,2016-17,54,335.7,676,680,97.0,-0.4,-1.5,+.003,+1.4,+5.8,-.018,+.012,+1.6,+0.3,+.049,+2.3,"('crowdja01', 'roziete01')"
79,R. Covington | H. Thompson,PHI,2016-17,20,102.7,213,218,100.7,+5.5,+1.5,+.058,+0.2,+5.2,-.071,+.058,-8.9,-13.0,+.014,+2.3,"('covinro01', 'thompho01')"
80,J. Holiday | C. Lee,NYK,2016-17,62,458.6,900,900,94.2,+2.4,+5.2,+.001,-1.2,-4.1,+.007,-0.009,-1.3,-5.2,+.109,+2.3,"('holidju01', 'leeco01')"
81,A. Bradley | A. Johnson,BOS,2016-17,53,915.2,1810,1820,95.2,+0.8,-1.1,+.014,+3.7,+5.6,+.055,+.035,-2.9,-5.0,+.049,+2.3,"('bradlav01', 'johnsam01')"
82,G. Dieng | S. Muhammad,MIN,2016-17,78,597.9,1176,1187,94.9,+0.2,+3.0,-.013,-1.6,-3.8,-.016,-0.024,+3.5,+3.4,+.034,+2.3,"('dienggo01', 'muhamsh01')"
83,J. Ennis | A. Harrison,MEM,2016-17,52,483.1,926,931,92.3,+3.0,+3.8,+.016,+0.1,-0.8,+.012,+.014,-3.8,-5.2,+.008,+2.3,"('ennisja01', 'harrian01')"
84,M. Harkless | M. Plumlee,POR,2016-17,49,1006.0,2001,2017,95.9,+2.1,+0.2,+.023,+1.0,+3.3,-.010,+.028,-3.0,-3.5,-.012,+2.3,"('harklma01', 'plumlma01')"
85,D. Cousins | S. Hill,NOP,2016-17,17,393.9,814,807,98.8,-1.4,-0.9,-.012,-0.1,+0.2,-.006,-0.012,+5.3,+5.7,+.047,+2.3,"('couside01', 'hillso01')"
88,J. Johnson | R. McGruder,MIA,2016-17,70,875.0,1743,1732,95.3,+1.5,+0.9,+.012,+0.3,+1.9,-.011,+.014,-1.0,+1.3,-.076,+2.3,"('johnsja01', 'mcgruro01')"
89,J. Harden | M. Harrell,HOU,2016-17,55,745.5,1570,1557,100.7,-4.6,-7.0,-.015,+4.1,+11.5,-.003,+.014,+7.3,+6.4,+.088,+2.2,"('hardeja01', 'harremo01')"
90,K. Faried | J. Murray,DEN,2016-17,54,503.2,1037,1023,98.3,+0.7,+0.6,+.005,+1.1,+3.0,+.002,+.011,-0.4,+0.8,-.039,+2.2,"('farieke01', 'murraja01')"
91,D. Carroll | J. Poeltl,TOR,2016-17,31,123.6,232,233,90.3,+3.6,+6.8,+.008,+0.9,-2.5,+.058,+.009,-5.9,-3.7,-.107,+2.2,"('carrode01', 'poeltja01')"
92,J. Brown | I. Thomas,BOS,2016-17,68,641.9,1307,1317,98.1,+0.3,-1.5,+.012,+2.5,+6.3,+.010,+.027,-1.0,-2.0,+.021,+2.2,"('brownja02', 'thomais02')"
93,T. Ennis | L. Nance,LAL,2016-17,19,241.9,498,490,98.0,+3.0,+7.7,-.009,-4.2,-7.0,-.074,-0.038,+0.4,+0.5,.000,+2.2,"('ennisty01', 'nancela02')"
94,T. Burke | J. Wall,WAS,2016-17,23,101.5,215,212,101.0,+1.3,-1.3,+.021,+4.1,+0.5,+.141,+.045,-4.5,-8.8,+.097,+2.2,"('burketr01', 'walljo01')"
95,L. Galloway | G. Papagiannis,SAC,2016-17,17,210.7,419,410,94.4,+4.0,-5.7,+.077,+0.1,-10.0,+.137,+.081,-5.8,-8.1,+.022,+2.2,"('gallola01', 'papagge01')"
96,A. Crabbe | M. Harkless,POR,2016-17,75,988.2,2012,2038,98.4,+1.8,-2.3,+.033,+1.7,+1.3,+.045,+.044,-3.2,-3.3,-.018,+2.2,"('crabbal01', 'harklma01')"
97,J. Lamb | K. Walker,CHO,2016-17,57,510.9,1001,1005,94.2,0.0,-0.9,+.004,-2.1,-3.5,-.024,-0.007,+4.4,+3.5,+.064,+2.2,"('lambje01', 'walkeke02')"
98,D. Murray | J. Simmons,SAS,2016-17,30,115.7,228,236,96.2,+2.5,+2.5,+.017,-0.2,-0.4,-.003,+.015,-2.8,-5.6,+.061,+2.1,"('murrade01', 'simmojo02')"
99,D. Liggins | I. Shumpert,CLE,2016-17,38,173.0,346,354,97.1,+2.0,-5.8,+.053,+5.1,+1.2,+.167,+.086,-7.0,-8.5,-.023,+2.1,"('liggide01', 'shumpim01')"
100,J. Lamb | B. Roberts,CHO,2016-17,31,284.9,547,553,92.7,+0.4,-1.2,+.011,-3.0,-9.6,+.007,-0.005,+4.2,+3.2,+.069,+2.1,"('lambje01', 'roberbr01')"
101,R. Jefferson | D. Williams,CLE,2016-17,20,208.8,415,411,95.0,-3.8,-14.9,+.038,+5.0,+3.1,+.135,+.077,+4.7,+7.5,-.057,+2.1,"('jefferi01', 'willide02')"
102,M. Gasol | A. Harrison,MEM,2016-17,61,834.4,1606,1615,92.6,+1.9,+4.5,-.001,-0.9,-1.6,-.011,-0.009,-0.7,-2.5,+.037,+2.1,"('gasolma01', 'harrian01')"
103,C. Miles | J. Teague,IND,2016-17,75,1040.2,2111,2083,96.8,+2.3,+3.1,+.011,-0.8,-1.9,-.005,+.004,-1.8,-3.5,+.040,+2.1,"('milescj01', 'teaguje01')"
104,D. Jones | T. Ulis,PHO,2016-17,31,393.6,825,821,100.4,+2.0,-0.3,+.024,-1.7,-5.0,-.008,+.014,-0.1,+1.5,-.044,+2.1,"('jonesde02', 'ulisty01')"
105,D. Hilliard | M. Morris,DET,2016-17,17,120.1,238,236,94.7,+2.6,+0.9,+.025,0.0,-3.6,+.035,+.025,-3.1,-6.5,+.067,+2.1,"('hillida01', 'morrima03')"
106,B. Ingram | L. Williams,LAL,2016-17,58,993.6,2046,2041,98.7,0.0,-0.7,+.003,-1.4,-2.9,-.014,-0.004,+3.5,+2.7,+.053,+2.1,"('ingrabr01', 'willilo02')"
107,W. Reed | J. Winslow,MIA,2016-17,15,101.8,202,201,95.0,+4.3,+1.0,+.040,+1.9,+0.9,+.065,+.050,-8.5,-6.1,-.195,+2.0,"('reedwi02', 'winslju01')"
0,W. Reed | J. Winslow,MIA,2016-17,15,101.8,202,201,95.0,+4.3,+1.0,+.040,+1.9,+0.9,+.065,+.050,-8.5,-6.1,-.195,+2.0,"('reedwi02', 'winslju01')"
1,Á. Abrines | E. Kanter,OKC,2016-17,58,635.7,1290,1284,97.2,+0.8,+1.2,+.003,-0.4,+1.1,-.033,.000,+0.8,+1.5,-.014,+2.0,"('abrinal01', 'kanteen01')"
2,N. Batum | F. Kaminsky,CHO,2016-17,70,1054.6,2148,2144,97.7,-1.7,-3.7,.000,0.0,-0.5,+.006,+.003,+5.4,+4.9,+.062,+2.0,"('batumni01', 'kaminfr01')"
3,J. Parker | J. Terry,MIL,2016-17,40,314.3,638,636,97.3,+1.6,-2.9,+.035,-4.4,-10.9,-.002,+.011,+3.2,+2.9,+.041,+2.0,"('parkeja01', 'terryja01')"
4,J. Harden | L. Williams,HOU,2016-17,22,308.0,669,674,104.6,-3.9,-4.7,-.019,+3.8,+8.9,+.024,+.006,+6.0,+6.8,+.021,+2.0,"('hardeja01', 'willilo02')"
5,S. Curry | P. McCaw,GSW,2016-17,59,637.1,1380,1358,103.1,-0.1,-1.6,+.008,+4.1,+9.1,+.022,+.033,-2.0,-3.1,+.017,+2.0,"('curryst01', 'mccawpa01')"
6,K. McDaniels | I. Whitehead,BRK,2016-17,19,192.7,399,395,98.9,+1.1,-0.9,+.017,-1.3,+0.2,-.052,+.010,+1.1,+0.5,+.026,+2.0,"('mcdankj01', 'whiteis01')"
7,T. Allen | J. Ennis,MEM,2016-17,46,471.7,889,918,91.9,+3.0,+9.7,-.013,-0.2,-3.4,+.035,-0.020,-3.7,-3.8,-.024,+2.0,"('allento01', 'ennisja01')"
8,D. Finney-Smith | D. Nowitzki,DAL,2016-17,50,495.6,964,962,93.3,-0.8,-0.6,-.006,+0.4,+3.9,-.031,-0.003,+3.2,+1.1,+.128,+2.0,"('finnedo01', 'nowitdi01')"
9,M. Carter-Williams | J. Lauvergne,CHI,2016-17,14,102.3,208,211,98.3,+2.0,+6.1,-.007,+1.6,-4.8,+.109,-0.003,-3.6,-5.9,+.039,+2.0,"('cartemi01', 'lauvejo01')"
10,K. Lowry | J. Poeltl,TOR,2016-17,25,224.3,427,431,91.8,+1.8,+6.6,-.013,+0.8,+2.2,+.001,-0.014,-2.4,-2.6,-.017,+1.9,"('lowryky01', 'poeltja01')"
11,K. Walker | M. Williams,CHO,2016-17,73,1861.2,3691,3708,95.4,-1.4,+0.7,-.019,-0.6,-0.4,-.015,-0.023,+5.4,+5.7,+.036,+1.9,"('walkeke02', 'willima02')"
12,D. Bender | T. Ulis,PHO,2016-17,28,204.2,423,412,98.1,+2.3,+2.8,+.013,-4.8,-6.2,-.102,-0.017,+2.0,-1.3,+.099,+1.9,"('bendedr01', 'ulisty01')"
13,J. Clarkson | T. Ennis,LAL,2016-17,20,196.0,406,401,98.8,+1.0,+2.2,-.001,-4.6,-10.4,-.028,-0.029,+4.5,+5.2,+.031,+1.9,"('clarkjo01', 'ennisty01')"
14,C. Miles | M. Turner,IND,2016-17,75,983.9,1973,1941,95.5,+2.2,+0.3,+.024,-0.2,-1.8,+.018,+.023,-2.4,-3.7,+.025,+1.9,"('milescj01', 'turnemy01')"
15,J. Crawford | D. Jordan,LAC,2016-17,81,888.6,1826,1791,97.7,+0.1,-3.4,+.021,-0.1,-2.9,+.034,+.022,+1.7,+5.7,-.080,+1.9,"('crawfja01', 'jordade01')"
16,J. Jerebko | K. Olynyk,BOS,2016-17,64,478.1,956,967,96.5,+0.9,+5.7,-.020,+2.3,+7.5,-.004,-0.010,-2.2,-4.3,+.050,+1.9,"('jerebjo01', 'olynyke01')"
17,R. Felton | D. Jordan,LAC,2016-17,77,639.0,1274,1304,96.8,+2.0,-1.1,+.028,-1.3,-5.2,+.018,+.021,-0.7,+1.4,-.071,+1.9,"('feltora01', 'jordade01')"
18,M. Barnes | I. Clark,GSW,2016-17,17,198.9,385,388,93.3,+3.2,-8.6,+.078,+1.1,+1.0,+.029,+.089,-5.6,-5.8,-.054,+1.9,"('barnema02', 'clarkia01')"
19,D. Green | K. Looney,GSW,2016-17,23,104.2,215,219,100.0,+2.1,-0.7,+.028,+5.7,+20.9,-.069,+.062,-8.0,-7.9,-.112,+1.9,"('greendr01', 'looneke01')"
22,A. Aminu | E. Turner,POR,2016-17,46,627.7,1249,1271,96.4,+1.6,+0.5,+.016,+2.0,+3.1,+.032,+.028,-3.3,-4.2,-.002,+1.9,"('aminual01', 'turneev01')"
23,C. Felício | N. Mirotić,CHI,2016-17,47,560.9,1115,1117,95.5,-0.6,-0.6,-.005,+1.0,+0.5,+.029,+.001,+2.2,+2.7,+.001,+1.9,"('feliccr01', 'mirotni01')"
24,Ö. Aşık | D. Cunningham,NOP,2016-17,14,119.0,239,246,97.8,+3.2,+1.4,+.029,-2.5,-8.2,+.029,+.014,-2.1,-0.7,-.083,+1.9,"('asikom01', 'cunnida01')"
25,R. Felton | P. Pierce,LAC,2016-17,20,167.7,328,333,94.6,+3.9,-0.8,+.049,+2.9,+6.5,+.027,+.066,-8.8,-13.3,+.045,+1.9,"('feltora01', 'piercpa01')"
26,D. Cousins | T. Lawson,SAC,2016-17,49,718.4,1408,1417,94.4,+0.2,-1.3,+.009,+0.4,-2.7,+.049,+.012,+1.1,+1.1,+.009,+1.9,"('couside01', 'lawsoty01')"
27,G. Dragić | R. McGruder,MIA,2016-17,67,1132.7,2247,2246,95.2,+0.7,+0.5,+.005,+1.9,+3.0,+.031,+.016,-1.5,-0.3,-.058,+1.9,"('dragigo01', 'mcgruro01')"
28,K. Bazemore | M. Delaney,ATL,2016-17,58,333.6,672,677,97.0,+0.3,-8.1,+.045,-2.9,-6.6,-.017,+.034,+4.1,+9.2,-.104,+1.9,"('bazemke01', 'delanma01')"
29,J. Embiid | T. McConnell,PHI,2016-17,30,338.6,695,699,98.8,-1.8,-8.6,+.025,+1.9,-0.8,+.075,+.042,+3.6,+4.2,+.010,+1.9,"('embiijo01', 'mccontj01')"
30,N. Batum | M. Kidd-Gilchrist,CHO,2016-17,76,1680.9,3307,3369,95.3,-1.2,+0.5,-.016,-2.0,-2.7,-.032,-0.027,+6.3,+7.0,+.033,+1.9,"('batumni01', 'kiddgmi01')"
31,R. Jefferson | K. Korver,CLE,2016-17,34,449.5,920,911,97.8,-0.4,-8.2,+.040,+3.6,+4.8,+.050,+.068,-0.9,+0.4,-.054,+1.8,"('jefferi01', 'korveky01')"
32,M. Conley | M. Gasol,MEM,2016-17,63,1633.9,3162,3152,92.7,+1.9,+5.1,-.005,-0.3,-0.9,+.001,-0.011,-1.7,-3.6,+.041,+1.8,"('conlemi01', 'gasolma01')"
33,J. Anderson | T. Luwawu-Cabarrot,PHI,2016-17,21,278.0,574,566,98.4,-0.2,-1.2,+.004,+2.2,+8.2,-.008,+.017,+0.1,-1.7,+.064,+1.8,"('anderju01', 'luwawti01')"
34,D. Bender | E. Bledsoe,PHO,2016-17,27,137.5,282,291,100.1,+3.0,+0.6,+.031,+1.7,+0.9,+.047,+.041,-5.8,-6.7,-.008,+1.8,"('bendedr01', 'bledser01')"
35,Y. Ferrell | D. Nowitzki,DAL,2016-17,34,647.0,1279,1263,94.3,-0.4,+2.3,-.017,+2.0,+4.0,+.015,-0.007,+0.7,-2.6,+.139,+1.8,"('ferreyo01', 'nowitdi01')"
36,C. Parsons | Z. Randolph,MEM,2016-17,31,149.7,284,285,91.2,+2.6,+9.5,-.019,+0.4,+2.2,-.015,-0.023,-3.8,-4.5,-.015,+1.8,"('parsoch01', 'randoza01')"
37,W. Chandler | N. Jokić,DEN,2016-17,62,1150.2,2360,2336,98.0,0.0,+0.3,-.002,+0.5,+4.1,-.037,+.001,+1.5,+0.7,+.045,+1.8,"('chandwi01', 'jokicni01')"
38,J. Brown | A. Horford,BOS,2016-17,58,534.7,1050,1083,95.7,+0.6,-1.4,+.013,+1.7,+5.0,+.002,+.024,-1.0,-1.4,+.002,+1.8,"('brownja02', 'horfoal01')"
39,A. Iguodala | P. McCaw,GSW,2016-17,48,309.0,663,659,102.7,-1.0,-2.3,+.001,+3.7,+8.4,+.017,+.025,0.0,+1.7,-.051,+1.8,"('iguodan01', 'mccawpa01')"
40,A. Brooks | C. Miles,IND,2016-17,49,572.2,1122,1118,94.0,+3.3,+4.3,+.016,-0.5,-4.1,+.036,+.011,-4.4,-6.5,+.032,+1.8,"('brookaa01', 'milescj01')"
41,M. Dunleavy | T. Thompson,CLE,2016-17,17,110.9,222,224,96.5,-4.6,-7.7,-.018,-0.8,-2.4,+.001,-0.018,+11.8,+15.5,+.021,+1.8,"('dunlemi02', 'thomptr01')"
44,E. Payton | T. Ross,ORL,2016-17,24,608.0,1268,1257,99.7,+1.0,+1.5,+.004,-1.0,-1.3,-.019,-0.003,+0.6,+1.2,-.016,+1.8,"('paytoel01', 'rosste01')"
45,D. Green | P. McCaw,GSW,2016-17,57,476.7,1013,1016,102.2,0.0,-0.1,+.001,+4.5,+9.5,+.029,+.027,-2.7,-4.4,+.032,+1.8,"('greendr01', 'mccawpa01')"
46,T. Frazier | E. Moore,NOP,2016-17,53,759.6,1536,1544,97.3,+1.2,-2.2,+.025,-2.0,-5.3,+.001,+.015,+1.3,+2.9,-.047,+1.7,"('fraziti01', 'mooreet01')"
47,P. Connaughton | S. Napier,POR,2016-17,30,158.4,309,301,92.4,-0.7,-9.5,+.040,+4.3,+4.1,+.091,+.072,-1.1,0.0,-.047,+1.7,"('connapa01', 'napiesh01')"
48,M. Morris | I. Smith,DET,2016-17,77,1227.1,2426,2433,95.0,+1.9,+4.8,-.003,-1.0,-3.5,+.007,-0.011,-1.1,-0.1,-.050,+1.7,"('morrima03', 'smithis01')"
49,G. Dieng | K. Towns,MIN,2016-17,82,2153.5,4246,4231,94.5,+0.5,-0.9,+.011,-2.8,-7.8,+.007,-0.004,+3.4,+4.0,+.014,+1.7,"('dienggo01', 'townska01')"
50,N. Noel | S. Rodríguez,PHI,2016-17,22,188.9,388,393,99.2,+2.3,+4.7,+.001,-0.1,+5.0,-.078,-0.004,-2.9,-5.4,+.051,+1.7,"('noelne01', 'rodrise01')"
51,F. Kaminsky | J. Lamb,CHO,2016-17,53,638.7,1252,1255,94.2,+0.5,+0.9,+.001,-2.0,-3.8,-.020,-0.010,+2.7,+2.9,+.014,+1.7,"('kaminfr01', 'lambje01')"
52,R. Gay | T. Lawson,SAC,2016-17,29,480.6,941,950,94.4,-0.4,+1.1,-.010,-1.4,-5.1,+.016,-0.019,+3.8,+3.9,+.028,+1.7,"('gayru01', 'lawsoty01')"
53,M. Muscala | T. Prince,ATL,2016-17,44,296.8,604,604,97.7,-1.8,-3.6,-.003,-2.5,-4.0,-.038,-0.015,+7.8,+8.8,+.048,+1.7,"('muscami01', 'princta02')"
54,L. Babbitt | R. McGruder,MIA,2016-17,59,645.0,1257,1268,94.0,+0.8,-0.6,+.012,+3.0,+5.6,+.037,+.029,-3.0,-2.2,-.069,+1.7,"('babbilu01', 'mcgruro01')"
55,N. Batum | R. Hibbert,CHO,2016-17,39,370.4,745,749,96.8,-3.0,-6.9,.000,-0.5,-0.6,-.007,+.003,+8.1,+8.6,+.044,+1.7,"('batumni01', 'hibbero01')"
56,S. Dinwiddie | L. Scola,BRK,2016-17,16,104.0,220,217,100.9,-3.8,-5.3,-.015,+0.3,+3.8,-.040,-0.010,+8.9,+9.3,+.091,+1.7,"('dinwisp01', 'scolalu01')"
57,E. Kanter | V. Oladipo,OKC,2016-17,57,631.6,1304,1278,98.1,+1.3,+0.7,+.012,-0.6,-3.5,+.025,+.008,-0.4,-1.7,+.032,+1.6,"('kanteen01', 'oladivi01')"
58,K. Olynyk | M. Smart,BOS,2016-17,75,1128.8,2297,2291,97.5,-0.4,-0.6,-.002,+2.3,+6.2,+.010,+.012,+0.2,-1.1,+.043,+1.6,"('olynyke01', 'smartma01')"
59,J. Butler | R. Lopez,CHI,2016-17,75,2030.3,4033,4003,95.0,-0.2,+0.8,-.006,-2.1,-5.2,-.011,-0.018,+4.0,+4.0,+.040,+1.6,"('butleji01', 'lopezro01')"
60,D. Arthur | J. Murray,DEN,2016-17,37,377.2,772,777,98.6,-2.4,-1.5,-.020,+3.8,+5.8,+.054,+.003,+2.7,+3.4,+.006,+1.6,"('arthuda01', 'murraja01')"
61,B. Bogdanović | B. Jennings,WAS,2016-17,22,295.3,601,595,97.2,-0.6,-1.1,-.001,+0.4,+3.1,-.024,+.002,+2.3,+0.6,+.079,+1.6,"('bogdabo02', 'jennibr01')"
62,V. Carter | Z. Randolph,MEM,2016-17,69,1073.8,2088,2037,92.2,+2.2,+6.7,-.008,-1.4,-3.0,-.011,-0.020,-1.5,-3.0,+.030,+1.6,"('cartevi01', 'randoza01')"
63,K. Bazemore | T. Prince,ATL,2016-17,33,165.4,349,360,102.9,-2.0,-12.6,+.042,-3.7,-8.8,-.032,+.027,+9.1,+12.5,-.008,+1.5,"('bazemke01', 'princta02')"
66,C. Frye | D. Williams,CLE,2016-17,23,255.5,504,511,95.3,+0.8,-8.3,+.053,+4.7,+10.3,+.035,+.086,-4.7,-5.2,-.049,+1.5,"('fryech01', 'willide01')"
67,J. Barea | N. Noel,DAL,2016-17,13,133.1,258,257,92.9,-0.6,+0.8,-.011,+1.1,+3.0,-.002,-0.005,+1.5,+1.9,+.002,+1.5,"('bareajo01', 'noelne01')"
68,M. Gortat | K. Oubre,WAS,2016-17,69,622.6,1277,1280,98.6,+1.6,-0.5,+.021,+0.5,+1.0,+.005,+.024,-2.1,-1.7,-.035,+1.5,"('gortama01', 'oubreke01')"
69,J. Ennis | M. Gasol,MEM,2016-17,56,869.7,1671,1675,92.3,+1.6,+3.4,+.001,0.0,-1.4,+.016,-0.001,-1.7,-2.5,+.011,+1.5,"('ennisja01', 'gasolma01')"
70,G. Monroe | J. Parker,MIL,2016-17,50,577.8,1181,1160,97.2,+2.2,-2.1,+.038,-4.3,-12.7,+.015,+.014,+1.3,+3.5,-.054,+1.5,"('monrogr01', 'parkeja01')"
71,R. Gay | G. Temple,SAC,2016-17,30,392.8,805,798,98.0,+2.3,+4.4,+.004,-2.7,-5.5,-.026,-0.016,-0.3,-0.9,+.012,+1.5,"('gayru01', 'templga01')"
72,J. Teague | T. Young,IND,2016-17,74,1936.8,3927,3944,97.5,+1.1,-2.8,+.028,-1.3,-6.4,+.040,+.022,+0.6,+0.6,+.006,+1.5,"('teaguje01', 'youngth01')"
73,L. Barbosa | D. Booker,PHO,2016-17,48,310.7,666,656,102.1,+3.0,-2.8,+.052,-0.3,-4.4,+.052,+.052,-4.3,-3.2,-.052,+1.5,"('barbole01', 'bookede01')"
74,T. Gibson | D. Wade,CHI,2016-17,46,902.5,1785,1787,95.0,+0.5,+3.7,-.013,-4.2,-8.9,-.068,-0.038,+4.8,+4.3,+.066,+1.5,"('gibsota01', 'wadedw01')"
75,K. Middleton | T. Snell,MIL,2016-17,29,594.3,1154,1159,93.4,+0.2,-0.3,+.004,+1.2,-2.0,+.071,+.011,0.0,-1.0,+.035,+1.5,"('middlkh01', 'snellto01')"
76,J. Butler | R. Rondo,CHI,2016-17,63,1447.5,2900,2884,95.9,-0.6,-0.1,-.006,-1.5,-3.3,-.014,-0.015,+4.3,+4.2,+.053,+1.5,"('butleji01', 'rondora01')"
77,J. Dudley | P. Tucker,PHO,2016-17,34,395.9,821,815,99.2,+1.7,+5.0,-.006,-0.6,+0.4,-.027,-0.013,-1.2,-2.1,+.017,+1.5,"('dudleja01', 'tuckepj01')"
78,S. Ibaka | C. Joseph,TOR,2016-17,23,572.4,1111,1119,93.5,+1.6,-1.1,+.024,-2.1,-5.9,-.003,+.013,+0.2,+0.3,-.002,+1.4,"('ibakase01', 'josepco01')"
79,D. Cunningham | E. Moore,NOP,2016-17,59,802.5,1624,1657,98.1,+0.6,-0.1,+.007,-1.3,-3.3,-.004,.000,+1.5,+3.0,-.038,+1.4,"('cunnida01', 'mooreet01')"
