,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
37,A. Davis | J. Fredette,NOP,2014-15,29,134.2,273,262,95.7,+5.5,+1.8,+.051,+3.8,+5.6,+.076,+.070,+2.8,+2.5,+.028,+17.5,"('davisan02', 'fredeji01')"
38,R. Kelly | N. Young,LAL,2014-15,12,125.4,246,246,94.2,+5.3,-1.6,+.071,-1.2,-6.5,+.048,+.065,+8.1,+7.3,+.085,+17.5,"('kellyry01', 'youngni01')"
39,Q. Pondexter | Z. Randolph,MEM,2014-15,18,163.1,317,309,92.1,+7.6,+2.9,+.072,-0.5,-7.6,+.110,+.068,+2.7,+1.6,+.055,+17.4,"('pondequ01', 'randoza01')"
40,A. Bogut | K. Thompson,GSW,2014-15,63,1302.1,2667,2662,98.2,+7.5,+2.5,+.072,+6.7,+12.6,+.069,+.108,-4.3,-5.8,+.017,+17.3,"('bogutan01', 'thompkl01')"
41,M. Ginóbili | C. Joseph,SAS,2014-15,57,573.3,1125,1118,93.9,+5.7,+2.3,+.053,+3.4,+4.4,+.075,+.072,+2.4,+2.1,+.039,+17.3,"('ginobma01', 'josepco01')"
44,C. Hayes | L. Williams,TOR,2014-15,25,196.8,382,385,93.6,+7.9,+9.5,+.040,+1.1,+5.7,-.038,+.039,+0.4,-1.9,+.077,+17.3,"('hayesch01', 'willilo02')"
45,T. Duncan | P. Mills,SAS,2014-15,36,153.9,315,314,98.1,+4.0,-0.3,+.048,+3.2,+8.8,+.014,+.067,+6.0,+2.8,+.157,+17.2,"('duncati01', 'millspa02')"
46,D. Carroll | M. Muscala,ATL,2014-15,12,113.1,225,226,95.7,+4.6,+3.0,+.037,+3.6,+2.3,+.106,+.055,+4.1,+2.3,+.111,+16.9,"('carrode01', 'muscami01')"
47,M. Barnes | J. Redick,LAC,2014-15,72,1628.0,3259,3246,95.9,+6.7,+2.2,+.064,+2.3,+2.9,+.045,+.076,+1.2,+3.8,-.062,+16.8,"('barnema02', 'redicjj01')"
48,T. Hansbrough | J. Johnson,TOR,2014-15,52,420.2,791,802,91.0,+4.6,+3.3,+.035,+3.3,+5.5,+.052,+.052,+4.4,+4.2,+.050,+16.8,"('hansbty01', 'johnsja01')"
