,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
62,T. Ariza | J. Harden | N. Hilário | L. Mbah a Moute,HOU,2017-18,14,72.3,161,158,105.9,+5.6,+2.3,+.058,+6.0,+8.9,+.083,+.096,+0.2,+1.4,-.037,+17.3,"('arizatr01', 'hardeja01', 'hilarne01', 'mbahalu01')"
63,L. Ball | J. Clarkson | K. Kuzma | L. Nance,LAL,2017-18,11,63.6,133,132,99.9,+13.3,+15.2,+.078,-0.1,+3.5,-.035,+.064,-9.2,-7.0,-.205,+17.3,"('balllo01', 'clarkjo01', 'kuzmaky01', 'nancela02')"
66,C. Lee | F. Ntilikina | K. Porziņģis | L. Thomas,NYK,2017-18,22,48.3,98,98,97.4,+11.2,-7.1,+.152,+1.0,-18.4,+.232,+.161,-6.1,-2.0,-.197,+17.3,"('leeco01', 'ntilila01', 'porzikr01', 'thomala01')"
67,J. Grant | J. Holiday | D. Nwaba | B. Portis,CHI,2017-18,31,76.3,163,168,104.1,+3.5,-4.0,+.062,+0.9,-2.7,+.059,+.070,+9.2,+15.5,-.091,+17.3,"('grantje02', 'holidju01', 'nwabada01', 'portibo01')"
68,H. Barnes | D. Finney-Smith | N. Noel | D. Smith,DAL,2017-18,8,49.6,105,104,101.2,+5.4,+16.4,-.020,+5.6,+9.3,+.069,.000,+0.8,-4.1,+.136,+17.2,"('barneha02', 'finnedo01', 'noelne01', 'smithde03')"
69,A. Aminu | E. Davis | D. Lillard | C. McCollum,POR,2017-18,40,127.2,263,260,98.7,+6.1,+13.5,+.004,+5.6,+9.2,+.094,+.028,-0.6,-8.0,+.200,+17.2,"('aminual01', 'davised01', 'lillada01', 'mccolcj01')"
70,R. Covington | T. Luwawu-Cabarrot | D. Šarić | B. Simmons,PHI,2017-18,16,111.2,214,212,92.0,+7.6,-1.8,+.092,+4.1,+0.6,+.116,+.115,-2.1,+0.2,-.095,+17.2,"('covinro01', 'luwawti01', 'saricda01', 'simmobe01')"
71,T. Johnson | R. McGruder | K. Olynyk | J. Winslow,MIA,2017-18,8,62.4,124,128,96.9,+10.1,+21.8,-.011,+0.4,+15.3,-.180,-0.028,-3.5,-0.1,-.155,+17.2,"('johnsty01', 'mcgruro01', 'olynyke01', 'winslju01')"
72,R. Gobert | J. Ingles | D. Mitchell | R. Rubio,UTA,2017-18,49,825.9,1691,1672,97.7,+4.2,-0.9,+.053,+2.3,+4.9,+.020,+.067,+6.4,+7.5,+.043,+17.1,"('goberru01', 'inglejo01', 'mitchdo01', 'rubiori01')"
73,D. DeRozan | S. Ibaka | K. Lowry | L. Nogueira,TOR,2017-18,17,70.2,146,143,98.9,+8.1,+7.9,+.051,+7.4,+22.9,+.002,+.088,-6.6,-9.5,+.030,+17.1,"('derozde01', 'ibakase01', 'lowryky01', 'noguelu01')"
74,R. Covington | T. McConnell | J. Redick | B. Simmons,PHI,2017-18,35,70.3,156,174,112.7,+5.5,-13.8,+.141,+4.3,-4.7,+.215,+.178,+1.9,+2.9,.000,+17.1,"('covinro01', 'mccontj01', 'redicjj01', 'simmobe01')"
75,T. Ariza | E. Gordon | J. Harden | L. Mbah a Moute,HOU,2017-18,22,103.8,215,223,101.3,+0.1,-5.5,+.032,+5.1,+9.1,+.045,+.067,+11.7,+11.4,+.109,+17.0,"('arizatr01', 'gordoer01', 'hardeja01', 'mbahalu01')"
76,D. Brooks | M. Chalmers | T. Evans | C. Parsons,MEM,2017-18,13,96.7,201,199,99.3,+6.7,+6.2,+.050,+1.4,+0.7,+.042,+.054,+2.2,+4.7,-.048,+17.0,"('brookdi01', 'chalmma01', 'evansty01', 'parsoch01')"
77,I. Clark | D. Cousins | J. Holiday | D. Miller,NOP,2017-18,24,96.9,195,193,96.1,+3.7,-7.0,+.083,-1.1,+0.7,-.045,+.080,+10.6,+16.7,-.107,+17.0,"('clarkia01', 'couside01', 'holidjr01', 'milleda01')"
78,A. Aminu | P. Connaughton | J. Nurkić | E. Turner,POR,2017-18,32,90.5,183,184,97.4,+5.1,+9.2,+.012,+3.9,+10.5,-.004,+.026,+2.8,+5.1,-.027,+17.0,"('aminual01', 'connapa01', 'nurkiju01', 'turneev01')"
79,R. Covington | J. Embiid | J. Redick | B. Simmons,PHI,2017-18,52,735.8,1529,1519,99.4,+6.5,-2.9,+.089,+3.6,+2.4,+.098,+.112,+0.4,+0.8,-.009,+17.0,"('covinro01', 'embiijo01', 'redicjj01', 'simmobe01')"
80,D. Favors | R. Hood | D. Mitchell | T. Sefolosha,UTA,2017-18,16,59.9,121,129,100.2,+3.2,-3.5,+.059,+1.3,-0.8,+.061,+.068,+9.2,+7.3,+.150,+17.0,"('favorde01', 'hoodro01', 'mitchdo01', 'sefolth01')"
81,B. Beal | I. Mahinmi | J. Meeks | M. Scott,WAS,2017-18,18,59.1,118,119,96.2,+5.4,-2.6,+.077,+4.3,-1.4,+.169,+.103,+1.9,+1.1,+.036,+17.0,"('bealbr01', 'mahinia01', 'meeksjo01', 'scottmi01')"
82,T. Gibson | T. Jones | K. Towns | A. Wiggins,MIN,2017-18,45,331.0,647,638,93.2,+5.5,+5.6,+.032,-1.5,-3.5,-.011,+.020,+7.5,+10.0,-.015,+17.0,"('gibsota01', 'jonesty01', 'townska01', 'wiggian01')"
83,B. Griffin | D. Jordan | M. Teodosić | C. Williams,LAC,2017-18,4,72.7,146,143,95.4,-0.2,-15.7,+.083,+2.6,+2.2,+.064,+.108,+14.8,+9.8,+.269,+17.0,"('griffbl01', 'jordade01', 'teodomi01', 'willicj01')"
84,T. Ennis | J. Hart | K. Kuzma | I. Zubac,LAL,2017-18,12,53.2,106,107,96.1,+7.9,-7.6,+.124,+3.8,-0.7,+.147,+.149,-2.7,-4.5,+.002,+16.9,"('ennisty01', 'hartjo01', 'kuzmaky01', 'zubaciv01')"
85,E. Davis | D. Lillard | C. McCollum | S. Napier,POR,2017-18,32,75.1,155,148,96.8,+3.5,+5.7,+.012,+8.1,+11.7,+.133,+.052,+1.8,-3.7,+.195,+16.9,"('davised01', 'lillada01', 'mccolcj01', 'napiesh01')"
88,J. Barea | Y. Ferrell | D. McDermott | D. Nowitzki,DAL,2017-18,13,107.6,224,220,99.1,+8.7,-0.3,+.097,+7.0,+6.6,+.132,+.135,-7.5,-8.9,-.011,+16.9,"('bareajo01', 'ferreyo01', 'mcderdo01', 'nowitdi01')"
89,P. George | J. Grant | A. Roberson | R. Westbrook,OKC,2017-18,26,101.8,211,229,103.7,+11.0,+6.1,+.105,+2.2,-5.9,+.157,+.114,-7.4,-4.2,-.160,+16.8,"('georgpa01', 'grantje01', 'roberan03', 'westbru01')"
90,B. Beal | O. Porter | M. Scott | J. Wall,WAS,2017-18,18,73.3,154,162,103.5,+10.3,+4.4,+.094,+3.0,-2.9,+.128,+.109,-6.8,-7.2,-.059,+16.8,"('bealbr01', 'porteot01', 'scottmi01', 'walljo01')"
91,D. DeRozan | K. Lowry | J. Valančiūnas | F. VanVleet,TOR,2017-18,32,134.8,285,270,98.8,+3.7,-0.8,+.046,-2.1,-6.7,+.018,+.034,+11.5,+12.3,+.044,+16.8,"('derozde01', 'lowryky01', 'valanjo01', 'vanvlfr01')"
92,J. Green | L. James | J. Smith | T. Thompson,CLE,2017-18,28,88.2,173,180,96.1,+6.3,-6.7,+.107,+1.1,-8.5,+.175,+.119,+3.0,+5.4,-.066,+16.7,"('greenje02', 'jamesle01', 'smithjr01', 'thomptr01')"
93,B. Adebayo | T. Johnson | K. Olynyk | J. Richardson,MIA,2017-18,18,98.9,193,198,94.9,+4.2,+1.7,+.038,+5.9,+8.5,+.083,+.071,+2.4,+1.5,+.073,+16.7,"('adebaba01', 'johnsty01', 'olynyke01', 'richajo01')"
94,C. Capela | J. Harden | L. Mbah a Moute | P. Tucker,HOU,2017-18,37,282.6,552,566,95.0,+1.6,-4.8,+.044,+3.0,+3.5,+.050,+.065,+10.6,+11.6,+.097,+16.7,"('capelca01', 'hardeja01', 'mbahalu01', 'tuckepj01')"
95,R. Bullock | A. Drummond | L. Kennard | I. Smith,DET,2017-18,23,102.8,208,201,95.5,+3.5,+1.2,+.032,+4.4,-6.7,+.182,+.054,+5.3,+7.1,-.034,+16.7,"('bullore01', 'drumman01', 'kennalu01', 'smithis01')"
96,M. Belinelli | R. Covington | J. Embiid | B. Simmons,PHI,2017-18,16,48.7,96,97,95.2,+5.6,-0.1,+.063,+1.2,-2.8,+.070,+.070,+4.3,+5.4,+.024,+16.7,"('belinma01', 'covinro01', 'embiijo01', 'simmobe01')"
97,K. Caldwell-Pope | J. Clarkson | J. Hart | K. Kuzma,LAL,2017-18,16,73.0,156,155,102.3,+5.5,+6.5,+.027,+8.9,+8.8,+.181,+.074,-3.3,+1.1,-.168,+16.6,"('caldwke01', 'clarkjo01', 'hartjo01', 'kuzmaky01')"
98,D. Favors | J. Ingles | D. Mitchell | R. O'Neale,UTA,2017-18,24,132.5,265,266,96.2,+4.7,+5.6,+.024,+0.8,+6.5,-.057,+.025,+6.5,+8.0,+.022,+16.6,"('favorde01', 'inglejo01', 'mitchdo01', 'onealro01')"
99,B. Adebayo | T. Johnson | J. Richardson | D. Waiters,MIA,2017-18,9,55.5,109,109,94.2,+2.8,-11.9,+.103,0.0,0.0,.000,+.112,+11.0,+15.6,-.035,+16.5,"('adebaba01', 'johnsty01', 'richajo01', 'waitedi01')"
100,A. Baynes | K. Irving | M. Morris | M. Smart,BOS,2017-18,13,53.7,115,112,101.5,+5.1,+10.0,+.009,+2.4,+5.4,+.020,+.016,+3.9,+4.6,+.010,+16.5,"('baynear01', 'irvinky01', 'morrima03', 'smartma01')"
101,R. Arcidiacono | J. Grant | S. Kilpatrick | B. Portis,CHI,2017-18,7,58.9,118,113,94.2,+7.8,+3.1,+.073,-2.2,-10.9,+.050,+.059,+3.0,+5.4,-.030,+16.5,"('arcidry01', 'grantje02', 'kilpase01', 'portibo01')"
102,J. Harden | N. Hilário | L. Mbah a Moute | P. Tucker,HOU,2017-18,26,169.7,361,355,101.3,+3.8,+2.0,+.036,+5.1,+9.5,+.048,+.066,+3.6,+4.9,-.013,+16.4,"('hardeja01', 'hilarne01', 'mbahalu01', 'tuckepj01')"
103,R. Gobert | J. Ingles | D. Mitchell | T. Sefolosha,UTA,2017-18,12,48.4,97,99,97.1,+2.7,-6.5,+.063,+3.3,-1.3,+.106,+.087,+7.7,+8.8,+.012,+16.4,"('goberru01', 'inglejo01', 'mitchdo01', 'sefolth01')"
104,K. Anderson | P. Gasol | D. Green | T. Parker,SAS,2017-18,14,102.8,195,192,90.4,+5.5,-3.5,+.078,+0.4,-7.1,+.160,+.082,+5.0,+3.9,+.116,+16.4,"('anderky01', 'gasolpa01', 'greenda02', 'parketo01')"
105,Z. Collins | P. Connaughton | E. Davis | S. Napier,POR,2017-18,35,301.0,580,593,93.5,+8.6,+0.7,+.090,+2.3,+1.5,+.062,+.102,-3.1,-5.7,+.054,+16.4,"('colliza01', 'connapa01', 'davised01', 'napiesh01')"
106,T. Ariza | C. Capela | G. Green | C. Paul,HOU,2017-18,12,52.5,110,102,96.9,-2.9,-17.0,+.053,+5.6,+7.8,+.074,+.100,+16.7,+21.1,-.006,+16.4,"('arizatr01', 'capelca01', 'greenge01', 'paulch01')"
107,W. Barton | G. Harris | P. Millsap | J. Murray,DEN,2017-18,22,105.4,227,219,101.6,+4.4,-7.5,+.094,+5.5,+2.1,+.166,+.132,+1.9,+2.6,-.003,+16.3,"('bartowi01', 'harriga01', 'millspa01', 'murraja01')"
0,J. Anderson | A. Johnson | D. Šarić | B. Simmons,PHI,2017-18,18,64.0,127,132,97.2,+6.9,-7.5,+.123,+1.1,-6.6,+.113,+.134,+1.4,+1.5,+.007,+16.3,"('anderju01', 'johnsam01', 'saricda01', 'simmobe01')"
1,L. Aldridge | K. Anderson | B. Forbes | P. Mills,SAS,2017-18,38,127.5,269,263,100.1,+2.1,+3.0,+.007,+7.7,+12.2,+.114,+.051,+4.5,+2.1,+.115,+16.3,"('aldrila01', 'anderky01', 'forbebr01', 'millspa02')"
2,C. Frye | J. Green | C. Osman | D. Wade,CLE,2017-18,14,65.3,131,138,98.8,+6.6,+0.9,+.070,+2.2,-8.6,+.173,+.082,+0.8,-1.2,+.090,+16.3,"('fryech01', 'greenje02', 'osmande01', 'wadedw01')"
3,D. DeRozan | C. Miles | J. Poeltl | F. VanVleet,TOR,2017-18,36,122.4,253,255,99.6,+7.4,+14.9,+.003,+3.2,+13.2,-.053,+.011,-1.8,-1.8,-.017,+16.3,"('derozde01', 'milescj01', 'poeltja01', 'vanvlfr01')"
4,D. Collison | C. Joseph | V. Oladipo | D. Sabonis,IND,2017-18,33,77.3,160,161,99.7,+8.9,+3.0,+.091,+3.8,-6.0,+.178,+.111,-5.5,-4.8,-.084,+16.2,"('collida01', 'josepco01', 'oladivi01', 'sabondo01')"
5,A. Davis | J. Holiday | D. Miller | J. Nelson,NOP,2017-18,28,104.5,223,227,103.4,+6.0,-3.8,+.090,+4.2,-5.6,+.185,+.118,-0.1,-0.5,+.011,+16.2,"('davisan02', 'holidjr01', 'milleda01', 'nelsoja01')"
6,B. Forbes | P. Gasol | R. Gay | D. Murray,SAS,2017-18,23,76.4,154,157,97.7,+4.7,+5.6,+.023,-1.1,-7.9,+.064,+.014,+8.0,+6.8,+.128,+16.2,"('forbebr01', 'gasolpa01', 'gayru01', 'murrade01')"
7,D. Cunningham | A. Davis | D. Miller | J. Nelson,NOP,2017-18,25,126.2,258,273,101.0,+4.6,-6.3,+.084,+6.3,-0.4,+.193,+.125,+0.7,+0.8,-.003,+16.2,"('cunnida01', 'davisan02', 'milleda01', 'nelsoja01')"
8,G. Antetokounmpo | S. Brown | T. Maker | J. Terry,MIL,2017-18,10,76.6,154,153,96.3,+6.3,+3.3,+.054,+7.7,+2.4,+.223,+.096,-4.0,-5.4,+.013,+16.2,"('antetgi01', 'brownst02', 'makerth01', 'terryja01')"
9,A. Bradley | T. Harris | D. Jordan | A. Rivers,LAC,2017-18,4,68.8,128,133,91.1,+9.2,+2.9,+.084,-2.7,-12.5,+.041,+.068,+0.4,-3.3,+.233,+16.2,"('bradlav01', 'harrito02', 'jordade01', 'riverau01')"
10,J. Barea | Y. Ferrell | D. McDermott | D. Powell,DAL,2017-18,14,104.2,216,215,99.3,+8.6,-0.9,+.098,+8.3,+10.1,+.135,+.144,-9.4,-11.7,+.008,+16.2,"('bareajo01', 'ferreyo01', 'mcderdo01', 'poweldw01')"
11,A. Horford | K. Irving | S. Ojeleye | M. Smart,BOS,2017-18,20,67.4,136,143,99.3,+7.0,+8.5,+.036,+4.9,+8.6,+.051,+.058,-2.8,-4.8,+.063,+16.1,"('horfoal01', 'irvinky01', 'ojelese01', 'smartma01')"
12,R. Anderson | C. Capela | E. Gordon | J. Harden,HOU,2017-18,36,289.3,578,580,96.1,-1.6,-6.9,+.017,+8.3,+19.1,+.047,+.068,+10.9,+13.9,+.008,+16.1,"('anderry01', 'capelca01', 'gordoer01', 'hardeja01')"
13,I. Clark | J. Holiday | D. Miller | E. Moore,NOP,2017-18,24,84.6,187,184,105.3,+4.3,-7.3,+.087,+3.1,-9.6,+.206,+.109,+4.4,+3.3,+.058,+16.1,"('clarkia01', 'holidjr01', 'milleda01', 'mooreet01')"
14,A. Aminu | E. Davis | C. McCollum | S. Napier,POR,2017-18,30,77.3,143,145,89.5,+4.7,+6.9,+.019,+10.6,+21.9,+.048,+.070,-4.0,-10.1,+.168,+16.1,"('aminual01', 'davised01', 'mccolcj01', 'napiesh01')"
15,K. Dunn | J. Holiday | D. Nwaba | B. Portis,CHI,2017-18,16,53.1,118,119,107.1,+6.2,+4.1,+.051,-2.4,-14.9,+.095,+.034,+6.1,+6.2,+.053,+16.1,"('dunnkr01', 'holidju01', 'nwabada01', 'portibo01')"
16,K. Caldwell-Pope | K. Kuzma | J. Randle | I. Thomas,LAL,2017-18,14,87.9,199,196,107.9,+6.0,-7.8,+.118,+3.4,-0.4,+.135,+.144,+0.7,+0.1,+.022,+16.1,"('caldwke01', 'kuzmaky01', 'randlju01', 'thomais02')"
17,C. Capela | E. Gordon | L. Mbah a Moute | P. Tucker,HOU,2017-18,30,125.8,257,257,98.1,+1.9,+0.8,+.018,+1.2,+2.3,+.010,+.024,+10.9,+5.8,+.297,+16.0,"('capelca01', 'gordoer01', 'mbahalu01', 'tuckepj01')"
18,P. Gasol | R. Gay | D. Green | P. Mills,SAS,2017-18,25,58.8,111,106,88.6,+11.0,+7.7,+.083,-4.2,-9.8,-.018,+.055,-1.8,-1.3,-.033,+16.0,"('gasolpa01', 'gayru01', 'greenda02', 'millspa02')"
19,J. Bayless | R. Covington | J. Embiid | J. Redick,PHI,2017-18,13,92.2,190,184,97.3,+7.4,+5.6,+.057,+9.3,+11.2,+.178,+.104,-8.1,-10.4,+.009,+16.0,"('bayleje01', 'covinro01', 'embiijo01', 'redicjj01')"
22,O. Anunoby | C. Miles | J. Poeltl | D. Wright,TOR,2017-18,12,91.9,196,193,101.6,+3.6,+3.8,+.023,+3.5,+11.9,.000,+.041,+5.4,-0.9,+.223,+16.0,"('anunoog01', 'milescj01', 'poeltja01', 'wrighde01')"
23,L. Aldridge | B. Forbes | D. Green | D. Murray,SAS,2017-18,21,71.4,136,138,92.1,+7.9,+1.4,+.077,+0.1,-1.1,+.019,+.077,+0.1,+0.2,.000,+16.0,"('aldrila01', 'forbebr01', 'greenda02', 'murrade01')"
24,M. Carter-Williams | F. Kaminsky | J. Lamb | K. Walker,CHO,2017-18,22,72.3,142,135,92.0,+3.7,+14.2,-.031,+1.6,+7.7,-.033,-0.033,+7.0,+7.6,+.016,+16.0,"('cartemi01', 'kaminfr01', 'lambje01', 'walkeke02')"
25,A. Bradley | D. Gallinari | D. Jordan | A. Rivers,LAC,2017-18,4,62.5,117,121,91.4,+9.7,+4.9,+.081,-2.2,-13.2,+.063,+.067,-1.3,-4.6,+.194,+16.0,"('bradlav01', 'gallida01', 'jordade01', 'riverau01')"
26,J. Crowder | D. Favors | J. Ingles | R. O'Neale,UTA,2017-18,19,55.7,119,119,102.5,+3.4,-1.7,+.051,+5.9,+9.2,+.121,+.088,+3.4,+8.4,-.111,+16.0,"('crowdja01', 'favorde01', 'inglejo01', 'onealro01')"
27,C. Frye | J. Green | K. Korver | C. Osman,CLE,2017-18,21,104.3,210,214,97.6,+4.6,-9.1,+.100,+5.5,-1.7,+.168,+.140,+1.2,+0.8,+.032,+15.9,"('fryech01', 'greenje02', 'korveky01', 'osmande01')"
28,A. Davis | J. Holiday | N. Mirotić | R. Rondo,NOP,2017-18,23,240.6,517,509,102.3,+7.2,-0.8,+.083,+1.8,-2.6,+.096,+.093,-0.2,+2.2,-.100,+15.9,"('davisan02', 'holidjr01', 'mirotni01', 'rondora01')"
29,J. Crowder | R. Gobert | J. Ingles | D. Mitchell,UTA,2017-18,26,291.1,600,593,98.4,+4.1,-1.0,+.053,+2.7,+8.4,-.005,+.070,+4.9,+7.2,-.025,+15.9,"('crowdja01', 'goberru01', 'inglejo01', 'mitchdo01')"
30,B. Hield | K. Koufos | S. Labissière | G. Temple,SAC,2017-18,14,75.3,139,141,89.2,+9.9,+1.3,+.102,+0.9,-5.3,+.099,+.105,-4.8,-7.6,+.054,+15.8,"('hieldbu01', 'koufoko01', 'labissk01', 'templga01')"
31,Á. Abrines | S. Adams | J. Grant | R. Westbrook,OKC,2017-18,30,85.6,183,181,102.1,+5.6,-3.1,+.083,+4.8,+1.3,+.152,+.113,-0.2,-0.8,+.015,+15.8,"('abrinal01', 'adamsst01', 'grantje01', 'westbru01')"
32,J. Artis | K. Birch | S. Mack | R. Purvis,ORL,2017-18,9,67.1,133,134,95.5,+5.5,+4.4,+.039,+0.8,+4.0,-.021,+.041,+3.8,+10.6,-.162,+15.8,"('artisja01', 'birchkh01', 'macksh01', 'purviro01')"
33,R. Covington | A. Johnson | T. Luwawu-Cabarrot | B. Simmons,PHI,2017-18,21,76.5,159,159,99.7,+10.7,+7.5,+.082,-1.3,-5.7,+.018,+.070,-4.4,-3.8,-.067,+15.7,"('covinro01', 'johnsam01', 'luwawti01', 'simmobe01')"
34,W. Ellington | T. Johnson | J. Richardson | J. Winslow,MIA,2017-18,19,83.2,165,167,95.8,+3.5,+4.1,+.020,+11.6,+16.7,+.193,+.081,-2.8,-4.6,+.026,+15.7,"('ellinwa01', 'johnsty01', 'richajo01', 'winslju01')"
35,J. Barea | Y. Ferrell | D. Nowitzki | D. Powell,DAL,2017-18,55,431.7,859,845,94.7,+5.7,+0.5,+.061,+2.3,+2.1,+.048,+.074,+2.1,+1.3,+.053,+15.7,"('bareajo01', 'ferreyo01', 'nowitdi01', 'poweldw01')"
36,Z. Collins | E. Davis | D. Lillard | E. Turner,POR,2017-18,32,124.5,241,248,94.3,+3.2,-5.6,+.064,+5.3,+3.0,+.127,+.097,+4.0,+2.1,+.072,+15.7,"('colliza01', 'davised01', 'lillada01', 'turneev01')"
37,C. Frye | J. Green | L. James | D. Wade,CLE,2017-18,19,97.8,197,200,97.4,+7.2,+0.8,+.080,+0.2,+4.5,-.043,+.080,+1.2,-2.2,+.141,+15.7,"('fryech01', 'greenje02', 'jamesle01', 'wadedw01')"
38,T. Johnson | K. Olynyk | J. Richardson | J. Winslow,MIA,2017-18,25,105.9,211,216,96.8,+1.9,+3.5,+.004,+14.4,+21.9,+.183,+.082,-2.5,-6.1,+.089,+15.6,"('johnsty01', 'olynyke01', 'richajo01', 'winslju01')"
39,S. Adams | C. Anthony | R. Felton | R. Westbrook,OKC,2017-18,35,106.6,211,211,95.0,+8.1,+14.7,+.017,+4.3,+7.1,+.063,+.031,-4.7,-7.1,+.016,+15.6,"('adamsst01', 'anthoca01', 'feltora01', 'westbru01')"
40,S. Adams | C. Anthony | P. George | A. Roberson,OKC,2017-18,31,536.1,1056,1059,94.7,+7.6,+9.0,+.038,-3.3,-9.3,-.005,+.014,+3.7,+6.3,-.040,+15.6,"('adamsst01', 'anthoca01', 'georgpa01', 'roberan03')"
41,C. Anthony | P. George | A. Roberson | R. Westbrook,OKC,2017-18,35,657.8,1298,1308,95.1,+8.2,+9.9,+.041,-2.6,-8.3,+.008,+.020,+1.7,+4.1,-.061,+15.6,"('anthoca01', 'georgpa01', 'roberan03', 'westbru01')"
44,C. Miles | J. Poeltl | F. VanVleet | D. Wright,TOR,2017-18,45,404.1,800,789,94.4,+7.4,+1.3,+.075,+6.4,+12.8,+.060,+.110,-5.5,-7.7,+.039,+15.6,"('milescj01', 'poeltja01', 'vanvlfr01', 'wrighde01')"
45,H. Barnes | D. Harris | W. Matthews | S. Mejri,DAL,2017-18,20,66.8,132,127,93.1,+9.2,+7.5,+.064,+9.5,+9.6,+.176,+.113,-12.3,-10.9,-.175,+15.6,"('barneha02', 'harride01', 'matthwe02', 'mejrisa01')"
46,J. Brown | K. Irving | T. Rozier | J. Tatum,BOS,2017-18,21,65.4,136,132,98.4,+1.8,-12.5,+.076,+8.6,+7.9,+.177,+.131,+3.2,+4.5,-.004,+15.5,"('brownja02', 'irvinky01', 'roziete01', 'tatumja01')"
47,R. Anderson | T. Ariza | C. Capela | E. Gordon,HOU,2017-18,33,342.5,693,700,97.6,+1.9,+0.2,+.019,+7.6,+19.3,+.015,+.061,+4.2,+6.4,-.048,+15.5,"('anderry01', 'arizatr01', 'capelca01', 'gordoer01')"
48,Á. Abrines | C. Anthony | P. George | J. Grant,OKC,2017-18,23,52.4,115,108,102.1,-0.6,-11.4,+.058,-1.8,-4.9,+.005,+.059,+18.6,+30.7,-.228,+15.5,"('abrinal01', 'anthoca01', 'georgpa01', 'grantje01')"
49,A. Baynes | J. Brown | A. Horford | J. Tatum,BOS,2017-18,50,539.9,1045,1051,93.2,+7.4,+2.2,+.070,+1.6,-4.7,+.124,+.077,-0.9,-2.1,+.052,+15.5,"('baynear01', 'brownja02', 'horfoal01', 'tatumja01')"
50,W. Ellington | J. Johnson | K. Olynyk | J. Richardson,MIA,2017-18,37,190.4,384,372,95.3,+5.6,+2.6,+.052,+8.0,+14.0,+.068,+.096,-3.8,-5.5,+.027,+15.5,"('ellinwa01', 'johnsja01', 'olynyke01', 'richajo01')"
51,L. Galloway | S. Johnson | E. Moreland | I. Smith,DET,2017-18,12,49.6,97,96,93.4,+10.0,+7.3,+.073,+0.9,+2.8,+.001,+.073,-5.3,-11.6,+.114,+15.5,"('gallola01', 'johnsst04', 'moreler01', 'smithis01')"
52,M. Belinelli | J. Embiid | T. McConnell | J. Redick,PHI,2017-18,13,59.8,123,121,97.9,+0.2,-7.9,+.044,-1.0,+4.4,-.083,+.044,+16.1,+21.7,+.033,+15.5,"('belinma01', 'embiijo01', 'mccontj01', 'redicjj01')"
53,B. Bogdanović | C. Joseph | G. Robinson | L. Stephenson,IND,2017-18,10,49.1,97,100,96.4,+8.5,+23.1,-.031,+3.3,+15.1,-.067,-0.026,-4.8,-7.7,+.072,+15.5,"('bogdabo02', 'josepco01', 'robingl02', 'stephla01')"
54,P. Connaughton | E. Davis | S. Napier | E. Turner,POR,2017-18,21,59.0,113,123,96.1,+7.5,-0.5,+.092,-0.3,-8.1,+.076,+.090,+0.7,-1.6,+.098,+15.4,"('connapa01', 'davised01', 'napiesh01', 'turneev01')"
55,T. Ariza | C. Capela | E. Gordon | P. Tucker,HOU,2017-18,39,220.2,448,445,97.3,-3.0,+0.1,-.034,+6.6,+17.9,+.034,+.004,+14.7,+18.0,+.018,+15.4,"('arizatr01', 'capelca01', 'gordoer01', 'tuckepj01')"
56,M. Harrell | M. Teodosić | T. Wallace | L. Williams,LAC,2017-18,9,56.2,118,121,102.1,+12.7,+6.4,+.112,-0.7,-0.2,-.025,+.106,-9.4,-7.5,-.108,+15.4,"('harremo01', 'teodomi01', 'wallaty01', 'willilo02')"
57,Z. Collins | E. Davis | D. Lillard | S. Napier,POR,2017-18,28,124.1,243,244,94.2,+6.7,+4.1,+.053,+6.6,+3.0,+.174,+.086,-4.9,-8.9,+.083,+15.3,"('colliza01', 'davised01', 'lillada01', 'napiesh01')"
58,G. Antetokounmpo | K. Middleton | T. Snell | T. Zeller,MIL,2017-18,9,67.5,147,142,102.8,+5.3,+15.7,-.033,-2.4,-0.2,-.093,-0.057,+7.0,+10.3,-.058,+15.3,"('antetgi01', 'middlkh01', 'snellto01', 'zellety01')"
59,A. Horford | S. Larkin | T. Rozier | J. Tatum,BOS,2017-18,20,74.3,138,138,89.1,+2.9,0.0,+.032,0.0,+4.3,-.052,+.032,+9.4,+8.0,+.171,+15.2,"('horfoal01', 'larkish01', 'roziete01', 'tatumja01')"
60,J. Collins | D. Dedmon | T. Dorsey | I. Taylor,ATL,2017-18,17,67.3,137,135,97.0,+10.4,-15.2,+.212,-6.1,-19.7,+.051,+.192,+0.5,+2.0,-.065,+15.2,"('collijo01', 'dedmode01', 'dorsety01', 'taylois01')"
61,Q. Acy | J. Harris | C. LeVert | N. Stauskas,BRK,2017-18,14,88.2,184,184,100.1,+4.9,-1.6,+.063,+2.2,+3.3,+.028,+.076,+3.3,+5.4,-.069,+15.2,"('acyqu01', 'harrijo01', 'leverca01', 'stausni01')"
62,M. Belinelli | A. Johnson | D. Šarić | B. Simmons,PHI,2017-18,19,143.3,303,302,101.3,+7.8,+7.6,+.048,+6.2,+10.5,+.081,+.078,-6.7,-7.7,-.068,+15.2,"('belinma01', 'johnsam01', 'saricda01', 'simmobe01')"
63,A. Baynes | J. Brown | K. Irving | M. Smart,BOS,2017-18,27,146.3,297,287,95.8,+5.1,+5.9,+.027,+7.2,+9.3,+.144,+.065,-2.3,-4.2,+.046,+15.1,"('baynear01', 'brownja02', 'irvinky01', 'smartma01')"
