,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
46,N. Calathes | V. Carter | K. Koufos | Z. Randolph,MEM,2014-15,15,52.8,101,106,94.2,+13.4,-0.7,+.158,+1.4,-12.5,+.296,+.166,+4.6,+2.9,+.118,+32.7,"('calatni01', 'cartevi01', 'koufoko01', 'randoza01')"
47,E. Brand | K. Korver | P. Millsap | J. Teague,ATL,2014-15,12,49.3,99,98,95.9,+13.8,-0.9,+.154,+0.9,-5.3,+.099,+.159,+3.9,+4.8,+.013,+32.4,"('brandel01', 'korveky01', 'millspa01', 'teaguje01')"
48,B. Biyombo | P. Hairston | K. Walker | M. Williams,CHO,2014-15,17,54.1,109,100,92.8,+6.4,+11.2,+.020,+0.2,+3.5,-.042,+.015,+19.0,+18.5,+.157,+31.9,"('biyombi01', 'hairspj02', 'walkeke02', 'willima02')"
49,K. Korver | D. Schröder | M. Scott | T. Sefolosha,ATL,2014-15,25,102.7,202,200,93.9,+14.6,+2.1,+.154,+6.9,-1.3,+.230,+.191,-4.1,-6.7,+.057,+31.8,"('korveky01', 'schrode01', 'scottmi01', 'sefolth01')"
50,A. Aminu | J. Barea | M. Ellis | C. Parsons,DAL,2014-15,21,67.4,129,139,95.5,+12.7,+10.5,+.089,+4.5,+1.2,+.152,+.108,+1.9,+3.1,-.019,+31.8,"('aminual01', 'bareajo01', 'ellismo01', 'parsoch01')"
51,J. Crowder | J. Jerebko | K. Olynyk | I. Thomas,BOS,2014-15,14,64.6,129,131,96.6,+12.1,+8.2,+.100,+10.1,+15.1,+.186,+.153,-2.7,-4.2,+.033,+31.7,"('crowdja01', 'jerebjo01', 'olynyke01', 'thomais02')"
52,A. Aminu | J. Barea | T. Chandler | C. Parsons,DAL,2014-15,21,66.9,129,137,95.4,+12.0,+15.9,+.061,+3.6,+7.6,+.030,+.071,+4.0,+2.0,+.118,+31.6,"('aminual01', 'bareajo01', 'chandty01', 'parsoch01')"
53,S. Blake | J. Freeland | C. Kaman | D. Lillard,POR,2014-15,15,49.6,93,93,90.1,+11.8,+5.4,+.095,+12.9,+12.9,+.458,+.159,-5.4,-8.6,+.045,+31.2,"('blakest01', 'freeljo01', 'kamanch01', 'lillada01')"
54,M. Gasol | C. Lee | Q. Pondexter | Z. Randolph,MEM,2014-15,12,51.1,104,100,95.8,+14.0,-2.4,+.175,+0.6,-7.7,+.213,+.180,+2.2,-1.0,+.115,+30.8,"('gasolma01', 'leeco01', 'pondequ01', 'randoza01')"
55,T. Booker | D. Favors | G. Hayward | R. Hood,UTA,2014-15,28,66.8,125,134,93.1,+8.7,-7.4,+.146,-2.6,-14.8,+.122,+.134,+15.9,+17.2,+.079,+30.7,"('booketr01', 'favorde01', 'haywago01', 'hoodro01')"
56,A. Baynes | M. Belinelli | M. Ginóbili | P. Mills,SAS,2014-15,14,70.7,148,146,99.8,+16.5,+4.3,+.174,+9.4,+15.3,+.193,+.227,-11.8,-17.3,+.025,+30.7,"('baynear01', 'belinma01', 'ginobma01', 'millspa02')"
