,Team,Lg,Salary,Season,pid
2174,Sacramento Kings,NBA,"$6,392,760",2019-20,1628368
2175,(may be incomplete),,"$16,472,880",Career,1628368
2176,San Antonio Spurs,NBA,"$3,400,000",2010-11,201168
2177,San Antonio Spurs,NBA,"$3,672,000",2011-12,201168
2178,San Antonio Spurs,NBA,"$3,944,000",2012-13,201168
2179,San Antonio Spurs,NBA,"$10,000,000",2013-14,201168
2180,San Antonio Spurs,NBA,"$9,250,000",2014-15,201168
2181,Atlanta Hawks,NBA,"$8,500,000",2015-16,201168
2182,Philadelphia 76ers,NBA,"$8,550,000",2016-17,201168
2183,(may be incomplete),,"$47,316,000",Career,201168
2184,Cleveland Cavaliers,NBA,"$3,726,600",2012-13,203079
2185,Cleveland Cavaliers,NBA,"$3,894,240",2013-14,203079
2186,Oklahoma City Thunder,NBA,"$4,062,000",2014-15,203079
2187,Oklahoma City Thunder,NBA,"$5,138,430",2015-16,203079
2188,Miami Heat,NBA,"$2,898,000",2016-17,203079
2189,Miami Heat,NBA,"$11,000,000",2017-18,203079
2190,Miami Heat,NBA,"$11,550,000",2018-19,203079
2191,Memphis Grizzlies,NBA,"$12,100,000",2019-20,203079
2192,Los Angeles Lakers,NBA,"$503,656",2019-20,203079
2193,(may be incomplete),,"$54,872,926",Career,203079
2194,Charlotte Bobcats,NBA,"$398,762",2005-06,101187
2195,Charlotte Bobcats,NBA,"$102,131",2006-07,101187
2196,Toronto Raptors,NBA,"$885,120",2012-13,101187
2197,Brooklyn Nets,NBA,"$947,907",2013-14,101187
2198,Brooklyn Nets,NBA,"$1,276,061",2014-15,101187
2199,Washington Wizards,NBA,"$4,000,000",2015-16,101187
2200,Los Angeles Clippers,NBA,"$1,315,448",2016-17,101187
2201,(may be incomplete),,"$8,925,429",Career,101187
2202,Golden State Warriors,NBA,"$350,189",2019-20,1629065
2203,(may be incomplete),,"$350,189",Career,1629065
2204,Houston Rockets,NBA,"$2,910,000",2007-08,2449
2205,Houston Rockets,NBA,"$3,100,667",2008-09,2449
2206,Houston Rockets,NBA,"$3,375,600",2009-10,2449
2207,Houston Rockets,NBA,"$7,775,378",2010-11,2449
2208,Houston Rockets,NBA,"$8,591,793",2011-12,2449
2209,Houston Rockets,NBA,"$5,259,697",2012-13,2449
2210,Phoenix Suns,NBA,"$4,148,510",2012-13,2449
2211,Indiana Pacers,NBA,"$4,508,504",2013-14,2449
2212,Houston Rockets,NBA,"$6,541,000",2014-15,2449
2213,Houston Rockets,NBA,"$6,172,538",2014-15,2449
2214,Indiana Pacers,NBA,"$4,868,499",2014-15,2449
2215,Toronto Raptors,NBA,"$3,000,000",2015-16,2449
2216,Brooklyn Nets,NBA,"$5,000,000",2016-17,2449
2217,(may be incomplete),,"$65,252,186",Career,2449
2218,Miami Heat,NBA,"$14,211",2018-19,1628999
2219,Miami Heat,NBA,"$100,000",2019-20,1628999
2220,(may be incomplete),,"$114,211",Career,1628999
2221,New Jersey Nets,NBA,"$2,098,560",2008-09,201572
2222,New Jersey Nets,NBA,"$2,225,880",2009-10,201572
2223,New Jersey Nets,NBA,"$2,413,320",2010-11,201572
2224,New Jersey Nets,NBA,"$3,076,983",2011-12,201572
2225,Brooklyn Nets,NBA,"$13,668,750",2012-13,201572
2226,Brooklyn Nets,NBA,"$14,693,906",2013-14,201572
2227,Brooklyn Nets,NBA,"$15,719,063",2014-15,201572
2228,Brooklyn Nets,NBA,"$20,000,000",2015-16,201572
2229,Brooklyn Nets,NBA,"$21,165,675",2016-17,201572
2230,Los Angeles Lakers,NBA,"$22,642,350",2017-18,201572
2231,Milwaukee Bucks,NBA,"$3,382,000",2018-19,201572
2232,Milwaukee Bucks,NBA,"$12,093,024",2019-20,201572
2233,(may be incomplete),,"$133,179,511",Career,201572
2234,Utah Jazz,NBA,"$1,129,320",2008-09,201585
2235,Utah Jazz,NBA,"$1,214,040",2009-10,201585
2236,Denver Nuggets,NBA,"$1,352,640",2010-11,201585
2237,Denver Nuggets,NBA,"$2,203,792",2011-12,201585
2238,Denver Nuggets,NBA,"$3,000,000",2012-13,201585
2239,Memphis Grizzlies,NBA,"$3,000,000",2013-14,201585
2240,Memphis Grizzlies,NBA,"$3,000,000",2014-15,201585
2241,Sacramento Kings,NBA,"$7,500,000",2015-16,201585
2242,Sacramento Kings,NBA,"$8,046,500",2016-17,201585
2243,Sacramento Kings,NBA,"$8,393,000",2017-18,201585
2244,Sacramento Kings,NBA,"$8,739,500",2018-19,201585
2245,(may be incomplete),,"$47,578,792",Career,201585
2246,New Orleans Pelicans,NBA,"$9,757,440",2019-20,1629627
2247,(may be incomplete),,"$9,757,440",Career,1629627
2248,Memphis Grizzlies,NBA,"$4,458,840",2009-10,201934
2249,Houston Rockets,NBA,"$4,793,280",2010-11,201934
2250,Houston Rockets,NBA,"$5,127,720",2011-12,201934
2251,Oklahoma City Thunder,NBA,"$1,200,000",2012-13,201934
2252,Oklahoma City Thunder,NBA,"$1,200,000",2013-14,201934
2253,(may be incomplete),,"$16,779,840",Career,201934
2254,Atlanta Hawks,NBA,"$525,093",2015-16,203934
2255,Atlanta Hawks,NBA,"$128,623",2016-17,203934
2256,Sacramento Kings,NBA,"$100,000",2016-17,203934
2257,(may be incomplete),,"$753,716",Career,203934
2258,Miami Heat,NBA,"$349,458",2002-03,2446
2259,Miami Heat,NBA,"$563,679",2003-04,2446
2260,Miami Heat,NBA,"$1,200,000",2004-05,2446
2261,New Orleans/Oklahoma City Hornets,NBA,"$1,300,000",2005-06,2446
2262,New Orleans/Oklahoma City Hornets,NBA,"$3,000,000",2006-07,2446
2263,New Orleans Hornets,NBA,"$3,315,000",2007-08,2446
2264,New Orleans Hornets,NBA,"$3,630,000",2008-09,2446
2265,Los Angeles Clippers,NBA,"$3,945,000",2009-10,2446
2266,Los Angeles Clippers,NBA,"$2,400,000",2010-11,2446
2267,Toronto Raptors,NBA,"$1,229,255",2011-12,2446
2268,Washington Wizards,NBA,"$1,448,490",2014-15,2446
2269,San Antonio Spurs,NBA,"$1,499,187",2015-16,2446
2270,(may be incomplete),,"$23,880,069",Career,2446
2271,Golden State Warriors,NBA,"$762,195",2010-11,202130
2272,Charlotte Bobcats,NBA,"$2,500,000",2011-12,202130
2273,Charlotte Bobcats,NBA,"$2,612,500",2012-13,202130
2274,Houston Rockets,NBA,"$947,907",2013-14,202130
2275,San Antonio Spurs,NBA,"$125,104",2014-15,202130
2276,New Orleans Pelicans,NBA,"$252,676",2016-17,202130
2277,Oklahoma City Thunder,NBA,"$50,000",2016-17,202130
2278,(may be incomplete),,"$7,250,382",Career,202130
2279,Dallas Mavericks,NBA,"$543,471",2016-17,1627827
2280,Dallas Mavericks,NBA,"$1,312,611",2017-18,1627827
2281,Dallas Mavericks,NBA,"$1,544,951",2018-19,1627827
2282,Dallas Mavericks,NBA,"$4,000,000",2019-20,1627827
2283,(may be incomplete),,"$7,401,033",Career,1627827
2284,Boston Celtics,NBA,"$48,028",2014-15,203569
2285,(may be incomplete),,"$48,028",Career,203569
2286,Dallas Mavericks,NBA,"$63,938",2016-17,1627784
2287,Toronto Raptors,NBA,"$50,000",2016-17,1627784
2288,Indiana Pacers,NBA,"$7,416",2017-18,1627784
2289,Washington Wizards,NBA,"$163,356",2019-20,1627784
2290,Memphis Grizzlies,NBA,"$81,678",2019-20,1627784
2291,(may be incomplete),,"$366,388",Career,1627784
2292,Chicago Bulls,NBA,"$5,305,000",2014-15,202703
2293,Chicago Bulls,NBA,"$5,543,725",2015-16,202703
2294,Chicago Bulls,NBA,"$5,782,450",2016-17,202703
2295,New Orleans Pelicans,NBA,"$12,500,000",2017-18,202703
2296,Milwaukee Bucks,NBA,"$12,500,000",2018-19,202703
2297,(may be incomplete),,"$41,631,175",Career,202703
2298,Indiana Pacers,NBA,"$1,246,680",2013-14,203524
2299,Indiana Pacers,NBA,"$1,302,840",2014-15,203524
2300,Indiana Pacers,NBA,"$1,358,880",2015-16,203524
2301,New Orleans Pelicans,NBA,"$11,241,218",2016-17,203524
2302,New Orleans Pelicans,NBA,"$12,236,535",2017-18,203524
2303,New Orleans Pelicans,NBA,"$12,252,928",2018-19,203524
2304,Miami Heat,NBA,"$12,758,781",2019-20,203524
2305,(may be incomplete),,"$52,397,862",Career,203524
2306,Phoenix Suns,NBA,"$1,623,720",2008-09,201577
2307,Phoenix Suns,NBA,"$1,745,520",2009-10,201577
2308,Phoenix Suns,NBA,"$1,867,320",2010-11,201577
2309,Phoenix Suns,NBA,"$2,862,602",2011-12,201577
2310,New Orleans Hornets,NBA,"$4,899,293",2012-13,201577
2311,Portland Trail Blazers,NBA,"$5,904,261",2013-14,201577
2312,Portland Trail Blazers,NBA,"$6,124,728",2014-15,201577
2313,New York Knicks,NBA,"$13,000,000",2015-16,201577
2314,Chicago Bulls,NBA,"$13,219,250",2016-17,201577
2315,Chicago Bulls,NBA,"$13,788,500",2017-18,201577
2316,Chicago Bulls,NBA,"$14,357,750",2018-19,201577
2317,Milwaukee Bucks,NBA,"$4,767,000",2019-20,201577
2318,(may be incomplete),,"$84,159,944",Career,201577
2319,Utah Jazz,NBA,"$2,438,760",2013-14,203504
2320,Utah Jazz,NBA,"$2,548,560",2014-15,203504
2321,Utah Jazz,NBA,"$2,658,240",2015-16,203504
2322,Washington Wizards,NBA,"$3,386,598",2016-17,203504
2323,New York Knicks,NBA,"$784,160",2017-18,203504
2324,Dallas Mavericks,NBA,"$1,795,015",2018-19,203504
2325,Philadelphia 76ers,NBA,"$2,028,594",2019-20,203504
2326,Dallas Mavericks,NBA,"$229,220",2019-20,203504
2327,(may be incomplete),,"$15,869,147",Career,203504
2328,Minnesota Timberwolves,NBA,"$838,464",2018-19,1628966
2329,Denver Nuggets,NBA,"$1,416,852",2019-20,1628966
2330,(may be incomplete),,"$2,255,316",Career,1628966
2331,Washington Wizards,NBA,"$543,471",2016-17,1627863
2332,Phoenix Suns,NBA,< $Minimum,2017-18,1627863
2333,Houston Rockets,NBA,"$341,830",2018-19,1627863
2334,Houston Rockets,NBA,"$3,540,000",2019-20,1627863
2335,(may be incomplete),,"$4,425,301",Career,1627863
2336,Chicago Bulls,NBA,"$3,260,760",2006-07,200748
2337,Chicago Bulls,NBA,"$3,505,320",2007-08,200748
2338,Chicago Bulls,NBA,"$3,749,880",2008-09,200748
2339,Charlotte Bobcats,NBA,"$4,743,598",2009-10,200748
2340,Charlotte Bobcats,NBA,"$6,611,570",2010-11,200748
2341,Charlotte Bobcats,NBA,"$7,305,765",2011-12,200748
2342,Charlotte Bobcats,NBA,"$8,000,000",2012-13,200748
2343,Charlotte Hornets,NBA,"$9,388,000",2014-15,200748
2344,Memphis Grizzlies,NBA,"$72,234",2014-15,200748
2345,(may be incomplete),,"$46,637,127",Career,200748
2346,Sacramento Kings,NBA,"$1,167,000",2009-10,201956
2347,Sacramento Kings,NBA,"$1,254,480",2010-11,201956
2348,Cleveland Cavaliers,NBA,"$1,341,960",2011-12,201956
2349,Cleveland Cavaliers,NBA,"$2,277,306",2012-13,201956
2350,Houston Rockets,NBA,"$947,907",2013-14,201956
2351,Sacramento Kings,NBA,"$1,063,384",2014-15,201956
2352,Sacramento Kings,NBA,"$3,000,000",2015-16,201956
2353,New Orleans Pelicans,NBA,"$3,000,000",2016-17,201956
2354,Minnesota Timberwolves,NBA,"$138,414",2016-17,201956
2355,Golden State Warriors,NBA,"$1,471,382",2017-18,201956
2356,Memphis Grizzlies,NBA,"$2,176,260",2018-19,201956
2357,(may be incomplete),,"$17,838,093",Career,201956
2358,Toronto Raptors,NBA,"$665,000",2012-13,203112
2359,Toronto Raptors,NBA,"$788,872",2013-14,203112
2360,New York Knicks,NBA,"$915,243",2014-15,203112
2361,Sacramento Kings,NBA,"$981,348",2015-16,203112
2362,Brooklyn Nets,NBA,"$1,914,544",2016-17,203112
2363,Dallas Mavericks,NBA,"$1,050,961",2016-17,203112
2364,Brooklyn Nets,NBA,"$1,709,538",2017-18,203112
2365,Phoenix Suns,NBA,"$213,948",2018-19,203112
2366,(may be incomplete),,"$8,239,454",Career,203112
2367,Toronto Raptors,NBA,< $Minimum,2018-19,1628070
2368,(may be incomplete),,$0,Career,1628070
2369,Minnesota Timberwolves,NBA,"$1,003,560",2009-10,201961
2370,Minnesota Timberwolves,NBA,"$1,078,800",2010-11,201961
2371,Minnesota Timberwolves,NBA,"$1,154,040",2011-12,201961
2372,Cleveland Cavaliers,NBA,"$2,083,042",2012-13,201961
2373,Dallas Mavericks,NBA,"$2,652,000",2013-14,201961
2374,Los Angeles Lakers,NBA,"$1,063,384",2014-15,201961
2375,Sacramento Kings,NBA,"$923,780",2014-15,201961
2376,Brooklyn Nets,NBA,"$1,500,000",2015-16,201961
2377,Sacramento Kings,NBA,"$923,670",2015-16,201961
2378,Miami Heat,NBA,"$6,000,000",2016-17,201961
2379,Sacramento Kings,NBA,"$923,670",2016-17,201961
2380,Miami Heat,NBA,"$6,270,000",2017-18,201961
2381,Phoenix Suns,NBA,"$6,270,000",2018-19,201961
2382,Detroit Pistons,NBA,"$2,383,076",2018-19,201961
2383,New York Knicks,NBA,"$8,000,000",2019-20,201961
2384,(may be incomplete),,"$42,229,022",Career,201961
2385,Phoenix Suns,NBA,"$3,552,960",2018-19,1628969
2386,Phoenix Suns,NBA,"$4,161,000",2019-20,1628969
2387,(may be incomplete),,"$7,713,960",Career,1628969
2388,Los Angeles Lakers,NBA,"$473,604",2011-12,202721
2389,Los Angeles Lakers,NBA,"$962,195",2012-13,202721
2390,Philadelphia 76ers,NBA,"$1,046,269",2013-14,202721
2391,Brooklyn Nets,NBA,"$702,756",2014-15,202721
2392,(may be incomplete),,"$3,184,824",Career,202721
2393,Boston Celtics,NBA,"$1,986,360",2013-14,203482
2394,Boston Celtics,NBA,"$2,075,760",2014-15,203482
2395,Boston Celtics,NBA,"$2,165,160",2015-16,203482
2396,Boston Celtics,NBA,"$3,094,014",2016-17,203482
2397,Miami Heat,NBA,"$10,607,169",2017-18,203482
2398,Miami Heat,NBA,"$12,137,527",2018-19,203482
2399,Miami Heat,NBA,"$11,667,885",2019-20,203482
2400,(may be incomplete),,"$43,733,875",Career,203482
2401,Chicago Bulls,NBA,"$3,821,640",2017-18,1628374
2402,Chicago Bulls,NBA,"$4,536,120",2018-19,1628374
2403,Chicago Bulls,NBA,"$5,300,400",2019-20,1628374
2404,(may be incomplete),,"$13,658,160",Career,1628374
2405,Boston Celtics,NBA,"$250,000",2016-17,1627791
2406,Indiana Pacers,NBA,"$50,000",2016-17,1627791
2407,Dallas Mavericks,NBA,"$31,969",2016-17,1627791
2408,(may be incomplete),,"$331,969",Career,1627791
2409,Minnesota Timberwolves,NBA,"$2,247,480",2017-18,1628383
2410,Philadelphia 76ers,NBA,"$2,667,600",2018-19,1628383
2411,Dallas Mavericks,NBA,"$1,620,564",2019-20,1628383
2412,Detroit Pistons,NBA,"$183,115",2019-20,1628383
2413,(may be incomplete),,"$6,718,759",Career,1628383
2414,Los Angeles Clippers,NBA,"$1,000,000",2019-20,1629611
2415,(may be incomplete),,"$1,000,000",Career,1629611
2416,Philadelphia 76ers,NBA,"$2,611,800",2018-19,1629015
2417,Philadelphia 76ers,NBA,"$3,058,800",2019-20,1629015
2418,(may be incomplete),,"$5,670,600",Career,1629015
2419,Philadelphia 76ers,NBA,"$1,465,920",2017-18,1627788
2420,Philadelphia 76ers,NBA,"$1,740,000",2018-19,1627788
2421,Philadelphia 76ers,NBA,"$1,620,564",2019-20,1627788
2422,(may be incomplete),,"$4,826,484",Career,1627788
2423,Utah Jazz,NBA,"$746,054",2019-20,1629752
2424,(may be incomplete),,"$746,054",Career,1629752
2425,Los Angeles Clippers,NBA,< $Minimum,2017-18,1627820
2426,Los Angeles Clippers,NBA,"$1,349,383",2018-19,1627820
2427,Atlanta Hawks,NBA,"$502,491",2019-20,1627820
2428,(may be incomplete),,"$1,851,874",Career,1627820
2429,Memphis Grizzlies,NBA,"$1,000,000",2011-12,202951
2430,Cleveland Cavaliers,NBA,"$762,195",2012-13,202951
2431,Philadelphia 76ers,NBA,"$443,867",2012-13,202951
2432,Golden State Warriors,NBA,"$91,557",2019-20,202951
2433,(may be incomplete),,"$2,297,619",Career,202951
2434,Charlotte Hornets,NBA,< $Minimum,2017-18,1628493
2435,(may be incomplete),,$0,Career,1628493
2436,Phoenix Suns,NBA,"$809,280",2003-04,2571
2437,Phoenix Suns,NBA,"$870,000",2004-05,2571
2438,Phoenix Suns,NBA,"$930,600",2005-06,2571
2439,Phoenix Suns,NBA,"$1,679,733",2006-07,2571
2440,Phoenix Suns,NBA,"$5,600,000",2007-08,2571
2441,Phoenix Suns,NBA,"$6,100,000",2008-09,2571
2442,Phoenix Suns,NBA,"$6,600,000",2009-10,2571
2443,Toronto Raptors,NBA,"$7,100,000",2010-11,2571
2444,Toronto Raptors,NBA,"$7,600,000",2011-12,2571
2445,Washington Wizards,NBA,"$1,229,255",2012-13,2571
2446,Golden State Warriors,NBA,"$1,448,490",2014-15,2571
2447,Golden State Warriors,NBA,"$2,500,000",2015-16,2571
2448,Phoenix Suns,NBA,"$4,000,000",2016-17,2571
2449,Phoenix Suns,NBA,"$500,000",2017-18,2571
2450,(may be incomplete),,"$46,967,358",Career,2571
2451,Los Angeles Lakers,NBA,"$815,615",2017-18,1628418
2452,Washington Wizards,NBA,"$1,378,242",2018-19,1628418
2453,Washington Wizards,NBA,"$8,000,000",2019-20,1628418
2454,(may be incomplete),,"$10,193,857",Career,1628418
2455,Phoenix Suns,NBA,"$815,615",2017-18,1628432
2456,Phoenix Suns,NBA,"$1,378,242",2018-19,1628432
2457,Indiana Pacers,NBA,< $Minimum,2018-19,1628432
2458,(may be incomplete),,"$2,193,857",Career,1628432
2459,Phoenix Suns,NBA,"$1,238,464",2018-19,1629059
2460,Phoenix Suns,NBA,"$1,416,852",2019-20,1629059
2461,(may be incomplete),,"$2,655,316",Career,1629059
2462,Sacramento Kings,NBA,"$2,028,600",2007-08,201150
2463,Sacramento Kings,NBA,"$2,180,760",2008-09,201150
2464,Sacramento Kings,NBA,"$2,332,800",2009-10,201150
2465,Philadelphia 76ers,NBA,"$2,974,320",2010-11,201150
2466,Philadelphia 76ers,NBA,"$4,051,024",2011-12,201150
2467,Philadelphia 76ers,NBA,"$8,500,000",2012-13,201150
2468,Philadelphia 76ers,NBA,"$6,500,000",2013-14,201150
2469,Los Angeles Clippers,NBA,"$5,305,000",2014-15,201150
2470,Charlotte Hornets,NBA,"$5,543,725",2015-16,201150
2471,Milwaukee Bucks,NBA,"$6,348,759",2016-17,201150
2472,Milwaukee Bucks,NBA,"$2,007,059",2017-18,201150
2473,Milwaukee Bucks,NBA,"$2,007,058",2018-19,201150
2474,Milwaukee Bucks,NBA,"$2,007,058",2019-20,201150
2475,(may be incomplete),,"$51,786,163",Career,201150
2476,Philadelphia 76ers,NBA,"$450,000",2005-06,101150
2477,Philadelphia 76ers,NBA,"$664,209",2006-07,101150
2478,Philadelphia 76ers,NBA,"$770,610",2007-08,101150
2479,Philadelphia 76ers,NBA,"$4,500,000",2008-09,101150
2480,Philadelphia 76ers,NBA,"$4,972,500",2009-10,101150
2481,Philadelphia 76ers,NBA,"$5,000,000",2010-11,101150
2482,Philadelphia 76ers,NBA,"$5,176,000",2011-12,101150
2483,Atlanta Hawks,NBA,"$5,000,000",2012-13,101150
2484,Atlanta Hawks,NBA,"$5,225,000",2013-14,101150
2485,Toronto Raptors,NBA,"$5,450,000",2014-15,101150
2486,Los Angeles Lakers,NBA,"$7,000,000",2015-16,101150
2487,Houston Rockets,NBA,"$7,000,000",2016-17,101150
2488,Los Angeles Clippers,NBA,"$7,000,000",2017-18,101150
2489,Los Angeles Clippers,NBA,"$8,000,000",2018-19,101150
2490,Los Angeles Clippers,NBA,"$8,000,000",2019-20,101150
2491,(may be incomplete),,"$74,208,319",Career,101150
2492,Los Angeles Lakers,NBA,"$1,000,000",2018-19,1629067
2493,Washington Wizards,NBA,"$1,416,852",2019-20,1629067
2494,(may be incomplete),,"$2,416,852",Career,1629067
2495,New York Knicks,NBA,"$385,277",2004-05,2772
2496,New York Knicks,NBA,"$682,051",2005-06,2772
2497,Orlando Magic,NBA,"$3,100,000",2006-07,2772
2498,Los Angeles Lakers,NBA,"$3,100,000",2007-08,2772
2499,Los Angeles Lakers,NBA,"$3,100,000",2008-09,2772
2500,Houston Rockets,NBA,"$5,854,000",2009-10,2772
2501,New Orleans Hornets,NBA,"$6,322,320",2010-11,2772
2502,New Orleans Hornets,NBA,"$6,790,640",2011-12,2772
2503,Washington Wizards,NBA,"$7,258,960",2012-13,2772
2504,Washington Wizards,NBA,"$7,727,280",2013-14,2772
2505,Houston Rockets,NBA,"$8,579,089",2014-15,2772
2506,Houston Rockets,NBA,"$8,193,030",2015-16,2772
2507,Houston Rockets,NBA,"$7,806,971",2016-17,2772
2508,Houston Rockets,NBA,"$7,420,912",2017-18,2772
2509,Washington Wizards,NBA,"$15,000,000",2018-19,2772
2510,Portland Trail Blazers,NBA,"$12,200,000",2019-20,2772
2511,(may be incomplete),,"$103,520,530",Career,2772
2512,Dallas Mavericks,NBA,"$816,482",2014-15,203495
2513,New York Knicks,NBA,"$96,056",2014-15,203495
2514,(may be incomplete),,"$912,538",Career,203495
2515,Boston Celtics,NBA,"$2,247,480",2017-18,1627824
2516,Boston Celtics,NBA,"$2,667,600",2018-19,1627824
2517,Boston Celtics,NBA,"$1,039,080",2019-20,1627824
2518,(may be incomplete),,"$5,954,160",Career,1627824
2519,Charlotte Hornets,NBA,"$1,173,310",2019-20,1628998
2520,(may be incomplete),,"$1,173,310",Career,1628998
2521,Memphis Grizzlies,NBA,"$46,080",2017-18,1628504
2522,(may be incomplete),,"$46,080",Career,1628504
2523,Los Angeles Clippers,NBA,"$815,615",2017-18,1628414
2524,Los Angeles Clippers,NBA,"$1,378,242",2018-19,1628414
2525,New Orleans Pelicans,NBA,"$183,115",2019-20,1628414
2526,(may be incomplete),,"$2,376,972",Career,1628414
2527,Charlotte Hornets,NBA,"$816,482",2014-15,203584
2528,Charlotte Hornets,NBA,"$947,276",2015-16,203584
2529,Memphis Grizzlies,NBA,"$3,332,940",2016-17,203584
2530,Phoenix Suns,NBA,"$3,408,520",2017-18,203584
2531,Phoenix Suns,NBA,"$3,258,539",2018-19,203584
2532,Los Angeles Lakers,NBA,"$2,028,594",2019-20,203584
2533,Denver Nuggets,NBA,"$481,000",2019-20,203584
2534,(may be incomplete),,"$14,273,351",Career,203584
2535,Denver Nuggets,NBA,"$35,000",2014-15,203968
2536,Utah Jazz,NBA,"$29,843",2014-15,203968
2537,(may be incomplete),,"$64,843",Career,203968
2538,Houston Rockets,NBA,"$507,336",2014-15,203909
2539,Houston Rockets,NBA,"$3,333,333",2015-16,203909
2540,Brooklyn Nets,NBA,"$3,333,333",2016-17,203909
2541,Toronto Raptors,NBA,"$100,000",2017-18,203909
2542,(may be incomplete),,"$7,274,002",Career,203909
2543,Brooklyn Nets,NBA,"$1,074,145",2016-17,1627785
2544,Brooklyn Nets,NBA,"$1,312,611",2017-18,1627785
2545,Detroit Pistons,NBA,< $Minimum,2018-19,1627785
2546,(may be incomplete),,"$2,386,756",Career,1627785
2547,Minnesota Timberwolves,NBA,"$880,000",2014-15,203133
2548,Denver Nuggets,NBA,"$150,000",2016-17,203133
2549,(may be incomplete),,"$1,030,000",Career,203133
2550,Boston Celtics,NBA,"$3,283,320",2014-15,203935
2551,Boston Celtics,NBA,"$3,431,040",2015-16,203935
2552,Boston Celtics,NBA,"$3,578,880",2016-17,203935
2553,Boston Celtics,NBA,"$4,538,020",2017-18,203935
2554,Boston Celtics,NBA,"$11,660,716",2018-19,203935
2555,Boston Celtics,NBA,"$12,553,471",2019-20,203935
2556,(may be incomplete),,"$39,045,447",Career,203935
2557,Sacramento Kings,NBA,"$730,437",2010-11,202355
2558,Sacramento Kings,NBA,"$762,195",2011-12,202355
2559,Miami Heat,NBA,"$769,881",2014-15,202355
2560,Miami Heat,NBA,"$981,348",2015-16,202355
2561,Miami Heat,NBA,"$22,116,750",2016-17,202355
2562,Miami Heat,NBA,"$23,775,506",2017-18,202355
2563,Miami Heat,NBA,"$25,434,263",2018-19,202355
2564,Portland Trail Blazers,NBA,"$27,093,018",2019-20,202355
2565,(may be incomplete),,"$101,663,398",Career,202355
2566,Denver Nuggets,NBA,"$2,894,160",2018-19,1629008
2567,Denver Nuggets,NBA,"$3,389,400",2019-20,1629008
2568,(may be incomplete),,"$6,283,560",Career,1629008
2569,Detroit Pistons,NBA,"$2,798,040",2010-11,202328
2570,Detroit Pistons,NBA,"$3,007,920",2011-12,202328
2571,Detroit Pistons,NBA,"$3,217,680",2012-13,202328
2572,Detroit Pistons,NBA,"$4,086,454",2013-14,202328
2573,Detroit Pistons,NBA,"$5,479,934",2014-15,202328
2574,Milwaukee Bucks,NBA,"$16,400,000",2015-16,202328
2575,Milwaukee Bucks,NBA,"$17,100,000",2016-17,202328
2576,Phoenix Suns,NBA,"$16,384,175",2017-18,202328
2577,Boston Celtics,NBA,"$5,000,000",2017-18,202328
2578,Brooklyn Nets,NBA,"$2,165,481",2018-19,202328
2579,Boston Celtics,NBA,"$122,344",2018-19,202328
2580,Philadelphia 76ers,NBA,"$59,820",2018-19,202328
2581,(may be incomplete),,"$75,821,848",Career,202328
2582,Oklahoma City Thunder,NBA,"$1,785,000",2017-18,1628390
2583,Oklahoma City Thunder,NBA,"$2,118,840",2018-19,1628390
2584,Oklahoma City Thunder,NBA,"$2,475,840",2019-20,1628390
2585,(may be incomplete),,"$6,379,680",Career,1628390
2586,Indiana Pacers,NBA,"$2,816,760",2019-20,1629048
2587,(may be incomplete),,"$2,816,760",Career,1629048
2588,Cleveland Cavaliers,NBA,"$172,972",2015-16,203895
2589,Phoenix Suns,NBA,"$61,776",2015-16,203895
2590,Cleveland Cavaliers,NBA,"$874,636",2016-17,203895
2591,Washington Wizards,NBA,"$17,092",2018-19,203895
2592,Detroit Pistons,NBA,"$1,645,357",2019-20,203895
2593,(may be incomplete),,"$2,771,833",Career,203895
2594,Denver Nuggets,NBA,"$3,567,096",2010-11,202389
2595,Denver Nuggets,NBA,"$3,343,896",2011-12,202389
2596,Denver Nuggets,NBA,"$3,140,429",2012-13,202389
2597,Denver Nuggets,NBA,"$4,400,000",2013-14,202389
2598,Cleveland Cavaliers,NBA,"$4,650,000",2014-15,202389
2599,Cleveland Cavaliers,NBA,"$4,950,000",2015-16,202389
2600,Los Angeles Lakers,NBA,"$16,000,000",2016-17,202389
2601,Brooklyn Nets,NBA,"$15,280,000",2017-18,202389
2602,Orlando Magic,NBA,"$16,000,000",2018-19,202389
2603,Orlando Magic,NBA,"$5,573,333",2019-20,202389
2604,(may be incomplete),,"$76,904,754",Career,202389
2605,Oklahoma City Thunder,NBA,"$1,110,840",2013-14,203460
2606,Oklahoma City Thunder,NBA,"$1,160,880",2014-15,203460
2607,Oklahoma City Thunder,NBA,"$1,210,800",2015-16,203460
2608,Oklahoma City Thunder,NBA,"$2,183,072",2016-17,203460
2609,Oklahoma City Thunder,NBA,"$9,259,259",2017-18,203460
2610,Oklahoma City Thunder,NBA,"$10,000,000",2018-19,203460
2611,Oklahoma City Thunder,NBA,"$10,740,741",2019-20,203460
2612,(may be incomplete),,"$35,665,592",Career,203460
2613,Minnesota Timberwolves,NBA,"$203,695",2018-19,1629244
2614,Milwaukee Bucks,NBA,< $Minimum,2019-20,1629244
2615,(may be incomplete),,"$203,695",Career,1629244
2616,Oklahoma City Thunder,NBA,"$815,615",2017-18,1626177
2617,Memphis Grizzlies,NBA,"$459,414",2018-19,1626177
2618,Memphis Grizzlies,NBA,"$459,414",2019-20,1626177
2619,(may be incomplete),,"$1,734,443",Career,1626177
