,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
85,S. Curry | D. Green | J. Holiday,GSW,2014-15,29,128.6,268,271,100.6,+9.7,-0.1,+.110,+6.1,+12.6,+.044,+.144,-4.6,-4.9,-.029,+20.9,"('curryst01', 'greendr01', 'holidju01')"
88,T. Duncan | K. Leonard | T. Splitter,SAS,2014-15,31,349.8,686,692,94.5,+8.1,-1.2,+.094,+0.5,-2.5,+.091,+.098,+4.2,+4.5,+.032,+20.8,"('duncati01', 'leonaka01', 'splitti01')"
89,D. Lillard | W. Matthews | T. Robinson,POR,2014-15,23,171.3,352,350,98.3,+3.8,+2.6,+.030,+6.2,+12.1,+.077,+.064,+7.0,+8.1,+.053,+20.8,"('lillada01', 'matthwe02', 'robinth01')"
90,G. Henderson | M. Kidd-Gilchrist | B. Roberts,CHO,2014-15,16,165.4,311,315,90.8,+8.2,+8.5,+.050,-2.2,-8.4,+.029,+.036,+6.6,+7.3,+.043,+20.7,"('hendege02', 'kiddgmi01', 'roberbr01')"
91,D. Carroll | M. Muscala | J. Teague,ATL,2014-15,11,97.6,194,197,96.1,+6.8,+6.4,+.042,+3.2,+1.4,+.106,+.057,+3.8,+1.9,+.121,+20.6,"('carrode01', 'muscami01', 'teaguje01')"
92,J. Crawford | G. Davis | C. Paul,LAC,2014-15,32,106.3,212,222,98.0,+5.5,-1.9,+.071,+4.4,+0.1,+.199,+.096,+5.1,+4.5,+.068,+20.4,"('crawfja01', 'davisgl01', 'paulch01')"
93,J. Bayless | J. Dudley | K. Marshall,MIL,2014-15,20,170.0,319,317,89.8,+7.3,-1.8,+.096,+2.5,-0.5,+.109,+.112,+3.3,+1.4,+.099,+20.4,"('bayleje01', 'dudleja01', 'marshke01')"
94,D. Green | M. Speights | K. Thompson,GSW,2014-15,57,411.5,869,860,100.8,+8.7,+3.1,+.081,+4.5,+6.2,+.087,+.104,-1.6,-4.5,+.083,+20.4,"('greendr01', 'speigma01', 'thompkl01')"
95,K. Olynyk | M. Smart | E. Turner,BOS,2014-15,43,238.4,495,475,97.6,+9.5,+9.8,+.059,-0.6,+1.5,-.047,+.050,+1.5,-0.6,+.078,+20.0,"('olynyke01', 'smartma01', 'turneev01')"
96,A. Baynes | B. Diaw | P. Mills,SAS,2014-15,28,171.7,350,345,97.1,+9.9,+6.0,+.088,+4.2,+7.7,+.059,+.109,-4.0,-7.0,+.065,+19.9,"('baynear01', 'diawbo01', 'millspa02')"
97,A. Aminu | T. Chandler | C. Parsons,DAL,2014-15,42,266.5,533,551,97.6,+8.6,+8.1,+.060,+2.0,+5.9,.000,+.066,+0.8,+1.4,-.009,+19.9,"('aminual01', 'chandty01', 'parsoch01')"
98,D. Arthur | W. Barton | J. Nelson,DEN,2014-15,10,96.3,199,193,97.7,+12.6,-2.1,+.157,+1.3,-3.3,+.098,+.165,-6.6,-6.7,-.073,+19.9,"('arthuda01', 'bartowi01', 'nelsoja01')"
99,A. Bogut | S. Curry | D. Green,GSW,2014-15,63,1179.9,2428,2422,98.7,+8.1,+3.1,+.075,+7.7,+14.4,+.074,+.116,-4.0,-5.2,+.007,+19.9,"('bogutan01', 'curryst01', 'greendr01')"
100,V. Carter | K. Koufos | Z. Randolph,MEM,2014-15,33,117.6,230,233,94.5,+9.1,-0.6,+.108,+0.5,-7.0,+.132,+.112,+1.1,-3.6,+.183,+19.9,"('cartevi01', 'koufoko01', 'randoza01')"
101,A. Brooks | J. Butler | T. Snell,CHI,2014-15,25,136.2,263,264,92.9,+4.7,+4.1,+.033,+4.6,+6.9,+.092,+.057,+5.8,+3.9,+.094,+19.8,"('brookaa01', 'butleji01', 'snellto01')"
102,H. Barnes | D. Green | M. Speights,GSW,2014-15,38,214.5,458,466,103.4,+9.0,+6.7,+.065,+5.4,+4.1,+.147,+.091,-3.6,-5.5,+.035,+19.7,"('barneha02', 'greendr01', 'speigma01')"
103,D. Green | C. Joseph | K. Leonard,SAS,2014-15,30,159.9,308,311,92.9,+3.6,-3.3,+.055,-2.2,-2.0,-.067,+.045,+14.7,+16.3,+.136,+19.7,"('greenda02', 'josepco01', 'leonaka01')"
104,M. Kidd-Gilchrist | B. Roberts | M. Williams,CHO,2014-15,30,143.9,282,285,94.6,+6.0,+0.6,+.067,+0.1,-1.2,+.020,+.067,+7.6,+12.3,-.037,+19.7,"('kiddgmi01', 'roberbr01', 'willima02')"
105,J. Butler | N. Mirotić | J. Noah,CHI,2014-15,33,198.5,369,366,88.9,+5.4,+1.4,+.053,+2.7,+5.8,+.030,+.067,+6.1,+4.1,+.103,+19.5,"('butleji01', 'mirotni01', 'noahjo01')"
106,T. Allen | M. Conley | T. Prince,MEM,2014-15,19,150.1,277,295,91.4,+4.8,+4.4,+.033,+0.1,-11.3,+.245,+.032,+9.8,+8.7,+.106,+19.5,"('allento01', 'conlemi01', 'princta01')"
107,H. Barnes | S. Curry | D. Green,GSW,2014-15,77,1407.2,2935,2941,100.2,+7.6,+1.3,+.079,+6.7,+11.2,+.092,+.115,-2.4,-2.9,-.007,+19.5,"('barneha02', 'curryst01', 'greendr01')"
0,N. Batum | W. Matthews | T. Robinson,POR,2014-15,14,123.2,258,255,99.9,+4.2,+4.9,+.024,+6.9,+11.8,+.122,+.062,+4.1,+4.7,+.031,+19.4,"('batumni01', 'matthwe02', 'robinth01')"
1,S. Curry | D. Green | K. Thompson,GSW,2014-15,73,1730.9,3615,3608,100.2,+7.5,+2.2,+.073,+6.8,+11.9,+.086,+.109,-2.3,-3.6,+.025,+19.4,"('curryst01', 'greendr01', 'thompkl01')"
2,M. Dellavedova | L. James | T. Mozgov,CLE,2014-15,33,163.4,311,308,90.9,+9.0,+2.3,+.085,+6.0,+7.5,+.122,+.116,-4.6,-2.8,-.155,+19.4,"('dellama01', 'jamesle01', 'mozgoti01')"
3,S. Ibaka | A. Morrow | K. Perkins,OKC,2014-15,38,154.4,304,302,94.2,+11.6,+8.3,+.091,+4.2,-2.8,+.204,+.111,-8.1,-12.7,+.053,+19.4,"('ibakase01', 'morroan01', 'perkike01')"
4,J. Bayless | K. Middleton | Z. Pachulia,MIL,2014-15,51,333.0,651,644,93.3,+6.8,+3.7,+.060,+1.8,-2.6,+.113,+.068,+3.8,+2.2,+.088,+19.3,"('bayleje01', 'middlkh01', 'pachuza01')"
5,J. Harden | J. Smith | J. Terry,HOU,2014-15,50,373.0,779,758,98.9,+4.1,-3.4,+.066,+6.6,+10.4,+.107,+.107,+4.4,+5.0,+.024,+19.3,"('hardeja01', 'smithjo03', 'terryja01')"
6,A. Baynes | B. Diaw | K. Leonard,SAS,2014-15,51,219.2,432,440,95.5,+10.3,+7.3,+.083,+1.0,+4.3,-.019,+.086,-2.5,-3.1,-.004,+19.2,"('baynear01', 'diawbo01', 'leonaka01')"
7,J. Crowder | M. Smart | T. Zeller,BOS,2014-15,38,204.8,409,412,96.2,+8.3,+13.6,+.022,+5.7,+6.7,+.136,+.047,-3.3,-2.3,-.064,+19.1,"('crowdja01', 'smartma01', 'zellety01')"
8,A. Bogut | D. Green | K. Thompson,GSW,2014-15,60,1094.2,2243,2244,98.4,+7.6,+2.8,+.071,+7.4,+14.5,+.068,+.111,-3.5,-5.1,+.028,+19.0,"('bogutan01', 'greendr01', 'thompkl01')"
9,K. Koufos | Z. Randolph | B. Udrih,MEM,2014-15,49,177.6,343,339,92.2,+11.0,+3.0,+.107,-0.4,-5.8,+.075,+.104,-2.5,+0.3,-.123,+19.0,"('koufoko01', 'randoza01', 'udrihbe01')"
10,K. Love | I. Shumpert | T. Thompson,CLE,2014-15,32,189.1,360,369,92.5,+3.2,-3.2,+.050,+5.7,+5.4,+.130,+.083,+6.8,+8.0,+.025,+18.9,"('loveke01', 'shumpim01', 'thomptr01')"
11,O. Mayo | K. Middleton | Z. Pachulia,MIL,2014-15,38,220.9,452,439,96.8,+9.0,+4.2,+.082,+2.4,-4.0,+.176,+.094,-1.4,-2.5,+.020,+18.9,"('mayooj01', 'middlkh01', 'pachuza01')"
12,M. McGary | D. Waiters | R. Westbrook,OKC,2014-15,27,132.0,286,292,105.1,+7.4,+3.9,+.065,+4.3,+1.5,+.189,+.089,-0.2,-1.8,+.040,+18.9,"('mcgarmi01', 'waitedi01', 'westbru01')"
