,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
49,S. Dinwiddie | R. Foye | J. Hamilton,BRK,2016-17,20,104.4,206,207,94.9,-6.6,-4.4,-.053,-0.4,+9.8,-.142,-0.053,-1.8,-1.8,-.017,-15.5,"('dinwisp01', 'foyera01', 'hamilju01')"
50,B. Biyombo | M. Hezonja | E. Payton,ORL,2016-17,30,115.1,229,227,95.1,-6.9,+1.0,-.081,+0.8,+3.3,-.011,-0.078,-2.4,-1.6,-.041,-15.5,"('biyombi01', 'hezonma01', 'paytoel01')"
51,C. Brewer | J. Clarkson | L. Nance,LAL,2016-17,20,133.8,277,277,99.4,-4.3,+2.5,-.063,-7.6,-10.1,-.169,-0.107,+0.7,+2.9,-.103,-15.5,"('breweco01', 'clarkjo01', 'nancela02')"
52,T. Burke | J. Smith | M. Thornton,WAS,2016-17,22,152.9,297,297,93.2,+0.3,+10.4,-.051,-6.4,-11.4,-.078,-0.094,-9.8,-13.8,+.022,-15.5,"('burketr01', 'smithja02', 'thornma01')"
53,M. Delaney | M. Dunleavy | K. Humphries,ATL,2016-17,18,114.6,221,219,92.1,-4.9,-2.6,-.042,-0.1,-1.2,+.009,-0.041,-5.6,-5.2,-.070,-15.5,"('delanma01', 'dunlemi02', 'humphkr01')"
54,L. Allen | A. Brooks | G. Robinson,IND,2016-17,25,176.4,350,345,94.6,-3.2,-0.1,-.034,-4.7,-11.3,-.042,-0.061,-4.6,-4.4,-.054,-15.6,"('allenla01', 'brookaa01', 'robingl02')"
55,B. Bass | J. Crawford | A. Rivers,LAC,2016-17,43,298.2,592,572,93.7,-8.8,-7.0,-.063,-1.4,+1.9,-.077,-0.066,+3.3,+2.6,+.054,-15.7,"('bassbr01', 'crawfja01', 'riverau01')"
56,W. Barton | D. Gallinari | J. Nurkić,DEN,2016-17,23,270.9,550,547,97.2,-7.0,-5.2,-.051,-4.2,-7.6,-.066,-0.071,+2.5,+8.1,-.172,-15.7,"('bartowi01', 'gallida01', 'nurkiju01')"
57,A. Baynes | R. Jackson | S. Johnson,DET,2016-17,27,122.9,235,241,93.0,-0.6,+10.8,-.059,-6.1,-2.7,-.193,-0.097,-8.4,-8.8,-.067,-15.7,"('baynear01', 'jacksre01', 'johnsst04')"
58,T. Daniels | Z. Randolph | B. Wright,MEM,2016-17,17,132.3,254,245,90.5,-8.3,-2.1,-.080,-0.4,+0.1,-.014,-0.080,+1.4,+2.4,-.017,-15.7,"('danietr01', 'randoza01', 'wrighbr03')"
59,R. Holmes | N. Stauskas | H. Thompson,PHI,2016-17,20,99.8,205,193,95.7,-5.3,-9.6,-.012,+3.9,+6.3,+.064,+.018,-9.1,-6.6,-.177,-15.8,"('holmeri01', 'stausni01', 'thompho01')"
60,F. Kaminsky | J. Lamb | B. Weber,CHO,2016-17,11,103.4,191,189,88.2,-7.3,+9.0,-.124,-4.3,-0.9,-.122,-0.154,+3.0,+4.5,-.024,-15.9,"('kaminfr01', 'lambje01', 'weberbr01')"
61,Á. Abrines | J. Grant | D. Sabonis,OKC,2016-17,37,107.0,214,223,98.0,-8.0,+1.4,-.096,-0.1,+7.1,-.088,-0.097,+0.2,+1.4,-.035,-15.9,"('abrinal01', 'grantje01', 'sabondo01')"
62,S. Hawes | K. Walker | M. Williams,CHO,2016-17,19,122.9,249,246,96.7,-5.7,+0.5,-.064,-2.2,+4.9,-.116,-0.076,-2.2,-1.1,-.060,-15.9,"('hawessp01', 'walkeke02', 'willima02')"
63,M. Gortat | M. Thornton | J. Wall,WAS,2016-17,29,180.0,372,359,97.5,-4.3,+3.1,-.064,-6.7,-10.3,-.095,-0.103,-0.7,+1.0,-.061,-16.0,"('gortama01', 'thornma01', 'walljo01')"
66,J. Dudley | A. Len | T. Ulis,PHO,2016-17,18,96.5,206,205,102.2,-6.5,-9.2,-.030,-4.9,-6.5,-.112,-0.052,+1.9,+2.3,+.005,-16.1,"('dudleja01', 'lenal01', 'ulisty01')"
67,T. Booker | R. Foye | B. Lopez,BRK,2016-17,37,174.4,362,355,98.7,-7.2,-9.2,-.034,+4.0,+10.6,-.004,-0.004,-5.7,-5.2,-.070,-16.1,"('booketr01', 'foyera01', 'lopezbr01')"
68,W. Barton | K. Faried | G. Harris,DEN,2016-17,19,112.9,233,235,99.5,-3.9,+6.3,-.077,-2.0,+0.7,-.079,-0.093,-6.2,-4.9,-.088,-16.1,"('bartowi01', 'farieke01', 'harriga01')"
69,B. Biyombo | E. Fournier | M. Hezonja,ORL,2016-17,27,100.9,201,207,97.1,-6.3,+3.6,-.085,-1.7,+5.8,-.110,-0.097,-1.9,-3.6,+.031,-16.1,"('biyombi01', 'fournev01', 'hezonma01')"
70,R. Covington | E. İlyasova | J. Okafor,PHI,2016-17,29,277.5,552,552,95.5,-7.2,+0.2,-.082,+1.6,+11.4,-.096,-0.073,-3.3,-2.7,-.060,-16.1,"('covinro01', 'ilyaser01', 'okafoja01')"
71,B. Ingram | J. Randle | D. Russell,LAL,2016-17,53,689.7,1409,1407,98.0,-5.1,0.0,-.058,-1.6,+1.2,-.074,-0.068,-4.2,-4.0,-.048,-16.1,"('ingrabr01', 'randlju01', 'russeda01')"
72,C. Anthony | B. Jennings | J. Noah,NYK,2016-17,35,236.4,472,480,96.7,-5.0,+3.8,-.075,-0.5,+1.3,-.035,-0.081,-5.8,-2.5,-.157,-16.2,"('anthoca01', 'jennibr01', 'noahjo01')"
73,B. Bass | R. Felton | M. Speights,LAC,2016-17,39,251.9,493,481,92.8,-6.6,-4.9,-.048,-0.5,+0.9,-.030,-0.047,-2.6,-4.1,+.031,-16.2,"('bassbr01', 'feltora01', 'speigma01')"
74,J. Dudley | T. Ulis | T. Warren,PHO,2016-17,27,152.6,321,321,100.9,-1.9,-4.4,.000,-4.7,-8.7,-.086,-0.024,-7.8,-7.5,-.079,-16.2,"('dudleja01', 'ulisty01', 'warretj01')"
75,A. Afflalo | M. Barnes | D. Cousins,SAC,2016-17,41,326.5,648,649,95.3,-5.6,-6.7,-.030,-5.5,-8.9,-.074,-0.058,+0.7,+1.9,-.026,-16.2,"('afflaar01', 'barnema02', 'couside01')"
76,M. Barnes | W. Cauley-Stein | G. Temple,SAC,2016-17,28,150.3,298,303,96.0,-0.7,+0.8,-.012,-2.8,-1.5,-.074,-0.029,-12.0,-13.6,-.078,-16.2,"('barnema02', 'caulewi01', 'templga01')"
77,A. Bradley | K. Olynyk | T. Rozier,BOS,2016-17,28,135.8,273,271,96.1,-5.1,+1.9,-.069,-0.4,+10.8,-.130,-0.072,-5.7,-6.4,-.028,-16.2,"('bradlav01', 'olynyke01', 'roziete01')"
78,K. Faried | D. Gallinari | J. Nurkić,DEN,2016-17,21,187.8,384,382,97.9,-9.1,-6.2,-.069,-4.2,-5.1,-.125,-0.089,+6.2,+9.5,-.027,-16.2,"('farieke01', 'gallida01', 'nurkiju01')"
79,K. Irving | T. Thompson | D. Williams,CLE,2016-17,14,97.3,193,192,95.0,-11.7,-9.8,-.077,+4.6,+11.2,-.002,-0.042,+2.5,+5.1,-.054,-16.2,"('irvinky01', 'thomptr01', 'willide02')"
80,L. Allen | G. Robinson | R. Stuckey,IND,2016-17,18,141.8,282,289,96.6,-3.9,-5.5,-.017,-5.4,-14.5,-.004,-0.044,-3.1,-5.7,+.049,-16.3,"('allenla01', 'robingl02', 'stuckro01')"
81,J. Anderson | H. Barnes | S. Curry,DAL,2016-17,27,194.1,373,375,92.5,-4.1,+5.5,-.076,-2.9,-0.9,-.093,-0.096,-5.2,-4.4,-.075,-16.3,"('anderju01', 'barneha02', 'curryse01')"
82,J. Clarkson | L. Nance | J. Randle,LAL,2016-17,45,310.6,642,634,98.6,-6.0,-0.5,-.067,-1.4,+0.9,-.063,-0.074,-2.9,-1.9,-.062,-16.3,"('clarkjo01', 'nancela02', 'randlju01')"
83,Á. Abrines | S. Christon | J. Grant,OKC,2016-17,40,230.6,442,449,92.7,-6.5,-0.2,-.071,-2.1,+3.3,-.127,-0.083,-1.3,+1.3,-.093,-16.4,"('abrinal01', 'chrisse01', 'grantje01')"
84,J. Clarkson | T. Mozgov | J. Randle,LAL,2016-17,30,147.1,312,309,101.4,-4.6,-7.6,-.014,-5.5,-13.4,-.065,-0.042,-1.8,+3.6,-.193,-16.4,"('clarkjo01', 'mozgoti01', 'randlju01')"
85,E. Davis | D. Lillard | E. Turner,POR,2016-17,35,181.3,375,378,99.7,-5.0,+1.7,-.068,-1.3,+2.9,-.084,-0.076,-5.1,-3.7,-.059,-16.4,"('davised01', 'lillada01', 'turneev01')"
88,E. Fournier | S. Ibaka | C. Watson,ORL,2016-17,17,108.7,232,225,100.9,-7.8,-11.3,-.028,-2.9,-2.0,-.098,-0.038,+2.1,+2.4,+.016,-16.4,"('fournev01', 'ibakase01', 'watsocj01')"
89,M. Gortat | M. Morris | M. Thornton,WAS,2016-17,26,118.3,241,231,95.8,-5.3,+1.6,-.066,-5.5,-10.0,-.057,-0.096,-0.3,+0.8,-.041,-16.4,"('gortama01', 'morrima02', 'thornma01')"
90,T. Harris | R. Jackson | S. Johnson,DET,2016-17,36,208.6,409,417,95.0,+0.8,+18.2,-.089,-4.9,-1.9,-.152,-0.128,-13.2,-14.1,-.108,-16.4,"('harrito02', 'jacksre01', 'johnsst04')"
91,J. Barea | H. Barnes | D. Powell,DAL,2016-17,22,101.3,198,200,94.3,-6.2,-1.7,-.068,-5.9,-4.8,-.153,-0.104,+1.7,-0.2,+.073,-16.5,"('bareajo01', 'barneha02', 'poweldw01')"
92,T. Booker | C. LeVert | B. Lopez,BRK,2016-17,34,133.8,279,274,99.2,-6.9,-7.8,-.036,-1.3,+3.8,-.085,-0.038,-1.4,-1.5,-.009,-16.5,"('booketr01', 'leverca01', 'lopezbr01')"
93,W. Barton | W. Chandler | E. Mudiay,DEN,2016-17,27,202.3,426,429,101.4,-3.5,+2.3,-.051,-4.4,-4.7,-.110,-0.077,-4.3,-1.9,-.095,-16.6,"('bartowi01', 'chandwi01', 'mudiaem01')"
94,E. İlyasova | T. McConnell | J. Okafor,PHI,2016-17,30,247.4,507,500,97.7,-8.1,-6.0,-.061,+1.3,+5.2,-.017,-0.050,-1.6,-1.9,-.007,-16.6,"('ilyaser01', 'mccontj01', 'okafoja01')"
95,W. Cauley-Stein | B. Hield | T. Lawson,SAC,2016-17,17,183.3,381,382,99.9,-3.6,-4.8,-.015,-6.3,-14.3,-.036,-0.048,-3.4,-4.4,+.004,-16.7,"('caulewi01', 'hieldbu01', 'lawsoty01')"
96,J. Clarkson | J. Randle | N. Young,LAL,2016-17,35,210.5,446,434,100.3,-5.6,+1.3,-.074,+2.0,+4.4,+.018,-0.063,-7.4,-5.6,-.112,-16.7,"('clarkjo01', 'randlju01', 'youngni01')"
97,T. Burke | K. Oubre | M. Thornton,WAS,2016-17,24,180.0,346,346,92.3,-4.0,-0.3,-.045,-4.0,-10.1,-.009,-0.069,-4.6,-6.4,.000,-16.8,"('burketr01', 'oubreke01', 'thornma01')"
98,J. Hamilton | R. Hollis-Jefferson | S. Kilpatrick,BRK,2016-17,31,165.0,352,351,102.2,-5.5,-3.4,-.045,-0.6,+3.9,-.069,-0.046,-5.2,-9.2,+.078,-16.8,"('hamilju01', 'holliro01', 'kilpase01')"
99,E. İlyasova | J. Okafor | N. Stauskas,PHI,2016-17,29,250.0,508,506,97.4,-8.2,-7.3,-.056,+2.9,+5.6,+.043,-0.036,-3.2,-4.2,+.003,-16.8,"('ilyaser01', 'okafoja01', 'stausni01')"
100,T. Ulis | T. Warren | A. Williams,PHO,2016-17,27,189.6,414,405,103.7,-1.1,-1.9,-.003,-4.3,-9.0,-.063,-0.027,-10.3,-11.7,-.042,-16.9,"('ulisty01', 'warretj01', 'willial03')"
101,J. Clarkson | D. Russell | I. Zubac,LAL,2016-17,24,170.1,360,363,102.0,-6.3,-3.1,-.053,-0.2,+1.9,-.035,-0.052,-4.3,-5.1,-.011,-17.0,"('clarkjo01', 'russeda01', 'zubaciv01')"
102,M. Chriss | T. Ulis | A. Williams,PHO,2016-17,31,142.1,319,307,105.7,-2.8,+7.4,-.078,-8.3,-7.8,-.252,-0.133,-3.2,-1.6,-.058,-17.1,"('chrisma01', 'ulisty01', 'willial03')"
103,D. Favors | J. Johnson | S. Mack,UTA,2016-17,28,134.1,252,252,90.2,-6.7,-7.1,-.040,-0.4,+2.4,-.045,-0.040,-3.2,+0.8,-.164,-17.1,"('favorde01', 'johnsjo02', 'macksh01')"
104,M. Carter-Williams | R. Lopez | D. McDermott,CHI,2016-17,18,115.9,233,234,96.7,-8.8,-6.5,-.063,-3.0,-5.5,-.032,-0.076,+3.5,+2.2,+.076,-17.1,"('cartemi01', 'lopezro01', 'mcderdo01')"
105,J. Clarkson | B. Ingram | D. Russell,LAL,2016-17,54,425.4,883,883,99.6,-5.0,+0.8,-.062,-2.5,-0.1,-.092,-0.077,-4.6,-3.7,-.066,-17.1,"('clarkjo01', 'ingrabr01', 'russeda01')"
106,K. Korver | I. Shumpert | T. Thompson,CLE,2016-17,20,103.7,205,217,97.7,-7.0,-5.3,-.048,-3.0,+4.8,-.144,-0.060,-0.2,+0.5,-.035,-17.1,"('korveky01', 'shumpim01', 'thomptr01')"
107,A. Len | T. Ulis | T. Warren,PHO,2016-17,27,241.5,501,512,100.7,-4.4,+4.7,-.073,-5.6,-5.3,-.174,-0.106,-2.8,-1.9,-.062,-17.2,"('lenal01', 'ulisty01', 'warretj01')"
0,E. Bledsoe | M. Chriss | B. Knight,PHO,2016-17,24,114.9,252,250,104.9,-3.1,+0.2,-.039,-3.6,-0.6,-.141,-0.062,-7.3,-9.4,-.001,-17.2,"('bledser01', 'chrisma01', 'knighbr03')"
1,T. Evans | T. Jones | E. Moore,NOP,2016-17,19,188.2,379,373,95.9,-9.2,-1.2,-.093,+0.3,+7.8,-.097,-0.091,+0.8,+2.1,-.032,-17.2,"('evansty01', 'joneste01', 'mooreet01')"
2,G. Henderson | T. Luwawu-Cabarrot | S. Rodríguez,PHI,2016-17,20,100.9,210,203,98.3,-4.3,-5.8,-.018,-2.7,+0.5,-.105,-0.030,-5.9,-5.1,-.091,-17.2,"('hendege02', 'luwawti01', 'rodrise01')"
3,R. Holmes | S. Rodríguez | D. Šarić,PHI,2016-17,39,205.4,413,422,97.6,-1.5,+0.9,-.022,0.0,+4.0,-.050,-0.023,-14.2,-18.6,-.013,-17.2,"('holmeri01', 'rodrise01', 'saricda01')"
4,T. Booker | J. Hamilton | J. Harris,BRK,2016-17,33,217.2,455,473,102.5,-5.6,-6.3,-.033,+2.1,+6.0,+.006,-0.017,-8.2,-7.1,-.131,-17.4,"('booketr01', 'hamilju01', 'harrijo01')"
5,J. Harris | S. Kilpatrick | L. Scola,BRK,2016-17,24,105.3,220,224,101.2,-5.6,-1.1,-.058,+1.1,+8.6,-.062,-0.051,-7.3,-6.3,-.086,-17.4,"('harrijo01', 'kilpase01', 'scolalu01')"
6,T. Johnson | R. McGruder | J. Richardson,MIA,2016-17,30,174.0,334,340,93.0,-4.9,+4.8,-.081,+2.5,+7.6,+.011,-0.069,-10.0,-6.9,-.181,-17.4,"('johnsty01', 'mcgruro01', 'richajo01')"
7,B. Bogdanović | T. Booker | S. Dinwiddie,BRK,2016-17,18,154.6,313,309,96.6,-9.9,-11.1,-.051,+2.1,+7.4,-.023,-0.032,+0.1,-1.5,+.071,-17.5,"('bogdabo02', 'booketr01', 'dinwisp01')"
8,J. Clarkson | L. Nance | N. Young,LAL,2016-17,30,126.1,262,258,99.0,-4.1,+10.9,-.105,+3.3,+8.4,+.001,-0.095,-12.6,-14.2,-.089,-17.5,"('clarkjo01', 'nancela02', 'youngni01')"
9,D. Howard | K. Korver | T. Sefolosha,ATL,2016-17,23,102.7,203,209,96.3,-5.1,+2.1,-.068,-3.6,-7.0,-.054,-0.089,-3.5,-2.4,-.103,-17.5,"('howardw01', 'korveky01', 'sefolth01')"
10,T. Booker | R. Foye | J. Harris,BRK,2016-17,25,115.9,248,257,104.6,-6.3,-6.4,-.042,-0.8,+4.9,-.064,-0.042,-4.3,-6.1,+.018,-17.6,"('booketr01', 'foyera01', 'harrijo01')"
11,R. Foye | B. Lopez | I. Whitehead,BRK,2016-17,32,96.7,205,204,101.6,-6.0,-20.0,+.021,-4.5,-3.6,-.111,+.009,-1.1,-3.5,+.089,-17.6,"('foyera01', 'lopezbr01', 'whiteis01')"
12,Á. Abrines | J. Grant | C. Payne,OKC,2016-17,15,97.0,191,194,95.3,-6.2,-6.4,-.038,+2.2,+9.2,-.039,-0.022,-7.5,-4.2,-.154,-17.6,"('abrinal01', 'grantje01', 'payneca01')"
13,J. Clarkson | J. Randle | D. Russell,LAL,2016-17,52,559.7,1160,1153,99.2,-5.7,-1.0,-.060,-2.3,+0.9,-.096,-0.072,-3.9,-3.0,-.058,-17.6,"('clarkjo01', 'randlju01', 'russeda01')"
14,T. Evans | E. Moore | D. Motiejūnas,NOP,2016-17,15,112.1,228,232,98.5,-8.0,+1.1,-.095,-2.0,+4.0,-.113,-0.107,+0.3,+4.3,-.132,-17.6,"('evansty01', 'mooreet01', 'motiedo01')"
15,D. Augustin | J. Green | M. Hezonja,ORL,2016-17,34,350.5,690,690,94.5,-8.3,-0.9,-.089,-0.3,+5.7,-.073,-0.090,-0.9,-1.7,+.018,-17.7,"('augusdj01', 'greenje02', 'hezonma01')"
16,M. Ellis | C. Miles | K. Séraphin,IND,2016-17,25,107.2,214,215,96.1,-4.0,+5.1,-.070,-4.1,-4.1,-.087,-0.097,-5.5,-11.1,+.133,-17.7,"('ellismo01', 'milescj01', 'serapke01')"
17,A. Anderson | B. Bass | J. Crawford,LAC,2016-17,15,104.2,205,202,93.7,-4.1,-1.8,-.035,-1.1,-5.4,+.018,-0.040,-8.6,-13.1,+.083,-17.8,"('anderal01', 'bassbr01', 'crawfja01')"
18,R. Foye | J. Hamilton | R. Hollis-Jefferson,BRK,2016-17,24,128.4,275,269,101.7,-9.0,-9.3,-.055,-0.2,+7.1,-.102,-0.050,+0.3,-2.0,+.089,-17.8,"('foyera01', 'hamilju01', 'holliro01')"
19,A. Afflalo | M. Barnes | A. Tolliver,SAC,2016-17,24,129.2,242,247,90.8,-4.9,-7.7,-.017,-4.3,-10.9,+.001,-0.036,-3.6,-6.8,+.067,-17.8,"('afflaar01', 'barnema02', 'tollian01')"
22,M. Barnes | K. Koufos | B. McLemore,SAC,2016-17,19,127.2,242,242,91.3,-3.7,+5.4,-.068,-5.8,-10.7,-.042,-0.104,-4.5,-4.1,-.080,-17.8,"('barnema02', 'koufoko01', 'mclembe01')"
23,J. Holiday | K. Porziņģis | L. Thomas,NYK,2016-17,34,166.6,326,326,94.0,-7.4,-5.8,-.054,-7.4,-8.6,-.161,-0.092,+4.3,+1.8,+.127,-17.8,"('holidju01', 'porzikr01', 'thomala01')"
24,J. Clarkson | L. Deng | N. Young,LAL,2016-17,26,118.7,252,240,99.5,-8.9,-11.8,-.039,-2.6,-1.9,-.060,-0.045,+2.6,+3.7,-.025,-17.9,"('clarkjo01', 'denglu01', 'youngni01')"
25,G. Henderson | N. Noel | D. Šarić,PHI,2016-17,22,172.3,356,359,99.6,-6.4,+1.8,-.085,-5.0,-1.4,-.151,-0.116,-0.1,-1.8,+.057,-17.9,"('hendege02', 'noelne01', 'saricda01')"
26,B. Jennings | C. Lee | J. Noah,NYK,2016-17,27,212.3,426,427,96.4,-7.4,0.0,-.082,-0.4,+2.4,-.050,-0.084,-2.8,+0.3,-.131,-18.0,"('jennibr01', 'leeco01', 'noahjo01')"
27,B. Bogdanović | T. Booker | R. Foye,BRK,2016-17,28,126.1,261,261,99.4,-8.8,-8.8,-.057,+3.1,+8.8,+.011,-0.034,-3.4,-1.5,-.102,-18.0,"('bogdabo02', 'booketr01', 'foyera01')"
28,O. Porter | M. Thornton | J. Wall,WAS,2016-17,27,144.8,303,293,98.8,-4.8,+7.8,-.095,-8.1,-10.6,-.140,-0.147,-0.4,+1.5,-.057,-18.0,"('porteot01', 'thornma01', 'walljo01')"
29,W. Barton | G. Harris | M. Plumlee,DEN,2016-17,19,154.1,323,322,100.4,-9.4,+0.4,-.112,+4.3,+8.9,+.024,-0.087,-3.5,-6.0,+.050,-18.0,"('bartowi01', 'harriga01', 'plumlma01')"
30,A. Anderson | J. Crawford | R. Felton,LAC,2016-17,26,175.3,349,356,96.5,-2.6,+4.0,-.051,-0.1,-0.5,+.001,-0.054,-12.6,-17.6,+.051,-18.1,"('anderal01', 'crawfja01', 'feltora01')"
31,Y. Ferrell | D. Finney-Smith | D. Powell,DAL,2016-17,24,159.2,299,298,90.0,-8.8,0.0,-.097,-0.4,+6.3,-.076,-0.100,0.0,+0.6,-.024,-18.1,"('ferreyo01', 'finnedo01', 'poweldw01')"
32,B. Ingram | D. Russell | I. Zubac,LAL,2016-17,23,164.4,345,347,101.0,-6.1,-2.7,-.054,-3.1,+0.4,-.122,-0.071,-2.8,-0.7,-.086,-18.1,"('ingrabr01', 'russeda01', 'zubaciv01')"
33,R. Foye | J. Hamilton | J. Harris,BRK,2016-17,22,109.9,234,236,102.7,-6.1,-4.8,-.044,+0.1,+10.1,-.095,-0.041,-6.2,-4.5,-.130,-18.3,"('foyera01', 'hamilju01', 'harrijo01')"
34,T. Frazier | B. Hield | S. Hill,NOP,2016-17,21,121.8,250,241,96.8,-2.3,0.0,-.027,-9.0,-12.9,-.144,-0.078,-4.6,-5.6,-.014,-18.3,"('fraziti01', 'hieldbu01', 'hillso01')"
35,A. Burks | D. Favors | J. Johnson,UTA,2016-17,20,123.1,246,237,94.2,-1.4,+4.3,-.039,-0.7,-3.7,+.022,-0.045,-14.8,-18.0,-.053,-18.3,"('burksal01', 'favorde01', 'johnsjo02')"
36,B. Jennings | M. Kuzminskas | K. O'Quinn,NYK,2016-17,32,166.8,327,333,95.0,-6.2,+0.2,-.068,-0.7,+1.4,-.041,-0.072,-5.2,-6.3,-.018,-18.3,"('jennibr01', 'kuzmimi01', 'oquinky01')"
37,D. Augustin | J. Green | S. Ibaka,ORL,2016-17,42,166.4,344,335,97.9,-7.5,-6.1,-.056,-2.6,-1.3,-.085,-0.068,-0.9,-0.8,-.010,-18.4,"('augusdj01', 'greenje02', 'ibakase01')"
38,N. Batum | S. Hawes | K. Walker,CHO,2016-17,26,172.5,353,357,98.8,-9.4,-2.6,-.092,-3.3,+2.6,-.126,-0.108,+3.6,+4.2,+.006,-18.5,"('batumni01', 'hawessp01', 'walkeke02')"
39,R. Covington | J. Okafor | D. Šarić,PHI,2016-17,43,277.4,571,572,98.9,-6.4,+3.8,-.092,0.0,+3.0,-.039,-0.094,-5.7,-4.9,-.107,-18.5,"('covinro01', 'okafoja01', 'saricda01')"
40,P. George | K. Séraphin | M. Turner,IND,2016-17,19,137.0,266,270,93.9,-3.5,-9.1,+.008,-6.9,-11.9,-.081,-0.025,-4.6,-3.4,-.087,-18.5,"('georgpa01', 'serapke01', 'turnemy01')"
41,L. Nance | J. Randle | D. Russell,LAL,2016-17,36,246.0,511,513,99.9,-7.5,+2.1,-.099,-1.3,+3.8,-.103,-0.108,-2.3,-1.5,-.044,-18.5,"('nancela02', 'randlju01', 'russeda01')"
44,T. Johnson | W. Reed | D. Waiters,MIA,2016-17,24,100.1,207,210,100.0,-7.1,+0.8,-.086,+0.2,+6.6,-.082,-0.085,-4.5,-3.5,-.063,-18.6,"('johnsty01', 'reedwi02', 'waitedi01')"
45,L. Allen | A. Jefferson | G. Robinson,IND,2016-17,29,183.6,350,354,92.0,-3.8,+2.2,-.053,-5.6,-11.7,-.054,-0.085,-5.4,-5.1,-.056,-18.6,"('allenla01', 'jeffeal01', 'robingl02')"
46,D. Booker | B. Knight | A. Len,PHO,2016-17,47,281.6,596,586,100.8,-3.7,-0.4,-.042,-1.7,-5.0,+.003,-0.051,-9.7,-10.3,-.059,-18.7,"('bookede01', 'knighbr03', 'lenal01')"
47,D. Gallinari | E. Mudiay | J. Nurkić,DEN,2016-17,28,408.5,839,839,98.6,-8.6,-5.1,-.069,-3.5,-4.9,-.084,-0.086,+1.9,+5.0,-.076,-18.7,"('gallida01', 'mudiaem01', 'nurkiju01')"
48,S. Ibaka | E. Payton | C. Watson,ORL,2016-17,23,197.0,413,411,100.4,-2.6,+6.6,-.066,-6.6,-4.0,-.201,-0.108,-6.9,-7.9,-.046,-18.7,"('ibakase01', 'paytoel01', 'watsocj01')"
49,J. Randle | D. Russell | I. Zubac,LAL,2016-17,20,185.0,387,389,100.7,-7.8,-4.2,-.063,-1.8,-0.6,-.058,-0.071,-1.5,-0.7,-.040,-18.7,"('randlju01', 'russeda01', 'zubaciv01')"
50,J. Anderson | T. McConnell | D. Šarić,PHI,2016-17,19,148.8,317,314,101.8,-7.4,-7.5,-.045,+0.2,+4.8,-.041,-0.039,-4.3,-4.3,-.034,-18.8,"('anderju01', 'mccontj01', 'saricda01')"
51,D. Augustin | B. Biyombo | J. Green,ORL,2016-17,60,537.1,1050,1067,94.6,-8.9,-4.7,-.078,-2.9,-1.1,-.084,-0.092,+1.8,+3.3,-.024,-18.8,"('augusdj01', 'biyombi01', 'greenje02')"
52,C. Aldrich | K. Dunn | A. Wiggins,MIN,2016-17,31,103.4,202,213,96.3,-6.0,-4.1,-.046,-9.1,-19.3,-.063,-0.096,+2.1,+1.9,+.022,-18.9,"('aldrico01', 'dunnkr01', 'wiggian01')"
53,M. Belinelli | R. Sessions | M. Williams,CHO,2016-17,26,108.1,220,212,95.9,-9.0,+0.2,-.095,-4.2,-1.7,-.107,-0.117,+3.2,+4.5,-.037,-18.9,"('belinma01', 'sessira01', 'willima02')"
54,W. Matthews | D. Nowitzki | D. Williams,DAL,2016-17,21,272.6,543,539,95.3,-4.9,+0.5,-.058,+1.6,+8.8,-.077,-0.049,-10.6,-12.3,-.048,-18.9,"('matthwe02', 'nowitdi01', 'willide01')"
55,D. Exum | T. Lyles | S. Mack,UTA,2016-17,19,112.8,219,215,92.4,-13.1,-13.0,-.089,+0.3,+3.2,-.033,-0.077,+7.0,+10.5,+.004,-19.0,"('exumda01', 'lylestr01', 'macksh01')"
56,I. Canaan | N. Mirotić | B. Portis,CHI,2016-17,17,102.2,204,204,95.9,-8.8,-3.4,-.083,-2.5,+1.0,-.103,-0.094,+1.0,+1.5,-.002,-19.1,"('canaais01', 'mirotni01', 'portibo01')"
57,S. Dinwiddie | J. Hamilton | J. Harris,BRK,2016-17,16,96.4,201,206,101.4,-8.9,-10.1,-.049,-0.2,+3.2,-.046,-0.044,-1.1,-1.5,+.005,-19.1,"('dinwisp01', 'hamilju01', 'harrijo01')"
58,M. Ellis | P. George | K. Séraphin,IND,2016-17,28,113.7,226,230,96.3,-1.9,+1.9,-.034,-7.3,-12.7,-.077,-0.079,-8.0,-11.8,+.037,-19.1,"('ellismo01', 'georgpa01', 'serapke01')"
59,J. Anderson | H. Barnes | D. Powell,DAL,2016-17,31,191.1,377,364,93.1,-6.0,+6.4,-.106,-2.8,+1.7,-.119,-0.127,-4.4,-6.2,+.019,-19.2,"('anderju01', 'barneha02', 'poweldw01')"
60,J. Grant | A. Morrow | V. Oladipo,OKC,2016-17,15,96.3,194,192,96.2,-4.5,+12.1,-.117,-1.1,+8.0,-.164,-0.131,-9.0,-11.7,-.041,-19.2,"('grantje01', 'morroan01', 'oladivi01')"
61,B. Ingram | J. Randle | I. Zubac,LAL,2016-17,18,170.1,354,354,99.9,-6.8,-5.9,-.042,-3.4,-4.8,-.063,-0.057,-2.3,-2.8,+.002,-19.2,"('ingrabr01', 'randlju01', 'zubaciv01')"
